English	Yiddish	probability
#>	#>	0.674
#>	n_#>	0.116
#>	ʀ_#>	0.103
<#	<#	1.0
<#_w	<#	1.0
b	b	1.0
d	t	0.752
d	d	0.214
f	f	0.916
f	b	0.059
h	h	1.0
j	j	0.477
j	ˈaɪ̯	0.361
j	-	0.091
k	k	0.705
k	χ	0.28
kʰ	k	0.725
kʰ	f	0.268
l	l	1.0
m	m	0.883
m	m_ɛ	0.064
m	ɛ_m	0.059
n	n	0.928
n	-	0.055
p	f	0.913
p	p	0.083
pʰ	f	1.0
s	z	0.638
s	ʃ	0.23
s	s	0.104
t	s	0.433
t	χ	0.223
t	t	0.142
t	ʦ	0.141
tʰ	ʦ	0.915
tʰ	t	0.082
v	b	0.552
v	f	0.329
v	v	0.107
w	v	0.881
w	-	0.059
w	ʀ	0.059
z	z	0.841
z	n	0.118
ð	d	0.552
ð	t	0.443
ŋ	ŋ	0.956
ŋ	n	0.053
ə	ə	0.644
ə	ʀ	0.18
ə	-	0.172
əʊ̯	-	0.561
əʊ̯	n	0.425
ɡ	ɡ	0.907
ɡ	-	0.092
ɪ	ɪ	0.435
ɪ	ɛ	0.213
ɪ	ə	0.146
ɪ	ˈɛ	0.146
ɫ	l	0.909
ɫ	-	0.063
ɹ	ʀ	1.0
ʃ	ʃ	0.935
ʃ	ʧ	0.067
ʤ	k	0.521
ʧ	k	0.591
ʧ	χ	0.403
ˈaɪ̯	ˈaɪ̯	0.48
ˈaɪ̯	ˈɪ	0.281
ˈaɪ̯	ˈa	0.086
ˈaɪ̯	ˈɔɪ̯	0.086
ˈaɪ̯	ˈɛ	0.057
ˈaʊ̯	ˈɔɪ̯	0.645
ˈaʊ̯	ˈʊ	0.349
ˈe	ˈɛ	0.345
ˈe	ˈɔɪ̯	0.229
ˈe	ˈɪ	0.096
ˈe	ˈɛɪ̯	0.067
ˈe	ˈa	0.055
ˈe	ˈaɪ̯	0.055
ˈe	ˈɔ	0.055
ˈe	-	0.052
ˈe	ˈʊ	0.051
ˈeɪ̯	ˈa	0.343
ˈeɪ̯	ˈɔ_ɡ	0.314
ˈeɪ̯	ˈɛ_ɡ	0.153
ˈeɪ̯	ˈɔ	0.088
ˈeɪ̯	ˈɔɪ̯	0.088
ˈiː	ˈɪ	0.411
ˈiː	ˈɔɪ̯	0.218
ˈiː	ˈɔ	0.14
ˈiː	ˈɛ	0.119
ˈiː	ˈaɪ̯	0.067
ˈuː	ˈʊ	0.359
ˈuː	-	0.179
ˈuː	ˈa	0.179
ˈuː	ˈɔ	0.129
ˈuː	ˈɛɪ̯	0.129
ˈæ	ˈa	0.848
ˈæ	ˈɛ	0.078
ˈæ	ˈɔ	0.076
ˈɐ	ˈʊ	0.769
ˈɐ	ˈɔɪ̯	0.081
ˈɐ	ˈɛɪ̯	0.078
ˈɐ	ˈɔ	0.055
ˈɐ	ˈa	0.054
ˈɑː	ˈɔ	0.404
ˈɑː	ˈa_ʀ	0.364
ˈɑː	ˈa	0.209
ˈɒ	ˈɔ	0.521
ˈɒ	ˈa	0.156
ˈɒ	ˈʊ	0.135
ˈɒ	ˈɛɪ̯	0.13
ˈɔː	ˈa	0.31
ˈɔː	ˈɔ_ʀ	0.179
ˈɔː	ˈɪ	0.164
ˈɔː	ˈɔ	0.122
ˈɔː	ˈa_ʀ	0.068
ˈɔː	ˈʊ	0.065
ˈɔː	ˈɛ	0.051
ˈəʊ̯	ˈɛɪ̯	0.349
ˈəʊ̯	ˈɔ	0.315
ˈəʊ̯	ˈa	0.198
ˈəʊ̯	ˈi	0.114
ˈɛ	ˈɔ	0.594
ˈɛ	ˈɛ	0.392
ˈɜː	ˈɔ_ʀ	0.517
ˈɜː	ʀ	0.45
ˈɪ	ˈɪ	0.614
ˈɪ	ˈɛ	0.194
ˈɪ	ˈaɪ̯	0.094
ˈʊ	ˈʊ	0.631
ˈʊ	ˈɔ	0.354
θ	d	0.595
θ	t	0.254
θ	-	0.098
θ	l	0.057
