Québécois French	Québécois French	probability
ʣ	d	1.0
ʏ	ˈy	1.0
ʊ	ˈu	1.0
ʃ_œ	k_a	1.0
ʁ_s	r_s	1.0
ʁ_#>	#>	1.0
ɲ	ɲ	1.0
ɪ	ˈi	1.0
ɥ	-	1.0
ɡ	ɡ	1.0
ɛɪ̯	-	1.0
ɛ_ʁ	j	1.0
ɛ_z	z	1.0
ɑ	ˈa	1.0
øʏ̯_#>	#>	1.0
z	z	1.0
y	ˈy	1.0
w_ɛ	ˈe	1.0
s_œ	s	1.0
p	p	1.0
o	ˈɔ_s	1.0
m	m	1.0
j_ɛ	ˈɛ	1.0
i_ʁ	e	1.0
f	f	1.0
e_k	s_k	1.0
b	b	1.0
aœ̯_ʁ	r	1.0
aœ̯	ˈu	1.0
<#_œ	<#_ˈø	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_s	1.0
<#_a	<#_a	1.0
<#	<#_s	1.0
v	v	0.938
s	s	0.879
k	k	0.857
ʒ	ʤ	0.846
d	d	0.846
ʁ	r	0.839
ɑɔ̯	ˈɔ	0.818
t	t	0.762
æɛ̯_ʁ	ˈɛ_r	0.75
<#_ʁ	<#_r	0.75
ɛ_#>	#>	0.667
ɒ̃ʊ̯̃	ˈu_ŋ	0.667
øʏ̯	ˈø	0.667
e_#>	ˈe_#>	0.667
l	l	0.618
ʃ	k	0.611
#>	a_#>	0.606
æɛ̯	ˈa	0.6
f_#>	v_#>	0.6
oʊ̯	ˈɛ_l	0.538
n	ŋ_a	0.533
i	ˈi	0.529
ɛ	j	0.467
n	n	0.467
a	ˈa	0.45
a	a	0.45
ɔ	ˈɔ	0.417
j	j	0.412
œ	ˈø	0.4
f_#>	#>	0.4
ʃ	k_a	0.389
u	ˈu	0.35
ɛ_#>	z_#>	0.333
ɔ	u	0.333
øʏ̯	j	0.333
ã	ˈɛ_ŋ	0.333
oʊ̯	ˈa_w	0.308
w	ˈɛ	0.304
œ	e	0.3
œ	-	0.3
ã	ˈa_ŋ	0.278
ɛ	ˈɛ	0.267
l	j	0.265
w	-	0.261
ɔ	ˈu	0.25
æɛ̯_ʁ	r	0.25
u	u	0.25
<#_ʁ	<#	0.25
t	s	0.238
ẽɪ̯̃	ˈa_ŋ	0.238
j	-	0.235
i	i	0.235
ẽɪ̯̃	ˈi_ŋ	0.19
ẽɪ̯̃	ŋ	0.19
e_#>	ˈa_#>	0.19
ɑɔ̯	-	0.182
j	ˈɛ	0.176
j	j_a	0.176
w	ˈu	0.174
w	ˈe	0.174
ɒ̃ʊ̯̃	ŋ	0.167
ɒ̃ʊ̯̃	-	0.167
ã	ŋ	0.167
ʒ	-	0.154
oʊ̯	ˈɔ	0.154
d	-	0.154
u	ˈy	0.15
u	ˈu_j	0.15
k	k_w	0.143
e_#>	#>	0.143
ɛ	ˈe	0.133
ɛ	-	0.133
æɛ̯	ˈe	0.12
æɛ̯	r	0.12
l	-	0.118
i	ˈɛ	0.118
i	ˈe	0.118
ã	ˈɛ	0.111
ã	ˈa	0.111
u	ˈɔ_l	0.1
a	ˈɔ	0.1
ẽɪ̯̃	ˈi	0.095
ẽɪ̯̃	ˈa_n	0.095
ẽɪ̯̃	ˈa	0.095
ẽɪ̯̃	ɲ	0.095
w	ˈe_d	0.087
æɛ̯	j	0.08
æɛ̯	-	0.08
#>	z_#>	0.076
#>	s_#>	0.076
#>	e_#>	0.076
v	-	0.062
s	ʧ	0.061
s	s_i	0.061
#>	n_#>	0.061
