Ripuarian	Ripuarian	probability
ˈʏ	-	1.0
ˈʊ	ˈʌ	1.0
ˈɔ_ɫ	ˈuː	1.0
ˈøʏ̯	j_ˈuː	1.0
ˈuː_d̥	ˈe_d	1.0
ˈu	-	1.0
ˈoː_n	ˈeː	1.0
ˈoː_d	ˈi_d	1.0
ˈoː_#>	ˈuː_#>	1.0
ˈoʊ̯	-	1.0
ˈa_ɫ	ˈɑː	1.0
ʃ_l	s_l	1.0
ɪ	-	1.0
ɣ̊	-	1.0
ɣ	-	1.0
ɡ̊_#>	#>	1.0
ə_ɕ	e	1.0
ɕ_#>	#>	1.0
ɐ_#>	#>	1.0
ŋ_#>	ˈəi̯_n_#>	1.0
z̥_#>	#>	1.0
z̥	s	1.0
z	s	1.0
v̥_#>	f_#>	1.0
p	p	1.0
m	m	1.0
l	l	1.0
k_ə	k	1.0
h	h	1.0
f_ə	p	1.0
f_#>	#>	1.0
e	i	1.0
d̥	d	1.0
d_ʀ	d_r	1.0
b	b	1.0
<#_ˈeː	<#_ˈe	1.0
<#_ʋ	<#	1.0
<#_ʀ	<#_r	1.0
<#	<#_r	1.0
ʋ	w	0.92
ə	-	0.9
f	f	0.889
ˈɛː	-	0.875
s	t	0.8
ɫ	l	0.789
ˈe	ˈɪ	0.765
ˈøː	ˈi	0.75
ɡ̊	d	0.75
n	n	0.75
ˈɪ	ˈɪ	0.714
ˈiː	-	0.692
ˈyː	-	0.667
t	t	0.667
ʀ	r	0.647
ɕ	k	0.636
ˈɔː	ˈo	0.6
j	ɡ	0.6
d̥_#>	θ_#>	0.6
#>	t_#>	0.6
ʃ	s	0.591
ˈuː	ˈu	0.583
ˈœ	ˈɪ	0.571
ˈo	ˈʌ	0.571
ˈeɪ̯	ˈe	0.571
v	-	0.571
ʦ	tʰ	0.533
ɐ	ə_r	0.514
ˈɛ	ˈɛ	0.5
ŋ	ŋ	0.478
k	kʰ	0.474
ˈeɪ̯	ˈiː	0.429
ɐ	r	0.429
x	x	0.429
v	v	0.429
ˈuː	-	0.417
d	θ	0.414
ʃ	ʃ	0.409
ˈɔː	r	0.4
d̥_#>	#>	0.4
ŋ	n	0.391
d	d	0.379
ˈɔʊ̯	ˈuː	0.375
ˈɔʊ̯	ˈi	0.375
ˈɔ	ˈo	0.375
ˈɔ	-	0.375
ɕ	ç	0.364
ˈoː	ˈɪ	0.357
ˈoː	ˈø	0.357
ˈo	-	0.357
ˈaː	ˈeː	0.357
ˈyː	ˈiː	0.333
ˈeː	ˈiː	0.333
ʦ	t	0.333
t	t_ə	0.333
ˈa	ˈa	0.318
k	k	0.316
ˈiː	ˈəi̯	0.308
ˈɪ	ˈəi̯	0.286
ˈœ	-	0.286
ˈaː	-	0.286
x	ç	0.286
x	k	0.286
j	j	0.267
#>	ˈiː_#>	0.267
ˈɔʊ̯	-	0.25
ˈɔ	ˈø	0.25
ˈøː	-	0.25
ɡ̊	-	0.25
ˈe	-	0.235
ˈa	ˈɑː	0.227
ˈɛ	ˈeː	0.222
ˈaː	ˈɑː	0.214
ɫ	-	0.211
d	ð	0.207
s	s	0.2
ˈeː	ˈɪ	0.19
ˈeː	ˈi	0.19
ˈa	ˈe	0.182
ˈɛ	ˈa	0.167
k	-	0.158
ˈœ	ˈaːɪ̯	0.143
ˈoː	ˈiː	0.143
ˈoː	ˈi	0.143
ˈeː	ˈɛ	0.143
ˈeː	ˈe	0.143
ˈaː	ˈɛ	0.143
ˈa	ˈɪ	0.136
ˈa	-	0.136
n	-	0.136
ʦ	r_t	0.133
j	-	0.133
#>	θ_#>	0.133
ŋ	n_d	0.13
ˈɛː	ˈɛː	0.125
ʀ	ˈɪ	0.118
ʀ	ˈi	0.118
ʀ	r_ˈi	0.118
n	r_n	0.114
ˈɛ	-	0.111
f	p	0.111
ʋ	ʍ	0.08
ˈo	ˈøː	0.071
ɐ	ˈiː_r	0.057
k	ʤ	0.053
