North Frisian	American English	probability
ˈɛː	ˈɛ	1.0
ˈɛ	ˈi	1.0
ˈɔ	ˈɔ	1.0
ˈɒ_x	ˈʌɪ̯	1.0
ˈœ_r	ˈɝ	1.0
ˈøː_j	ˈaʊ̯	1.0
ˈøː	ˈaʊ̯	1.0
ˈuː_l	ˈæ	1.0
ˈuː	ˈi	1.0
ˈiː_ə	ˈi	1.0
ˈeː_l	ˈɛ_ɫ	1.0
ˈeː_#>	ˈi_#>	1.0
ˈai̯	ˈɪ	1.0
ˈa_x	ˈʌɪ̯	1.0
ɡ	ɡ	1.0
ə_v	f	1.0
ə_r	ɚ	1.0
ŋ_#>	#>	1.0
ŋ	ŋ	1.0
x	ˈʌɪ̯	1.0
w	ˈaɪ̯	1.0
v_ə	v	1.0
tʲ	ʔ	1.0
r_ˈiː	ɹ_ˈi	1.0
r_t	ɹ_ʔ	1.0
r_n	ɹ_n	1.0
m	m	1.0
l	ɫ	1.0
k_ə	k	1.0
k_#>	#>	1.0
i	i	1.0
h	h	1.0
f_#>	#>	1.0
f	f	1.0
dʲ	d	1.0
d_r	d_ɹ	1.0
b	b	1.0
<#_t	<#	1.0
<#_r	<#_ɹ	1.0
<#_j	<#	1.0
s	s	0.959
ʃ	ʃ	0.867
v	w	0.857
p	p	0.833
d	d	0.783
n	n	0.778
ə	-	0.771
ˈɛi̯	ˈi	0.667
d_ə	ð	0.667
ˈaː	ˈʌ	0.6
n_ə	n_d	0.6
lʲ	ɫ_d	0.6
ˈʊ	ˈʌ	0.583
ˈɔu̯	ˈʌ	0.571
ˈɒː	ˈɛ	0.571
ˈʏ	ˈʌ	0.5
ˈʏ	ˈɪ	0.5
ˈɒ	ˈɑ	0.5
ˈɒ	ˈæ	0.5
z	z	0.5
z	-	0.5
nʲ	n_d	0.5
nʲ	n	0.5
r	ɚ	0.489
r	ɹ	0.444
ˈɔu̯	ˈu	0.429
ˈɒː	ˈæ	0.429
k	kʰ	0.429
j	j	0.429
ˈyː	ˈaʊ̯	0.421
ˈi	ˈaɪ̯	0.412
ˈeː	ˈɪ	0.4
ˈaː	ˈɪ	0.4
n_ə	n	0.4
lʲ	ɫ	0.4
k	k	0.381
ˈɔː	ˈɑ	0.364
ˈœ	ˈæ	0.364
ˈiː	ˈoʊ̯	0.364
t	ʔ	0.364
ˈɛi̯	ˈeɪ̯	0.333
ˈa	ˈɪ	0.333
d_ə	ɾ	0.333
ˈiː	ˈi	0.318
ˈyː	ˈɛ	0.316
t	t	0.295
ˈi	ˈɪ	0.294
j	oʊ̯	0.286
j	-	0.286
ˈɔː	ˈɛ	0.273
ˈœ	ˈʊ	0.273
ˈa	-	0.267
ˈʊ	-	0.25
ˈiː	ˈaɪ̯	0.227
d	θ	0.217
ˈeː	ˈɑ	0.2
ˈeː	ˈæ	0.2
ˈeː	ˈi	0.2
ˈa	ˈʌ	0.2
ˈa	ˈɑ	0.2
k	ʧ	0.19
ˈɔː	ˈæ	0.182
ˈɔː	ˈeɪ̯	0.182
ˈœ	ˈʌ	0.182
ˈœ	ˈoʊ̯	0.182
t	tʰ	0.182
ˈi	ˈʌɪ̯	0.176
ˈʊ	w_ˈʊ	0.167
p	pʰ	0.167
t	θ	0.159
ˈyː	ˈaɪ̯	0.158
v	v	0.143
n	-	0.139
ʃ	ʧ	0.133
ˈi	ˈi	0.118
ə	ə	0.114
ˈyː	ˈoʊ̯	0.105
ˈiː	ˈɛ	0.091
n	n_d	0.083
r	ˈɝ	0.067
ə	ɡ	0.057
ə	ɚ	0.057
