Neapolitan	Neapolitan	probability
ˈɛ_lː	ˈɛː	1.0
ˈɔ_sː	s	1.0
ˈɔ_n	n	1.0
ˈɔ_k	w	1.0
ˈu_ɾ	r	1.0
ʧː	ˈiː_ʧ	1.0
ʧ	ʃ	1.0
ʦː	ʦ	1.0
ʦ	-	1.0
ʤː	ʥ	1.0
ʎː	ʎ	1.0
ʃ_ə_#>	ʃ_#>	1.0
ɾ_n	r_n	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
z	s	1.0
v_ə_#>	f_#>	1.0
rː	r	1.0
r	r	1.0
o	-	1.0
nː	n	1.0
n_t	n_ʨ	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
kː_ə	ʨ_ə	1.0
kː_j	ʎ	1.0
k_ə_#>	k_#>	1.0
k_w	k	1.0
k_j	p_l	1.0
j_ˈɛ	ˈɛ	1.0
j_ə	s	1.0
f	f	1.0
e	-	1.0
dː	t	1.0
d_ə	t	1.0
d	d	1.0
bː	b	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_ə	1.0
<#	<#_ˈa	1.0
v	v	0.875
#>	r_#>	0.875
s	s	0.857
l	l	0.857
ə	ə	0.831
ɾ	r	0.826
p	p	0.821
n	n	0.769
a	ə	0.769
t	t	0.654
j	-	0.615
ˈu	ˈu	0.6
ʃː	ʃ	0.6
k	ʨ	0.6
i	-	0.6
ˈo	ˈu	0.583
tː	t	0.556
ʤ	ʃ	0.5
ʤ	-	0.5
ɲː	ɲ	0.5
u	u	0.5
ʃ	ʧ	0.476
tː	ʨ	0.444
ˈe	ˈa_j	0.429
ˈa	ˈa	0.429
ʃ	ʃ	0.429
w	-	0.421
ʃː	ʧ	0.4
ˈa	ˈaː	0.393
ˈi	ˈiː	0.371
t	d	0.346
k	k	0.343
ˈo	ˈuː	0.333
ˈɛ	ˈɛː	0.294
ˈɛ	ˈɛ	0.294
ˈi	ˈi	0.286
i	ə	0.267
ɲː	ŋ_ɡ	0.25
ɲː	-	0.25
u	o	0.25
u	-	0.25
ˈɔ	ˈɔː	0.24
ˈɛ	ˈiə̯	0.235
j	l	0.231
ˈe	ˈeː	0.214
ˈe	ˈe	0.214
w	w	0.211
ˈɔ	ˈu	0.2
ˈɔ	w	0.2
ˈɛ	ˈa_j	0.176
ˈi	ˈa_j	0.171
ˈu	ˈi	0.167
ˈɔ	-	0.16
w	ˈɔ	0.158
n	w_n	0.154
j	j	0.154
a	u	0.154
ˈe	-	0.143
s	ʃ	0.143
l	ʎ	0.143
ˈu	ˈiː	0.133
i	i	0.133
ɾ	-	0.13
ˈa	ˈɔ	0.125
#>	s_#>	0.125
ˈɔ	ˈɔ	0.12
ˈi	ˈe	0.114
p	v	0.107
w	ˈuː	0.105
w	j_ˈɛ	0.105
ˈu	-	0.1
ʃ	f_l	0.095
ˈo	ˈo	0.083
v	b	0.083
ˈɔ	ˈɛ	0.08
n	-	0.077
a	a	0.077
p	w	0.071
ˈi	-	0.057
k	-	0.057
ə	i	0.056
ə	-	0.056
ˈa	-	0.054
