English	English	probability
θ_#>	#>	1.0
θ	tʰ	1.0
ˈɜː	-	1.0
ˈɛ	-	1.0
ˈɑː_t	ʈː	1.0
ˈɐ_ð	ˈuː	1.0
ˈuː_#>	#>	1.0
ˈeɪ̯_#>	#>	1.0
ˈe_d	ˈøː	1.0
ʧ	k	1.0
ʤ	ɡː	1.0
ɹ	ɾ	1.0
ɫ_#>	l_#>	1.0
ɜː	ɾ_ˈɛ	1.0
əʊ̯	-	1.0
ŋ_k	kː	1.0
ŋ	ŋː	1.0
ð	-	1.0
z	s_ə	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
l_ˈiː	l_ˈøː	1.0
kʰ	kʰ	1.0
f	f	1.0
d_ə	ə_ɾ	1.0
d_#>	#>	1.0
d	d	1.0
b	b	1.0
<#_ˈɐ	<#_ˈɔ	1.0
<#_ˈe	<#_ˈɛ	1.0
<#_ɹ	<#_ɾ	1.0
<#_w	<#	1.0
<#_j	<#	1.0
<#	<#_ˈɛ	1.0
#>	ɡ_#>	1.0
l	l	0.92
w	ʋ	0.913
p	p	0.9
s	s	0.864
h	h	0.864
k	k	0.833
ˈæ	ˈɑ	0.778
ˈaʊ̯	ˈʉː	0.75
m	m	0.75
ˈeɪ̯	ˈɑː	0.667
ɪ	-	0.667
ɫ	lː	0.615
ˈɒ	ˈɑ	0.6
ʃ	s_k	0.6
t	t	0.585
ɡ	ɡ	0.583
n_d	nː	0.571
f_#>	ʋ_#>	0.571
n	n	0.553
ˈʊ	ˈʉ	0.5
ˈʊ	ˈuː	0.5
ˈɐ	ˈʉ	0.5
ˈuː	ˈuː	0.5
j	ɡ	0.5
j	-	0.5
ə	ɾ	0.483
v	-	0.444
n_d	nː_ə	0.429
f_#>	#>	0.429
ˈɒ	ˈʉː	0.4
ʃ	ʂ	0.4
ɫ	l	0.385
ˈəʊ̯	ˈæɪ̯	0.375
ˈe	ˈɛ	0.368
ˈe	-	0.368
ˈɔː	ˈɑ	0.357
ˈɑː	ˈɑː	0.333
ˈeɪ̯	ˈæɪ̯	0.333
ɪ	i	0.333
v	ʋ_ə	0.333
ˈaɪ̯	ˈiː	0.321
ˈuː	ˈoː	0.3
ˈɔː	ˈuː	0.286
t	tː	0.268
ˈəʊ̯	ˈoː	0.25
ˈaʊ̯	ˈʉ	0.25
ɡ	j	0.25
m	mː	0.25
ˈɪ	ˈɪ	0.242
ˈɑː	ˈɑ_ɾ	0.222
ˈɑː	ˈɑ	0.222
ˈɑː	-	0.222
ˈæ	-	0.222
v	ʋ	0.222
ˈɔː	ɾ	0.214
ˈuː	-	0.2
ˈiː	ˈœ	0.192
ˈiː	ˈeː	0.192
ˈəʊ̯	ˈɛ	0.188
ˈəʊ̯	-	0.188
ˈaɪ̯	ˈɪ	0.179
ə	ə	0.172
n	nː	0.17
ˈɐ	ˈʊ	0.167
ˈɐ	ˈɔ	0.167
ˈɐ	ˈœ	0.167
ɡ	ə	0.167
k	-	0.167
ˈe	ˈøː	0.158
ˈiː	-	0.154
ˈɪ	ˈʏ	0.152
ˈɪ	ˈiː	0.152
ˈɔː	ˈɔ_ɾ	0.143
ˈaɪ̯	ˈyː	0.143
ə	ə_ɾ	0.138
h	j	0.136
ˈɪ	ˈyː	0.121
ˈɪ	-	0.121
ˈiː	ˈøː	0.115
ˈiː	ˈyː	0.115
ˈiː	ˈoː	0.115
ˈaɪ̯	ˈʉː	0.107
ˈaɪ̯	ˈɛ	0.107
ˈe	ˈʉː	0.105
ə	ɾ_ə	0.103
ə	-	0.103
p	pː	0.1
t	-	0.098
ˈɪ	ˈœ	0.091
s	ʂ	0.091
w	-	0.087
n	ɳ	0.085
n	-	0.085
l	lː	0.08
ˈiː	ˈiː	0.077
ˈaɪ̯	ˈøː_j	0.071
ˈaɪ̯	-	0.071
n	ə	0.064
ˈɪ	ˈøː_ɾ	0.061
ˈɪ	ˈoː	0.061
