Afrikaans	Afrikaans	probability
ˈɪə̯_t	sː	1.0
ˈɪə̯_n_#>	ˈæi̯_#>	1.0
ˈɪø̯	-	1.0
ˈɛː	-	1.0
ˈɑː_n_#>	ˈɒː_#>	1.0
ˈœu̯	ˈɒ_l	1.0
ˈyː	ˈyː	1.0
ˈoː	ˈoː_tː	1.0
ɦ	h	1.0
ə_n	ə	1.0
ŋ_#>	#>	1.0
w	ˈeː	1.0
v̥_#>	b̥_#>	1.0
v_ə	b̥_ə	1.0
v	ʋ	1.0
s_k	ʒ̊	1.0
s_#>	#>	1.0
r_χ	r_ɡ̊	1.0
r_ə	r_n	1.0
r_d̥	r_tː	1.0
r	r	1.0
n_d̥	ŋ	1.0
m	m	1.0
j_#>	#>	1.0
j	j	1.0
i_n	æ	1.0
d_ə	d̥	1.0
b	b̥	1.0
<#_ˈa	<#_ˈɒ	1.0
<#_r	<#_r	1.0
<#_d	<#_tː	1.0
<#	<#_ɡ̊	1.0
#>	ɡ̊_#>	1.0
ɫ	l	0.977
n	n	0.884
d	d̥	0.875
ŋ	ŋ	0.818
ˈœɪ̯	ˈuː	0.8
v̥	v̥	0.786
ˈə	ˈi	0.773
ˈɛ	ˈæ	0.667
ˈu	ˈuə̯	0.667
ə	ə	0.652
χ	ɡ̊	0.641
ˈɔ	ˈu	0.6
d̥	d̥	0.565
ˈa	ˈɒ	0.552
ˈəɪ̯	ˈiː	0.533
ˈœ	ˈy	0.5
ˈœ	ˈu	0.5
ˈæː	ˈæ	0.5
ˈæː	-	0.5
s	z̥	0.464
d̥	tː	0.435
ˈi	ˈyː	0.412
ˈɔ	ˈo	0.4
p	p͡f	0.4
p	fː	0.4
k	ɣ̊	0.4
t	sː	0.385
ˈɪə̯	ˈæ	0.375
ˈæ	ˈi	0.375
ˈæ	ˈe	0.375
k	χː	0.367
t	ʦ	0.359
ˈɑː	ˈɒː	0.348
ˈɛ	ˈy	0.333
ˈu	ˈyə̯	0.333
ˈʊə̯	ˈoː	0.28
ˈəɪ̯	ˈæi̯	0.267
ˈɑː	ˈɒ	0.261
ə	i	0.261
t	tː	0.256
ˈɪə̯	ˈæi̯	0.25
ˈɪə̯	-	0.25
ˈæ	ˈæ	0.25
ˈʊə̯	ˈo	0.24
ˈʊə̯	ˈau̯	0.24
ˈi	ˈiə̯	0.235
k	kː	0.233
s	ʒ̊	0.232
s	ʃː	0.232
ˈa	ˈɒː	0.207
ˈəɪ̯	-	0.2
ˈœɪ̯	ˈyː	0.2
p	fː_ə	0.2
ŋ	ɡ̊	0.182
ˈʊə̯	ˈøː	0.16
v̥	fː	0.143
ˈə	-	0.136
ˈɑː	ˈæ	0.13
ˈɑː	ˈoː	0.13
ˈɑː	-	0.13
χ	χː_tː	0.128
χ	χː	0.128
ˈɪə̯	ˈæː	0.125
d	tː	0.125
ˈi	ˈy	0.118
ˈi	ˈeː	0.118
ˈi	-	0.118
n	-	0.116
χ	kː	0.103
ˈa	ˈæ	0.103
ˈə	ˈiə̯	0.091
ə	-	0.087
ˈʊə̯	-	0.08
v̥	v̥_ˈyː	0.071
ˈa	ˈø	0.069
ˈa	-	0.069
