Galician	Galician	probability
θ_ʊ	ʦ	1.0
θ_#>	#>	1.0
β_ˈe	v_ˈe	1.0
β_ɪ	f	1.0
ˈɛ_s	ˈe	1.0
ˈɑ_ŋ	ˈɑ̃	1.0
ˈɑ	-	1.0
ˈo_β	ˈy	1.0
ˈo_ŋ	ˈɔ̃	1.0
ˈi_θ	s	1.0
ˈi_ɲ	ˈĩ	1.0
ˈi_ŋ	ˈĩ	1.0
ˈe_n	ˈɛ̃	1.0
ˈa_ɾ	ˈɛː_ʁ	1.0
ˈa_n	ˈɑ̃	1.0
ˈa_l	ˈɑː	1.0
ˈa_#>	ˈa_n_a_#>	1.0
ʊ_#>	#>	1.0
ɾ_ɪ	ʁ_o	1.0
ɾ_ɐ	ʁ_a	1.0
ɾ_t	ʁ	1.0
ɲ_ʊ	ˈɛ̃	1.0
ɪ_#>	#>	1.0
ɪ	o	1.0
ɣ_ʊ	ˈa	1.0
ɑ	ĩ_ʒ	1.0
ɐ_#>	#>	1.0
t_ʊ_#>	#>	1.0
t_ɪ_#>	#>	1.0
t	t	1.0
r	ʁ	1.0
l_#>	#>	1.0
k_ʊ_#>	#>	1.0
k_ɾ	k_ʁ	1.0
i	-	1.0
f	f	1.0
e_s	e	1.0
e_n	ɛ̃	1.0
e_j	y	1.0
d	d	1.0
a_n	ɑ̃	1.0
<#_θ	<#_s	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ʃ	<#_ð	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
#>	l_#>	1.0
p	p	0.889
j	-	0.889
ð	-	0.846
ɾ_#>	#>	0.833
ɟ	ʎ	0.833
l	l	0.833
s	s	0.828
ʊ	o	0.818
w	-	0.8
m	m	0.793
ɡ	ɡ	0.75
s_#>	#>	0.75
ɣ	-	0.7
ɾ	ʁ	0.64
b	v	0.621
ɐ	a	0.615
a	a	0.615
ŋ	-	0.6
ɲ	n	0.571
ˈa	ˈa	0.513
ʧ	p_l	0.5
ʧ	f_l	0.5
ʃ	s	0.5
u	o	0.5
u	-	0.5
k	k	0.486
ɲ	ɲ	0.429
k	ʃ	0.429
ˈi	ˈi	0.417
o	o	0.417
o	-	0.417
ˈu	ˈu	0.4
ŋ	ˈɔ̃	0.4
θ	ʃ	0.385
ˈe	ˈɛː	0.382
b	b	0.379
n	-	0.375
e	ə	0.357
β	v	0.35
ˈɛ	ˈe	0.333
ˈɔ	w	0.333
ˈu	w	0.333
β	-	0.3
ɣ	ɡ	0.3
ˈɔ	ˈoː	0.292
e	ɛ	0.286
ɐ	ə	0.269
ˈu	-	0.267
ˈe	ˈi	0.265
β	b	0.25
ˈo	w	0.25
ˈi	ˈe	0.25
ˈi	-	0.25
ʃ	ð	0.25
ʃ	-	0.25
ɡ	-	0.25
s_#>	ʃ_#>	0.25
n	ˈɛ̃	0.25
n	n	0.25
ˈe	ˈɛ	0.235
θ	z	0.231
θ	-	0.231
a	-	0.231
ˈɛ	ˈɛ	0.222
ˈɛ	j_ˈe	0.222
ˈɛ	-	0.222
e	-	0.214
m	-	0.207
w	w	0.2
ʊ	ʎ	0.182
ˈɔ	ˈu	0.167
ˈo	ˈoː	0.167
ɾ_#>	ˈe_#>	0.167
ɟ	ˈø	0.167
o	ɔ	0.167
l	-	0.167
ɾ	ð	0.16
θ	s	0.154
ð	d	0.154
a	ə	0.154
e	e	0.143
ˈo	ˈɔ	0.139
ˈo	ˈo	0.139
ˈa	j	0.128
ˈɔ	ˈø	0.125
n	ˈɑ̃	0.125
ˈo	ˈɔ̃	0.111
p	-	0.111
j	ˈe	0.111
ˈa	ˈaː	0.103
s	-	0.103
β	ˈe_v	0.1
k	t	0.086
ˈɔ	-	0.083
ˈo	w_ˈe	0.083
ˈi	ˈĩ	0.083
ɾ	ð_ə	0.08
ˈa	ˈɑː	0.077
ˈa	ˈe	0.077
ɐ	i	0.077
s	ˈe	0.069
ˈe	ˈɛ̃	0.059
ˈe	-	0.059
ˈo	ˈø	0.056
ˈo	-	0.056
ˈa	l	0.051
ˈa	-	0.051
