West Flemish	West Flemish	probability
ˈøː	-	1.0
ˈu_d̥	ˈaː_l	1.0
ˈoː_v	v	1.0
ˈiə̯_n	n	1.0
ˈi	ˈæːɪ̯	1.0
ʋ_ə_#>	#>	1.0
ʃ_h	ʃ	1.0
ɾ_ˈiə̯	ʀ	1.0
ɾ_ə	ɐ	1.0
ɾ_n_#>	ʀ_#>	1.0
ɪ	e	1.0
ɦ̥_#>	#>	1.0
ɦ̥	ɕ	1.0
ɦ_ə_#>	#>	1.0
ɦ_ə	k	1.0
ə_ɾ	ɐ	1.0
ŋ	ŋ	1.0
ç	ɕ	1.0
z̥	z̥	1.0
v̥	v̥	1.0
v_ˈøː	f	1.0
v_ə	ə_f	1.0
t_ɾ	t_ɐ	1.0
s_#>	#>	1.0
p_#>	f_#>	1.0
n_ə_#>	ŋ_#>	1.0
m	m	1.0
l	l	1.0
k_ə	χ	1.0
j	j	1.0
iə̯	e	1.0
d	d	1.0
b	b	1.0
<#_ˈɒː	<#_ˈaː	1.0
<#_ˈɑ	<#_h_ˈɑ	1.0
<#_ˈu	<#_h_ˈo	1.0
<#_ˈoː	<#_h_ˈɜɪ̯	1.0
<#_ɾ	<#_ʀ	1.0
<#_n	<#_n	1.0
<#	<#_h	1.0
n	n	0.965
s	ʃ	0.905
d̥	d̥	0.87
v	f	0.84
z	z	0.81
ə	-	0.792
ˈɛː	ˈeː	0.778
ˈiə̯	ˈɜɪ̯	0.733
ˈɑ	ˈaː	0.714
h	ɕ	0.714
p	p	0.667
ʋ	v	0.65
ɦ	ɡ	0.611
ˈɪ	ˈɑ	0.6
w	l_ə	0.6
ˈɒː	ˈoː	0.5
ˈu	ˈɔ	0.5
ˈu	-	0.5
n_d	n_ə	0.5
n_d	n	0.5
k	kʰ	0.448
ɾ	ʀ	0.422
ˈoː	ˈaː	0.421
ˈɔ	ˈo	0.417
ˈɔ	-	0.417
ˈæ	-	0.4
ˈyː	ˈɑʊ̯	0.4
ˈyː	ˈæːʊ̯	0.4
ˈeː	-	0.4
w	l	0.4
ɾ	ɐ	0.378
ˈɛ	ˈɛ	0.375
ˈɛ	-	0.375
ˈœ	ˈo	0.375
ˈœ	ˈe	0.375
ʋ	w	0.35
t	ʦ	0.348
t	t	0.348
ˈeː	ˈeː	0.333
p	f_ə	0.333
ˈoː	ˈəʊ̯	0.316
ˈɒː	-	0.312
h	χ	0.286
t	s	0.283
ˈiə̯	ˈɑɪ̯	0.267
ˈeː	ˈiə̯	0.267
ˈɛ	ˈə	0.25
ˈœ	ˈə	0.25
k	ɕ	0.241
ˈuə̯	ˈʊ	0.231
ˈuə̯	ˈu	0.231
ˈuə̯	-	0.231
ˈɛː	-	0.222
ɦ	-	0.222
ə	ə	0.208
ˈɪ	ˈə	0.2
ˈɪ	ˈe	0.2
ˈæ	ˈiː	0.2
ˈyː	-	0.2
ˈɑ	ˈɑ	0.19
z	ʃ	0.19
ˈɒː	ˈaː	0.188
ˈɔ	ˈɑ	0.167
ɦ	ə	0.167
ˈoː	-	0.158
ˈuə̯	ˈɜɪ̯	0.154
ˈuə̯	ˈi	0.154
ˈæ	ˈɛː	0.133
ˈæ	ˈə	0.133
ˈæ	ˈeː	0.133
d̥	t	0.13
ɾ	-	0.111
ˈoː	ˈo	0.105
k	k	0.103
ˈɑ	ˈuə̯	0.095
s	-	0.095
v	v	0.08
v	-	0.08
k	χ	0.069
k	ɡ̊	0.069
k	k_ə	0.069
