Faroese	Faroese	probability
ˈʊ̯iː_ɹ	ˈiə̯_ɾ	1.0
ˈʊ_ʤ̊ː	ˈiə̯	1.0
ˈɛːi̯	ˈoː	1.0
ˈɔːu̯_w	ˈuə̯	1.0
ˈɔːi̯	ˈoː	1.0
ˈoː	ˈoː	1.0
ˈeː	ˈeː	1.0
ˈaːi̯	-	1.0
ˈai̯	ˈɛː	1.0
ʰʧ	k	1.0
ʰt͡n̥	t_ɾ	1.0
ʰp	p	1.0
ʰk	k	1.0
ʧʰ	k	1.0
ʧ	k	1.0
ʊ_ɹ_#>	#>	1.0
ʊ_ɹ	d̥	1.0
ʊ_#>	ə_#>	1.0
ʈ	-	1.0
ɹ_ʊ	ɾ	1.0
ɹ_#>	#>	1.0
ɲ	-	1.0
ɪ_ɹ	ɾ	1.0
ɡ̊_ʊ	k	1.0
ɡ̊_ɹ	ɦ_ɾ	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ	ŋ	1.0
w	-	1.0
v̥	-	1.0
t͡n̥	ɾ_n	1.0
t͡l̥	-	1.0
tʰ	d	1.0
t	t	1.0
s_k	s	1.0
s_#>	z̥_#>	1.0
r	-	1.0
p	p	1.0
n̥	n	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l̥	w	1.0
kʰ_v	ʋ	1.0
kʰ	k	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ˈœ	ˈæ	1.0
j_ʊ	d̥	1.0
h	ˈoː	1.0
f_ˈɪ	v	1.0
b̥	b	1.0
a_#>	#>	1.0
<#_ɹ	<#_ɾ	1.0
<#_v	<#_ʋ	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_h_ˈɔ	<#_ˈɑ	1.0
<#_h	<#	1.0
<#_d̥	<#_d	1.0
#>	ə_#>	1.0
ɹ	ɾ	0.897
f	v	0.882
v_ʊ	v̥	0.833
d̥	d̥	0.818
ˈʊ̯iː	ˈi	0.8
ɡ̊	-	0.778
l	l	0.75
ˈʉːu̯	ˈyː	0.667
ˈøː	ˈuə̯	0.667
nː	n	0.667
s	z	0.645
ɪ	-	0.625
ˈɔːu̯	ˈuə̯	0.6
ˈiː	-	0.6
ʤ̊	ɦ	0.6
ʃ	ʃ_h	0.6
ʊ	ə	0.545
a	n	0.524
ˈɪ	ˈɪ	0.5
ˈɔ̯aː	ˈɒː	0.5
ˈa	ˈɑ	0.5
ʰt	t	0.5
ʰt	h_t	0.5
ˈʊ	ˈu	0.462
ˈɛːa̯	ˈɑ	0.462
a	ə	0.452
ˈœ	ˈɔ	0.444
v	ʋ	0.417
v	v	0.417
ˈɛ	ˈæ	0.4
ˈɛ	-	0.4
ˈɔːu̯	ˈiə̯	0.4
ˈiː	ˈɛ	0.4
ʤ̊	-	0.4
ʃ	z	0.4
ˈʊ	-	0.385
ˈɛːa̯	ˈɒː	0.385
ɪ	ə	0.375
s	s	0.355
ˈʉːu̯	ˈiə̯	0.333
ˈœ	-	0.333
ˈøː	ˈøː	0.333
nː	n_d	0.333
j	-	0.333
<#	<#_ɦ	0.333
ˈɔ	ˈɑ	0.308
ˈa	ˈɒː	0.286
ʊ	-	0.273
ˈɪ	ˈœ	0.25
ˈɔ̯aː	n	0.25
ˈɔ̯aː	-	0.25
l	w	0.25
ˈɔ	ˈoː	0.231
ˈɔ	-	0.231
ˈœ	ˈɑ	0.222
ɡ̊	ɦ_ə	0.222
j	ˈæ	0.222
j	ɦ	0.222
j	d	0.222
<#	<#_ʋ	0.222
<#	<#_j	0.222
<#	<#_d	0.222
ˈa	-	0.214
ˈʊ̯iː	ˈiə̯	0.2
ˈɛ	ˈɑ	0.2
ʊ	ɦ̥	0.182
d̥	d	0.182
v_ʊ	ç	0.167
v	-	0.167
ˈʊ	ˈɔ	0.154
ˈɛːa̯	-	0.154
ˈɔ	ˈɔ	0.154
ˈɪ	ˈu_ʋ	0.125
ˈɪ	-	0.125
f	v_ˈøː	0.118
ɹ	-	0.103
ˈɔ	ɪ	0.077
