Bokmål Norwegian	German	probability
ˈʏ	ˈʏ	1.0
ˈʉː_#>	ˈuː_#>	1.0
ˈɪ	ˈɪ	1.0
ˈɛ_nː	ˈɛ_n	1.0
ˈuː_#>	ˈuː_t_#>	1.0
ˈoː_n	ˈoː_n	1.0
ˈoː	ˈaː	1.0
ʋ_ə	b	1.0
ʋ_#>	b̥_#>	1.0
ʋ	v	1.0
ɾ_ə	ɐ	1.0
ɳ_#>	ɐ_n_#>	1.0
ɡː_#>	k_ə_#>	1.0
ɡː	k	1.0
ɡ_ə	ɡ_n	1.0
ɡ_#>	ɡ̊_#>	1.0
ə_n	ə	1.0
ŋː_#>	ŋ_#>	1.0
ŋː	ŋ	1.0
ç	kʰ	1.0
tː_ə	x_t	1.0
t_ə	s_n	1.0
t	t	1.0
sː_#>	s_#>	1.0
s_t	s_t	1.0
s_k_#>	ʃ_#>	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
p_ə	f_n	1.0
p_#>	f_#>	1.0
p	f	1.0
nː_ə	n_d	1.0
nː_#>	n_d̥_#>	1.0
n_#>	n_#>	1.0
n	n	1.0
m_#>	m_#>	1.0
lː	l	1.0
l_ˈuː	l_ˈuː	1.0
l_ʋ	l_f	1.0
l	l	1.0
kː	ŋ_k	1.0
i	ɪ	1.0
d_#>	t_#>	1.0
d	d	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ʋ	<#_v	1.0
<#_ɾ	<#_ʁ	1.0
<#_ɡ	<#_ɡ	1.0
<#_pʰ	<#_p͡f	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_kʰ	1.0
<#_j	<#_ɡ	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_d	<#_tʰ	1.0
<#_b	<#_b	1.0
ˈɑ	ˈa	0.905
ɾ_#>	ɐ_#>	0.889
ə	-	0.857
nː	n	0.8
ˈæɪ̯	ˈaɪ̯	0.778
<#	<#_v	0.778
ˈʉ	ˈʊ	0.727
ˈyː	ˈiː	0.727
ɾ	ʁ	0.679
t_#>	s_#>	0.667
mː	m_ə	0.667
l_#>	l_#>	0.667
k_#>	ç_#>	0.667
ˈøː_#>	ˈoː_t_#>	0.6
ˈæː	ˈeː	0.6
lː_#>	l_d̥_#>	0.6
j	-	0.6
ʂ	ʃ	0.571
<#_tʰ	<#_d	0.571
ˈiː	ˈaɪ̯	0.562
ˈɑː	ˈaː	0.545
ˈʉː	ˈaʊ̯	0.533
<#_s	<#_ʃ	0.529
ə_#>	ə_#>	0.513
ˈɛ	ˈɛ	0.5
ˈɛ	ˈaɪ̯	0.5
ˈœ	ˈʏ	0.5
ˈœ	ˈʊ	0.5
ˈuː	ˈɔ	0.5
ˈuː	ˈuː	0.5
#>	n_#>	0.489
ə_#>	n_#>	0.487
<#_s	<#_z	0.471
ˈɑː	ˈa	0.455
ˈeː	ˈaɪ̯	0.429
ʂ	z	0.429
<#_tʰ	<#_ʦ	0.429
ˈøː_#>	ˈeː_#>	0.4
ˈæː	ˈɛ	0.4
lː_#>	l_#>	0.4
k	x	0.4
j	h	0.4
tː	ʦ	0.375
tː	s	0.375
ˈɔ	ˈʊ	0.333
ˈɔ	ˈɔ	0.333
ˈɔ	ˈa	0.333
t_#>	t_#>	0.333
mː	m	0.333
l_#>	ɡ_l_#>	0.333
k_#>	x_#>	0.333
ɾ	ɐ	0.321
ˈøː	ˈoː	0.3
ˈøː	ˈaʊ̯	0.3
k	ç	0.3
k	-	0.3
ˈeː	ˈɛ	0.286
ˈeː	ˈeː	0.286
ˈʉ	ˈɔ	0.273
ˈyː	ˈɔʏ̯	0.273
ˈiː	ˈɪ	0.25
tː	ç	0.25
#>	t_#>	0.234
ˈæɪ̯	ˈeː	0.222
<#	<#_j	0.222
ˈʉː	ˈiː	0.2
ˈøː	ˈøː	0.2
ˈøː	ˈuː	0.2
nː	n_ə	0.2
ˈiː	ˈiː	0.188
ə	d̥	0.143
ˈʉː	ˈɔ	0.133
ˈʉː	ˈoː	0.133
#>	ɐ_#>	0.128
ɾ_#>	ɐ_t_#>	0.111
#>	ç_#>	0.106
ˈɑ	ˈaː	0.095
