Faroese	Faroese	probability
ˈʊ_ʤ̊ː	ˈiː	1.0
ˈɪ_ɡ̊	ˈʉː	1.0
ˈɛːi̯_j	ˈøː	1.0
ˈɛ_ɡ̊	ˈuː	1.0
ˈɔ̯aː	ˈoː	1.0
ˈɔːu̯_w	ˈuː	1.0
ˈuː	ˈʉː	1.0
ʰʧ	kː	1.0
ʰt͡n̥	nː	1.0
ʰp	p	1.0
ʧʰ	ç	1.0
ʧ	k	1.0
ʤ̊	-	1.0
ʊ_ɹ_#>	#>	1.0
ʊ_#>	#>	1.0
ʈ	ʈː	1.0
ɹ_a	ɾ_ə	1.0
ɲ	ŋː	1.0
ɪ_ɹ	ɾ	1.0
ɡ̊ː	ɡː	1.0
ɡ̊_ʊ	ə	1.0
ŋ_ɡ̊	ŋː	1.0
ŋ	ŋː	1.0
w_ʊ	ə	1.0
w	-	1.0
t͡n̥	ɳ	1.0
tʰ_ˈʊ	tʰ	1.0
sː	sː	1.0
s	s	1.0
r	-	1.0
pʰ	pʰ	1.0
p	p	1.0
n̥	n	1.0
nː	nː	1.0
n_d̥	nː	1.0
mː	-	1.0
l̥	l	1.0
l_v	lː	1.0
l_d̥	lː	1.0
kʰ_v	ʋ	1.0
kʰ	kʰ	1.0
k	k	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
b̥	b	1.0
a_v	i	1.0
a_#>	#>	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ɹ	<#_ɾ	1.0
<#_j	<#_j	1.0
<#	<#_j	1.0
a	ə	0.961
n	n	0.938
l	l	0.938
t	t	0.913
tʰ	tʰ	0.895
ɹ	ɾ	0.86
ˈʉːu̯	ˈʉː	0.846
m	m	0.826
ɪ	ə	0.812
v	ʋ	0.812
<#_ɡ̊	<#_ɡ	0.8
ˈʊ	ˈʉ	0.722
ˈa	ˈɑ	0.714
ʰt	tː	0.714
t͡l̥	lː	0.714
ˈʊ̯iː	ˈiː	0.706
ˈɔːi̯	ˈøː	0.667
ˈai̯	ˈæɪ̯	0.667
ʊ	ə	0.667
v̥	-	0.667
ˈɛːa̯	ˈɑː	0.625
ˈɔːu̯	ˈuː	0.625
ˈʏ	-	0.6
ˈoː	ˈuː	0.6
ʰk	kː	0.6
ʤ̊ː	ɡː	0.6
ˈɛːi̯	ˈøː	0.571
ʃ	s	0.556
ˈɪ	ˈɪ	0.55
j	-	0.545
ˈaːi̯	ˈæɪ̯	0.5
ˈaːi̯	-	0.5
ˈɛ	ˈɛ	0.462
j	j	0.455
ʃ	ʂ	0.444
ˈɛːi̯	-	0.429
ˈʏ	ˈʉ	0.4
ˈoː	-	0.4
ʰk	-	0.4
ʤ̊ː	-	0.4
ɡ̊	ɡ	0.4
ˈɔːu̯	ˈyː	0.375
ˈiː	ˈiː	0.375
ˈiː	-	0.375
ˈeː	ˈæː	0.375
ˈɔːi̯	ˈœʏ̯	0.333
ˈøː	ˈœ	0.333
ˈøː	ˈøː	0.333
ˈøː	-	0.333
ˈai̯	ˈɛ	0.333
ʊ	-	0.333
v̥	ɡ	0.333
ˈɛ	-	0.308
ʰt	t	0.286
t͡l̥	l	0.286
ˈɔ	ˈɔ	0.263
ˈɔ	ˈɑ	0.263
ˈɪ	ˈʏ	0.25
ˈɛːa̯	ˈeː	0.25
ˈœ	ˈɑ	0.25
ˈœ	-	0.25
ˈiː	ˈeː	0.25
ˈeː	ˈæɪ̯	0.25
ˈeː	ˈeː	0.25
ˈɛ	ˈɪ	0.231
ˈɪ	ˈœ	0.2
ɡ̊	ˈʉː	0.2
ɡ̊	ŋ	0.2
ɡ̊	-	0.2
<#_ɡ̊	<#	0.2
ˈa	ˈɛ	0.19
ɪ	-	0.188
v	-	0.188
ˈʊ̯iː	ˈyː	0.176
m	mː	0.174
ˈʊ	-	0.167
ˈœ	ˈɛ	0.167
ˈœ	ˈɔ	0.167
ˈœ	ˈuː	0.167
ˈɔ	-	0.158
ˈʉːu̯	ˈyː	0.154
ˈɛːa̯	ˈɛ	0.125
ˈeː	ˈæ	0.125
ˈʊ̯iː	-	0.118
ˈʊ	ˈɔ	0.111
ˈɔ	ˈʊ	0.105
ˈɔ	ˈɛ	0.105
ˈɔ	ˈuː	0.105
ɹ	-	0.105
tʰ	d	0.105
ˈa	ˈɑː	0.095
t	tː	0.087
n	nː	0.062
l	lː	0.062
