Swedish	Swedish	probability
ˈʊ	ˈʊ	1.0
ˈɪ	ˈɪ	1.0
ˈœː	-	1.0
ˈuː	ˈʊ	1.0
ˈiː_#>	ˈɪ_n_#>	1.0
ʊ	-	1.0
ʈː	ʀ_ʦ	1.0
ʈ	t	1.0
ʂ	ʃ	1.0
ɵ	-	1.0
ɳː	ʀ	1.0
ɪ	-	1.0
ɛ_n	n	1.0
ɕ	k	1.0
ɔ	-	1.0
ŋ	-	1.0
v_ɛ	b_ə	1.0
v_#>	b_#>	1.0
sː	z	1.0
s_ˈʉː	z_ˈɔɪ̯	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
pː	f	1.0
p	f	1.0
nː	n	1.0
mː	m	1.0
lː	ɫ	1.0
l	ɫ	1.0
kː	ŋ_k	1.0
kʰ	k	1.0
jː	ˈɔ_ɡ	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
m	m	0.882
n	n	0.871
ˈa	ˈa	0.87
r	ʀ	0.837
ˈiː	ˈaɪ̯	0.818
ɡ	ɡ	0.8
d	t	0.705
v	v	0.68
ŋː	ŋ	0.667
k	χ	0.667
t	s	0.647
ˈʏ	ˈɪ	0.6
ˈyː	ˈɪ	0.6
#>	b_n_#>	0.6
ˈɑː	ˈɔ	0.583
ɧ	ʃ	0.571
ˈøː	ˈɔɪ̯	0.562
s	z	0.559
ɛ	ə	0.556
ˈeː	ˈɛɪ̯	0.545
ˈoː	ˈɔ	0.533
ˈɛ	ˈɛ	0.52
ˈɛː	ˈɛ	0.5
ˈɔ	ˈʊ	0.5
ɡː	k	0.5
ɡː	-	0.5
ˈʉː	ˈɔɪ̯	0.471
tʰ	d	0.471
ɧ	z	0.429
ˈɵ	ˈʊ	0.417
ˈɑː	ˈa	0.417
tː	χ_t	0.417
tʰ	ʦ	0.412
ˈʏ	-	0.4
ˈyː	ˈaɪ̯_ə	0.4
#>	ɫ_#>	0.4
a	n	0.392
ˈœ	ˈɪ	0.364
j	ɡ	0.364
t	t	0.353
ɛ	-	0.333
ŋː	ŋ_ɡ	0.333
tː	s	0.333
s	ʃ	0.324
a	-	0.314
ˈɔ	-	0.3
ˈʉː	ˈɪ	0.294
ˈœ	ˈɔ	0.273
ˈeː	ˈɛ	0.273
j	-	0.273
ˈɵ	ˈɔɪ̯	0.25
ˈɛː	ˈɔ	0.25
ˈɛː	-	0.25
tː	-	0.25
d	d	0.25
ˈʉː	-	0.235
ˈɔ	ˈɔ	0.2
ˈoː	ˈa	0.2
ɡ	-	0.2
k	k	0.2
ˈøː	ˈɪ	0.188
ˈœ	ˈɔɪ̯	0.182
ˈœ	-	0.182
ˈiː	ˈɪ_ʀ	0.182
ˈeː	-	0.182
j	ɫ	0.182
j	h	0.182
a	ə_n	0.176
ˈɵ	ˈɪ	0.167
ˈɵ	v_ˈɔ	0.167
ˈɛ	ˈɛɪ̯	0.16
v	f	0.16
ˈoː	ˈɛɪ̯	0.133
ˈoː	-	0.133
k	-	0.133
ˈa	ˈɔ	0.13
ˈøː	ˈʊ	0.125
ˈøː	-	0.125
ˈɛ	ˈaɪ̯	0.12
ˈɛ	-	0.12
tʰ	t	0.118
m	ɛ_m	0.118
ɛ	ɡ_ə	0.111
r	ə_ʀ	0.102
ˈɛ	ˈa	0.08
v	b	0.08
v	-	0.08
n	ʀ	0.065
n	-	0.065
r	-	0.061
s	t	0.059
s	-	0.059
a	ə	0.059
