Bokmål Norwegian	Bokmål Norwegian	probability
ˈʊ	ˈɔ	1.0
ˈʉː_#>	ˈʊ_#>	1.0
ˈɪ	ˈɪ	1.0
ˈœʏ̯	ˈɔɪ̯	1.0
ˈæː	ˈɛ	1.0
ˈuː_#>	ˈʊ_t_#>	1.0
ʋ_ə	b_ə	1.0
ʈː	ʀ_ʦ	1.0
ʂ	ʃ	1.0
ɾ_ə	ə_ʀ	1.0
ɪ	ɪ	1.0
ɡː	-	1.0
ɡ_ə	ɡ_n	1.0
ɡ	ɡ	1.0
ŋː	ŋ	1.0
ŋ	-	1.0
ç	k	1.0
s_ˈʉː	z_ˈɔɪ̯	1.0
s_t	s_t	1.0
s_k_#>	ʃ_#>	1.0
s_#>	z_#>	1.0
pː	f	1.0
pʰ	f	1.0
p_ə	f_n	1.0
n	n	1.0
mː	m	1.0
l_#>	ɫ_#>	1.0
l	ɫ	1.0
kː	ŋ_k	1.0
kʰ	k	1.0
k	χ	1.0
j_ˈæː	ˈɛ	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_ˈɔ	<#_ˈɔɪ̯	1.0
<#_ˈøː	<#_ˈɔɪ̯	1.0
<#_ɾ	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_d	<#_t	1.0
m	m	0.882
ˈɑ	ˈa	0.808
ˈʉ	ˈʊ	0.8
ɾ	ʀ	0.745
ʋ	v	0.731
ˈæɪ̯	ˈɛɪ̯	0.714
ˈʏ	ˈɪ	0.667
ˈʉː	ˈɔɪ̯	0.667
ˈuː	ˈʊ	0.667
p	f	0.667
<#	<#_v	0.667
ˈoː	ˈɔ	0.636
s_k	ʃ	0.6
d	t	0.6
t	s	0.588
ˈyː	ˈɪ	0.556
ˈɛ	ˈɛ	0.55
#>	n_#>	0.548
lː	ɫ	0.545
ˈɑː	ˈɔ	0.5
ˈɑː	ˈa	0.5
ɳ	ʀ_n	0.5
ɳ	ʀ	0.5
tʰ	d	0.5
nː	n	0.5
s	z	0.483
tː	χ_t	0.455
s	ʃ	0.448
ˈɔ	ˈʊ	0.444
ˈyː	ˈaɪ̯	0.444
ˈeː	ˈɛ	0.444
ˈiː	ˈaɪ̯	0.412
t	t	0.412
s_k	ʧ	0.4
d	d	0.4
tʰ	ʦ	0.375
ˈøː	ˈɔɪ̯_t	0.364
ˈøː	-	0.364
ˈoː	-	0.364
ˈiː	ˈɪ	0.353
ˈʏ	-	0.333
ˈʉː	-	0.333
ˈɔ	ˈa	0.333
ˈuː	ˈɔ	0.333
ˈeː	-	0.333
p	p	0.333
<#	<#_j	0.333
ˈœ	ˈɪ	0.308
ə	ə	0.306
ə	-	0.29
ˈæɪ̯	ˈɛ_ɡ	0.286
nː	n_d	0.278
ˈøː	ˈɔɪ̯	0.273
tː	ʦ	0.273
tː	s	0.273
lː	ɫ_d	0.273
j	ɡ	0.273
j	h	0.273
j	-	0.273
ˈœ	ˈʊ	0.231
ə	n	0.226
ˈɔ	-	0.222
ˈeː	ˈɛɪ̯	0.222
nː	n_t	0.222
ˈʉ	v_ˈɔ	0.2
ˈɛ	ˈɛɪ̯	0.2
ˈɑ	ˈɔ	0.192
lː	ɫ_b	0.182
j	ˈɛ	0.182
ɾ	ə_ʀ	0.157
ˈœ	ˈɔɪ̯	0.154
ˈœ	ˈɔ	0.154
ˈœ	-	0.154
ˈɛ	ˈaɪ̯	0.15
#>	χ_#>	0.129
#>	ʀ_#>	0.129
#>	ɡ_#>	0.129
tʰ	t	0.125
ˈiː	ˈɛ	0.118
ˈiː	ˈaɪ̯_t	0.118
m	ə_m	0.118
ʋ	f	0.115
ˈɛ	ˈa	0.1
ʋ	m	0.077
ʋ	b	0.077
s	t	0.069
#>	b_n_#>	0.065
ɾ	-	0.059
