Neapolitan	Neapolitan	probability
ˈɛ_n	ˈɛ̃	1.0
ˈɛ_#>	ˈøː_ʀ_#>	1.0
ˈɔ_n	ˈɔ̃	1.0
ˈu_ɲː	ˈœ̃	1.0
ˈu_tː	ˈɔ	1.0
ˈu_n	ˈɔ̃	1.0
ˈo_n	ˈɔ̃	1.0
ˈi_n	ˈẽ	1.0
ˈi_#>	ˈi_#>	1.0
ˈa_p	ˈiː_f	1.0
ˈa_nː	ˈɑ̃	1.0
ˈa_n	ˈɑ̃	1.0
ʧ	ˈɛ_ʃ	1.0
ʦː	-	1.0
ʦ	s	1.0
ʤː	-	1.0
ʎː	-	1.0
ʃ_ə_#>	ˈɛ_#>	1.0
ɲ	ɲ	1.0
ɡ_w	w	1.0
ə_#>	#>	1.0
z	s	1.0
u_n	ɔ̃	1.0
t_ə_#>	#>	1.0
sː_ə_#>	#>	1.0
r	ʀ	1.0
p_ə_#>	#>	1.0
o	-	1.0
nː	-	1.0
mː	m	1.0
lː_ə_#>	ˈa_#>	1.0
lː	j	1.0
l_ə_#>	#>	1.0
k_ˈa	ʧ	1.0
k_j	p_l	1.0
j_ˈɛ	j	1.0
j_ə	z_ˈoː	1.0
j_u	ɛː	1.0
i	-	1.0
fː	f	1.0
f	f	1.0
e	-	1.0
dː	w	1.0
d_ə_#>	#>	1.0
d_ə	ɲː	1.0
d	d	1.0
b_w	b	1.0
b	b	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
p	p	0.917
s	s	0.889
m	m	0.882
ŋ	-	0.8
l	l	0.8
ʤ	ʤ	0.75
ɡ	ɡ	0.714
ˈo	-	0.667
ʃː	ʃ	0.667
ʃ	s	0.667
v	v	0.667
ɾ	ʀ	0.652
ɲː	ɲ	0.625
<#	<#_a	0.6
u	ɔ	0.556
kː	-	0.556
w	w	0.545
j	-	0.533
k	k	0.512
ˈa_ɾ	ˈɔː	0.5
ˈa_ɾ	ˈe	0.5
ˈa_t	ˈɛː	0.5
ˈa_t	ˈɛ	0.5
tː	t	0.5
<#_a	<#_a	0.5
<#_a	<#	0.5
n	n	0.478
t	t	0.474
ˈe	w	0.467
w	-	0.455
u	-	0.444
kː	ʧ	0.444
t	-	0.421
<#	<#_b	0.4
ɲː	-	0.375
ˈi	ˈɛ	0.36
a	a	0.357
n	-	0.348
ˈɛ	ˈiː	0.333
ˈe	ˈɛ	0.333
ʃː	-	0.333
#>	ˈɛ_#>	0.333
ɡ	-	0.286
a	ɛ	0.286
ɾ	-	0.283
k	ʧ	0.268
ˈɛ	j	0.267
ˈɔ	ˈuː	0.267
j	l	0.267
ə	j	0.262
ə	-	0.262
ˈa	ˈa	0.25
ʤ	-	0.25
tː	ˈyː_t	0.25
tː	-	0.25
ˈu	ˈɔ	0.238
ˈɔ	ˈɔ	0.233
ˈɔ	ˈa	0.233
v	-	0.233
ˈa	ˈe	0.225
ʃ	-	0.222
#>	ˈa_#>	0.222
#>	t_#>	0.222
#>	j_#>	0.222
k	-	0.22
a	-	0.214
ˈi	ˈi	0.2
ˈe	-	0.2
ŋ	ẽ	0.2
l	-	0.2
j	j	0.2
n	ˈɛ̃	0.174
ˈo	ˈɔ̃	0.167
ˈo	ˈøː	0.167
ˈi	ˈiː	0.16
ˈi	j	0.16
ˈu	ˈøː	0.143
ˈu	ˈuː	0.143
ˈu	ˈu	0.143
ˈu	-	0.143
ə	ʀ	0.143
a	ɑ̃	0.143
ˈɛ	ˈɛ̃	0.133
ˈɛ	ˈɛ	0.133
ˈɛ	ʀ	0.133
ˈɔ	ˈoː	0.133
ˈɔ	-	0.133
ˈa	ˈiː	0.125
ˈa	-	0.125
ˈi	-	0.12
ə	ˈɛ	0.119
m	-	0.118
ʃ	f_l	0.111
s	-	0.111
t	ʀ	0.105
ˈa	w	0.1
v	b	0.1
ˈu	ɔ	0.095
ˈu	w	0.095
ə	n	0.095
p	-	0.083
ˈa	ˈɔː	0.075
ə	f	0.071
ɾ	ˈɛː	0.065
