Emilian	Emilian	probability
θ_#>	ʧ_#>	1.0
ˈʌ	ˈo	1.0
ˈɛ_r	ˈaː	1.0
ˈɛ_d	ˈa	1.0
ˈɛ_#>	ˈaː_t_#>	1.0
ˈɔː_v	ˈo	1.0
ˈɔː_l	ˈi	1.0
ˈi	ˈi	1.0
ˈaː_s	ˈa_s	1.0
ʤ	ɡ	1.0
ɲ	ɲ	1.0
ɡ_#>	k_#>	1.0
ŋ_n	n	1.0
ŋ_#>	ŋ_#>	1.0
ð_#>	ʧ_#>	1.0
z_#>	s_#>	1.0
z	-	1.0
v_#>	f_#>	1.0
v	v	1.0
t_a	t_e	1.0
s_ˈa	s_ˈa	1.0
s	s	1.0
r_e	r	1.0
r_a	r_e	1.0
r_#>	#>	1.0
p_#>	p_#>	1.0
p	p	1.0
o	-	1.0
n_#>	#>	1.0
m_#>	m_#>	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
k_#>	k_#>	1.0
j_ˈa	l_ˈa	1.0
i	i	1.0
f_j	f	1.0
f	f	1.0
e_r	r	1.0
d_#>	t_#>	1.0
d	d	1.0
b	b	1.0
a_l	a_l	1.0
<#_ˈaː	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_v	1.0
t	t	0.897
ˈaː	ˈa	0.867
θ	ʧ	0.833
ˈuː	ˈuː	0.8
ɡ	ɡ	0.8
r	r	0.791
ˈe	ˈi	0.778
a	e	0.746
ˈɛː	ˈɛ	0.667
ˈiː	ˈiː	0.667
ʧ	l_i	0.667
n	n	0.643
ˈʌu̯	ˈoː	0.636
ð	ʤ	0.636
ˈo	ˈu	0.625
ŋ	n	0.607
j	j	0.538
e	i	0.522
ˈɔ	ˈɔ	0.5
ˈa_j	ˈeː	0.5
ˈa_j	ˈe	0.5
ˈa	ˈa	0.5
w	w	0.5
w	-	0.5
u	u	0.5
u	o	0.5
r_ˈa	r_ˈa	0.5
r_ˈa	r	0.5
k	c	0.487
k	k	0.462
ˈæ	ˈɛ	0.375
ˈæ	ˈi	0.375
ˈɛ	j_ˈɛ	0.368
ˈʌu̯	ˈo	0.364
ð	-	0.364
ˈɔː	w	0.357
e	r	0.348
ˈɛː	-	0.333
ˈɔ	w_ˈɛ	0.333
ˈa	ˈe	0.333
ʧ	k_l	0.333
j	l	0.308
ˈɔː	ˈuː	0.286
ˈɔː	w_ˈa	0.286
ˈæ	ˈe	0.25
ŋ	ŋ	0.25
#>	s_#>	0.25
#>	e_#>	0.25
ˈɛ	ˈaː	0.237
ˈɛ	ˈa	0.237
ˈe	-	0.222
a	a	0.22
n	ɲ	0.214
ˈuː	ˈu	0.2
ɡ	-	0.2
ˈo	ˈo	0.188
ˈo	-	0.188
θ	-	0.167
ˈɔ	ˈo	0.167
ˈiː	ˈeː	0.167
ˈiː	ˈe	0.167
ˈa	-	0.167
#>	ŋ_#>	0.167
#>	t_#>	0.167
#>	j_#>	0.167
r	i	0.163
j	-	0.154
n	ŋ	0.143
ˈaː	-	0.133
e	-	0.13
ˈɛ	ˈɛ	0.105
t	-	0.103
ˈɔː	ˈɔː	0.071
ŋ	ˈi_n	0.071
ŋ	m	0.071
ˈɛ	ˈa_l	0.053
k	-	0.051
