West Flemish	West Flemish	probability
ˈɪ	ˈɪ	1.0
ˈɛː	ˈɛɪ̯	1.0
ˈøː	ˈʊ	1.0
ˈi	ˈaɪ̯	1.0
ʋ_ə_#>	#>	1.0
ʃ_h	ʃ	1.0
ɪ	ɪ	1.0
ɦ̥_#>	#>	1.0
ɦ̥	-	1.0
ɦ_ɾ	ɡ_ʀ	1.0
ç	ɪ_k	1.0
z̥_#>	z_#>	1.0
w	ɫ	1.0
v̥_#>	b_#>	1.0
v_ˈøː	f	1.0
s_t	s_t	1.0
s_#>	ʃ_#>	1.0
n_d	n_ə	1.0
m	m	1.0
l_#>	ɫ_#>	1.0
l	ɫ	1.0
k_ə	χ	1.0
k_#>	χ_#>	1.0
j	j	1.0
iə̯	ˈaɪ̯_ʦ	1.0
h	χ	1.0
d̥_#>	#>	1.0
b	b	1.0
<#_ɾ	<#_ʀ	1.0
<#_n	<#_n	1.0
<#	<#_h	1.0
n	n	0.923
ʋ	v	0.895
v	f	0.862
ɦ	ɡ	0.85
k	k	0.833
ˈɑ	ˈa	0.818
z	z	0.8
ˈyː	ˈɔɪ̯	0.778
s	ʃ	0.769
ə	-	0.744
ˈuə̯	ˈʊ	0.733
p	f	0.727
ŋ	ŋ	0.667
ɾ	ʀ	0.66
d̥	t	0.652
d	t	0.64
ˈoː	ˈɔɪ̯	0.636
ˈɒː	ˈɔ	0.588
ˈiə̯	ˈɪ	0.533
ˈɛ	ˈɪ	0.5
ˈɛ	-	0.5
ˈeː	ˈɛ	0.5
#>	ɡ_#>	0.5
ˈæ	ˈɛ	0.467
ˈu	ˈʊ	0.444
ˈɔ	ˈɔ	0.417
ˈœ	ˈɪ	0.375
ˈœ	-	0.375
d	d	0.36
d̥	d	0.348
t	ʦ	0.341
t	s	0.341
ˈɔ	ˈʊ	0.333
ˈu	ˈa_ɫ	0.333
ˈiə̯	ˈaɪ̯	0.333
ŋ	ŋ_ɡ	0.333
t	t	0.317
#>	n_#>	0.3
ˈɒː	ˈa	0.294
ˈeː	ˈɛɪ̯	0.286
p	p	0.273
ˈuə̯	ˈɪ	0.267
ˈɔ	-	0.25
ˈœ	ˈʊ	0.25
ɾ	ə_ʀ	0.24
ˈyː	ˈaɪ̯	0.222
ˈu	ɫ	0.222
ˈeː	-	0.214
ə	ə	0.205
ˈæ	ˈɪ	0.2
ˈæ	-	0.2
z	ʃ	0.2
#>	χ_#>	0.2
ˈɑ	ˈɔ	0.182
k	ɡ	0.167
s	-	0.154
ɦ	-	0.15
v	-	0.138
ˈoː	ˈʊ	0.136
ˈoː	ˈɔ	0.136
ˈæ	ʀ	0.133
ˈiə̯	ˈɛ	0.133
ˈɒː	ˈɛ	0.118
ʋ	v_ˈɔ	0.105
ˈoː	-	0.091
s	ʧ	0.077
ɾ	ˈa_ʀ	0.06
ə	ʀ	0.051
