Danish	Danish	probability
ˈʌˀ	ˈoː	1.0
ˈɛː	ˈaː	1.0
ˈɔː	ˈaː	1.0
ˈɔ	ˈoː_v	1.0
ˈɒˀ	ˈaː_ɾ	1.0
ˈœː	-	1.0
ˈøˀ	ˈoː	1.0
ˈø	-	1.0
ˈæˀ	-	1.0
ˈæ	ˈɑ	1.0
ˈyː	ˈi	1.0
ˈy	-	1.0
ˈuː	-	1.0
ˈoː	-	1.0
ˈi	-	1.0
ˈeˀ_n	ˈeː_n	1.0
ʨ	d	1.0
ʦʰ	d	1.0
ɡ̊_ə	k_ə	1.0
ə_ð̞ˠ	d̥	1.0
ɕ	z	1.0
ɐˀ_n	ɾ_n	1.0
ɐˀ_#>	ɾ_d̥_#>	1.0
ɐˀ	ɾ	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ	1.0
ð̞ˠ_ə	d_ə	1.0
s_ɡ̊	s	1.0
s_#>	z̥_#>	1.0
pʰ	p	1.0
mˀ	m	1.0
m	m	1.0
l_#>	ɫ_#>	1.0
l	ɫ	1.0
kʰ	k	1.0
j_ˈɛ	ˈɛ	1.0
j_#>	k_#>	1.0
i	ə	1.0
h	ɦ	1.0
f	v	1.0
b̥_#>	p_#>	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈeˀ	<#_ˈɛi̯	1.0
<#_ʦʰ	<#_t	1.0
<#_ʁ	<#_ɾ	1.0
<#_ɡ̊	<#_χ	1.0
<#_n	<#_n	1.0
ʁ	ɾ	0.882
ɡ̊	χ	0.867
ʋ	ʋ	0.864
ˈu	ˈɔ	0.846
n	n	0.84
b̥	b	0.808
ˈoˀ	ˈu	0.8
ˈɔˀ	ˈaː	0.75
ˈyˀ	ˈi	0.714
ˈuˀ	ˈœy̯	0.7
ˈøː	ˈoː	0.667
ˈeː	-	0.667
ˈiˀ	ˈɛi̯	0.615
ˈœˀ	ˈoː	0.6
<#	<#_j	0.6
ɐ	ɾ	0.567
ˈe	ˈɪ	0.556
ˈeˀ	ˈeː	0.545
nˀ	n_d̥	0.538
#>	n_#>	0.514
ˈʌ	ˈoː	0.5
ˈʌ	-	0.5
ˈɛˀ	ˈeː	0.5
ˈɛˀ	-	0.5
ˈɑˀ	ˈɑ_ɾ	0.5
ˈɑˀ	-	0.5
ˈɑ	ˈɑ	0.5
ˈo	ˈoː	0.5
ˈo	-	0.5
s	z	0.5
s	s	0.5
lˀ	ɫ	0.5
d̥	t	0.472
ð̞ˠ	t	0.469
ˈɛ	ˈɛ	0.462
ˈiː	ˈɛi̯	0.429
ə	ə_n	0.418
ˈœˀ	-	0.4
j	χ	0.4
<#	<#_ˈɑ	0.4
d̥	d	0.389
ð̞ˠ	d̥	0.375
ə	-	0.364
ˈœ	ˈʏ	0.333
ˈœ	ˈoː	0.333
ˈœ	-	0.333
ˈøː	-	0.333
ˈeː	ˈøː	0.333
lˀ	ɫ_v̥	0.333
nˀ	n	0.308
ˈɑ	ˈɛ	0.3
ˈuˀ	-	0.3
ɐ	ə_ɾ	0.3
j	ɦ	0.3
j	-	0.3
w	χ	0.294
ˈyˀ	ˈyː	0.286
ˈiː	ˈeː	0.286
ˈiː	-	0.286
ˈeˀ	ˈi	0.273
ˈɔˀ	n	0.25
w	v_ə	0.235
ˈɛ	-	0.231
ˈiˀ	ˈɪ	0.231
ˈe	ˈɛ	0.222
ˈɑ	-	0.2
ˈoˀ	-	0.2
b̥	p	0.192
ˈeˀ	n	0.182
w	ə	0.176
w	v̥	0.176
lˀ	d̥	0.167
n	n_d	0.16
ˈɛ	ˈɪ	0.154
ˈɛ	ˈɑ	0.154
ˈu	-	0.154
ˈiˀ	n	0.154
nˀ	n_d	0.154
#>	d̥_#>	0.143
d̥	χ_t	0.139
ʋ	-	0.136
ɡ̊	k	0.133
ʁ	-	0.118
w	k	0.118
#>	χ_#>	0.114
ˈe	ˈɑ	0.111
ˈe	-	0.111
ə	ə	0.109
ð̞ˠ	ˈu	0.094
ə	n	0.091
#>	t_#>	0.086
#>	k_#>	0.086
ɐ	ˈi_ɾ	0.067
ɐ	ə	0.067
ð̞ˠ	ˈeː_t	0.062
#>	w_#>	0.057
