Portuguese	Neapolitan	probability
β	p	1.0
ˈɨ	e	1.0
ˈɔ_ʃ	ˈu_j	1.0
ˈɐ_j	ˈe	1.0
ˈũ	ˈu_n	1.0
ˈĩ	ˈi_n	1.0
ˈi_ɲ	ˈi_n	1.0
ˈi	ˈi	1.0
ˈẽ	ˈɛ_n	1.0
ʒ	ʤ	1.0
ʃ_u	sː_ə	1.0
ʃ_t	s_t	1.0
ɾ_ð	ɲ	1.0
ɾ_t	ɾ_t	1.0
ɡ	ɡ	1.0
ɔ	r	1.0
ɐ̃_j̃	ə	1.0
ɐ_ʒ	a_j	1.0
ɐ_ɾ	r	1.0
ɐ_ð	a_t	1.0
z	-	1.0
w̃	n_ə	1.0
w_ɾ	ɾ	1.0
ũ	v_e	1.0
s_ˈe	ʃː	1.0
p	p	1.0
õ	u_n	1.0
m_ɐ	m_ə	1.0
j̃	ə	1.0
j_z	z	1.0
j_t	tː	1.0
i_ʃ	ʃ	1.0
i	i	1.0
ẽ	i	1.0
f	f	0.956
ˈɛ	ˈɛ	0.881
k	k	0.873
ˈu	ˈu	0.864
d	d	0.861
ɲ	ɲː	0.856
ð	t	0.841
ˈa	ˈa	0.84
u	ə	0.833
v	v	0.816
ɾ	ɾ	0.728
m	m	0.697
ɐ	ə	0.679
w	w	0.648
ˈɐ̃	ˈa	0.642
ɫ	-	0.639
ʁ	r	0.637
t	t	0.632
ˈõ	n	0.608
ɨ	ə	0.582
ʎ	ʎː	0.578
l	l	0.551
n	nː	0.5
n	n	0.5
s	s	0.497
ˈe	ˈi	0.496
ɣ	k	0.485
ˈɐ	ˈa	0.452
ˈɔ	ˈɔ	0.436
ʎ	kː_j	0.422
ˈõ	ˈo_n	0.392
b	b	0.37
t	tː	0.368
ʁ	rː	0.363
ɫ	ˈa	0.361
w	l	0.352
s	ʃ	0.341
ˈe	ˈe	0.332
ˈo	ˈɔ	0.323
b	-	0.31
m	mː	0.303
l	lː	0.303
j	ˈɛ	0.301
j	-	0.301
j	ə	0.283
ˈɐ	j	0.277
ˈo	ˈu	0.277
ʃ	ʃ	0.267
ˈɐ̃	ˈa_n	0.246
ɣ	-	0.246
ˈɔ	w_ˈɔ	0.233
ʃ	ə	0.216
ˈɔ	ˈo	0.201
ɣ	ɡ	0.195
b	v	0.194
ɨ	i	0.189
ˈo	w_ˈɔ	0.187
ˈe	ˈɛ	0.172
ˈo	ˈo	0.166
ˈɐ	ˈi	0.165
ɐ	a	0.163
ʃ	k_j	0.162
ð	-	0.159
ʃ	s	0.153
ɲ	n	0.144
d	-	0.139
ˈu	ˈo	0.136
ˈɔ	ˈu	0.13
s	ʦː	0.126
b	b_w	0.126
ˈɛ	ˈe	0.119
ɐ	ˈa	0.117
ɨ	e	0.116
j	n	0.115
ɨ	-	0.114
ˈɐ̃	ˈu	0.112
ˈɐ	ˈe	0.107
ˈa	l_ˈa	0.107
ʃ	ʃː	0.107
k	kː	0.103
ɾ	r	0.099
ɾ	ə	0.09
u	u	0.089
l	sː	0.086
u	o	0.078
ɣ	ˈɔ_k	0.074
ʃ	-	0.073
v	ɾ	0.071
v	-	0.063
l	-	0.06
ɾ	-	0.057
ˈa	-	0.054
v	bː	0.05
