Emilian	Brazilian Portuguese	probability
w	w	1.0
ʤ	ʒ	1.0
ˈi	w	1.0
ˈɛː	ˈɛ	1.0
θ	s	1.0
j	j	0.181
j	-	0.611
l	-	0.11
m	m_i	0.151
t	j	0.111
t	t_u	0.151
t	d	0.171
ˈiː	ˈe	0.541
ˈuː	ˈu	0.701
ˈɛ	ˈɐ̃	0.051
d	-	0.282
i	i	0.252
l	l_u	0.142
n	n_u	0.092
s	s	0.502
ŋ	j̃	0.092
ŋ	w̃	0.312
ɡ	-	0.062
ʧ	ʎ_u	0.392
ˈiː	ˈɛ	0.072
ˈɛ	ˈɛ	0.202
ˈʌu̯	ˈo	0.512
a	ɐ	0.793
j	ʎ	0.153
k	k_u	0.103
n	-	0.343
u	o	0.823
ð	ʒ	0.883
ˈa	ˈe	0.123
ˈɔː	ˈo	0.393
b	v	0.284
d	d_u	0.104
e	j̃	0.204
e	ˈe	0.254
f	f	0.754
i	u	0.534
p	p	0.884
r	h	0.504
v	v	0.624
z	-	0.104
ɲ	j̃	0.894
ʧ	<#_e	0.174
ʧ	ʃ	0.244
ˈa	ˈɐ̃	0.544
ˈaː	ˈɐ̃	0.524
ˈe	ˈi	0.584
ˈo	ˈũ	0.4
ˈɔ	ˈɔ	0.184
ˈʌu̯	ˈɔ	0.424
e	-	0.465
i	ĩ	0.215
j	u	0.055
r	ɾ	0.295
v	v_i	0.085
ˈa	ˈɛ	0.125
ˈiː	ˈi	0.315
ˈɔː	u	0.115
ˈɔː	ˈo_w	0.145
ˈʌ	ˈɐ̃	0.095
ˈʌu̯	ˈu	0.065
b	b	0.716
d	ʤ_i	0.066
f	f_ˈi	0.246
n	n	0.546
ɲ	j̃_ɐ	0.106
ˈe	ˈĩ	0.416
ˈo	-	0.106
ˈɔ	ˈo	0.646
e	o	0.057
k	k	0.897
m	m	0.837
t	ʧ_i	0.177
z	j_ʃ	0.837
ð	-	0.117
ˈa	ˈẽ	0.207
ˈo	ˈõ	0.117
ˈɔ	ˈõ	0.17
ˈɔː	ˈɔ	0.347
ˈʌ	ˈõ	0.7
d	d	0.548
p	-	0.108
r	-	0.068
s	ʃ	0.388
u	u	0.108
v	b	0.28
ŋ	-	0.578
ˈaː	a	0.068
ˈaː	ˈa	0.408
ˈo	ˈo	0.228
ˈɛ	ˈa	0.608
a	a	0.129
l	w	0.209
l	l	0.539
t	t	0.369
u	-	0.069
ɡ	ɡ_u	0.179
ɡ	ɡ	0.759
ʧ	ʎ	0.19
ˈo	ˈu	0.149
ˈuː	ˈo	0.299
ˈɛ	ˈe	0.109
ˈʌ	ˈo	0.179
