Scots	Scots	probability
θ	θ	1.0
ˈʌu̯	ˈoʊ̯	1.0
ˈɪ_ç	ˈʌɪ̯	1.0
ˈɪ_r	ˈɝ	1.0
ˈɛː	ˈeɪ̯	1.0
ˈɔɪ̯	-	1.0
ˈøː	ˈu	1.0
ˈoː	-	1.0
ˈe_n	ˈoʊ̯_n	1.0
ˈaːɪ̯	ˈaɪ̯	1.0
ˈaɪ̯	ˈaɪ̯	1.0
ʧ	-	1.0
ʤ	ʤ	1.0
ʍ	w	1.0
ʃ	ʃ	1.0
ɪ	i	1.0
ɛ	-	1.0
ə_r	ɚ	1.0
ə_#>	oʊ̯_#>	1.0
ŋ	ŋ	1.0
ð	ð	1.0
ç	-	1.0
z	z	1.0
x	-	1.0
v	v	1.0
tʰ	tʰ	1.0
t_ə	ɾ	1.0
r_ˈɪ	ˈɝ	1.0
r_ˈi	ɹ_ˈɛ	1.0
pʰ	pʰ	1.0
p	p	1.0
n_ə	n_d	1.0
n	n	1.0
m	m	1.0
kʰ	kʰ	1.0
k	k	1.0
i	i	1.0
h	h	1.0
f	f	1.0
e	i	1.0
d	d	1.0
b	b	1.0
<#_k	<#	1.0
s	s	0.962
w	w	0.926
ɡ	ɡ	0.867
ˈʌ	ˈʌ	0.846
ˈi	ˈi	0.846
ˈiː	ˈi	0.769
j	j	0.75
ˈu	ˈaʊ̯	0.714
ˈɪ	ˈɪ	0.686
r	ɹ	0.677
t	ʔ	0.644
ˈɛ	ˈɛ	0.636
ˈø	ˈu	0.636
ˈəi̯	ˈaɪ̯	0.571
ˈo	ˈɔ	0.545
l	l	0.511
ə	ə	0.5
l	ɫ	0.489
ˈo	ˈɑ	0.455
ˈuː	ˈaʊ̯	0.444
ˈeː	ˈɛ	0.375
ˈø	-	0.364
t	t	0.356
ˈuː	-	0.333
ˈe	ˈeɪ̯	0.333
r	ɚ	0.323
ə	-	0.3
ˈəi̯	ˈʌɪ̯	0.286
ˈe	ˈoʊ̯	0.278
ˈɑː	ˈoʊ̯	0.267
ˈeː	ˈɑ	0.25
j	-	0.25
ˈɪ	ˈʌ	0.229
ˈuː	ˈʊ_ɫ	0.222
ˈe	ˈɛ	0.222
ˈa	ˈɛə̯	0.214
ˈa	ˈɛ	0.214
ˈa	ˈɑ	0.214
ˈa	-	0.214
ˈɑː	ˈɛə̯	0.2
ˈɑː	ˈæ	0.2
ˈɑː	-	0.2
ə	ɡ	0.2
ˈeː	ˈoʊ̯	0.188
ˈeː	ˈeɪ̯	0.188
ˈɛ	ˈæ	0.182
ˈe	-	0.167
ˈʌ	-	0.154
ˈiː	ˈaɪ̯	0.154
ˈəi̯	-	0.143
ˈu	ˈʌ	0.143
ˈu	-	0.143
ˈa	ˈæ	0.143
ˈɑː	ˈɑ_ɫ	0.133
ɡ	ʤ	0.133
ˈɛ	ˈeɪ̯	0.091
ˈɛ	-	0.091
ˈɪ	ˈaɪ̯	0.086
ˈiː	-	0.077
ˈi	ˈɪ	0.077
ˈi	ˈɛ	0.077
w	-	0.074
