Afrikaans	East Low German	probability
ˈʊə̯_r	ˈuː	1.0
ˈɪø̯	ˈœː	1.0
ˈɛː	ˈɛ	1.0
ˈɛ	ˈɛ	1.0
ˈə	ˈɪ	1.0
ˈœɪ̯	ˈuː	1.0
ˈœu̯	ˈɔ_l	1.0
ˈœ	ˈʏ	1.0
ˈæː_r	ˈaː	1.0
ˈæ	ˈɛ	1.0
ˈyː	ˈyː	1.0
ˈu_d̥	ˈaʊ̯_t	1.0
ˈi_r	ˈiː_æ	1.0
ˈi	ˈae̯	1.0
ˈa_r	ˈaː	1.0
ɫ	l	1.0
ɦ	h	1.0
ə_r	æ	1.0
ə_n	n	1.0
v̥_#>	f_#>	1.0
s_k	ʃ	1.0
r_s	s_t	1.0
p	p	1.0
n_d	n	1.0
n	n	1.0
m	m	1.0
j	j	1.0
f_#>	m_#>	1.0
f	f	1.0
d_ə	ɾ	1.0
d	d	1.0
b	b	1.0
<#_r	<#_r	1.0
#>	m_#>	1.0
v	v	0.909
ˈa	ˈa	0.857
ˈəɪ̯	ˈiː	0.75
ˈɑː	ˈɒː	0.75
ˈɔ	ˈʊ	0.722
ŋ	ŋ	0.688
d̥	d	0.63
t	t	0.628
ˈʊə̯	ˈaʊ̯	0.625
w	v	0.6
ˈu	ˈaʊ̯	0.571
ˈɪə̯	ˈae̯	0.5
r	r	0.476
k	kʰ	0.464
ˈu	ˈɔʏ̯	0.429
r	æ	0.405
ə	ɪ	0.4
ə	æ	0.4
w	w	0.4
k	k	0.393
s	ʃ	0.385
s	z	0.346
ˈɪə̯	ˈɛː	0.333
χ	ç	0.308
ˈɔ	ˈɔ	0.278
s	s	0.269
d̥	t	0.259
χ	ɡ	0.256
t	tʰ	0.233
χ	x	0.231
ə	-	0.2
ˈʊə̯	ˈɔʏ̯	0.188
ˈʊə̯	ˈuː	0.188
ŋ	n	0.188
ˈɪə̯	ˈɛ	0.167
ˈɑː	ˈoː	0.15
k	k_n	0.143
t	t_n	0.14
ˈəɪ̯	ˈɪ	0.125
ˈəɪ̯	ˈae̯	0.125
ŋ	ç	0.125
d̥	-	0.111
χ	j	0.103
ˈɑː	ˈa	0.1
v	w	0.091
ˈa	ˈaː	0.071
ˈa	-	0.071
r	ɾ_æ	0.071
χ	ɡ_n	0.051
χ	ŋ	0.051
