American English	American English	probability
ˈʌ_n	n	1.0
ˈɝ	ˈuː	1.0
ˈɛə̯	ˈɑ	1.0
ˈɑ_ɹ	ˈaː	1.0
ˈi_#>	ˈæːɪ̯_#>	1.0
ˈaɪ̯_d	ˈæːɪ̯_t	1.0
ʤ	k	1.0
ʔ_#>	ʦ_#>	1.0
ʃ_#>	ʃ_#>	1.0
ʃ	ʃ	1.0
ɾ	s	1.0
ɹ_n_#>	ʀ_#>	1.0
ɫ	l	1.0
ɡ_ɚ	ɐ	1.0
ɡ	ɡ	1.0
ɚ	ɐ	1.0
ð	d	1.0
z	z̥	1.0
tʰ	ʦ	1.0
t	t	1.0
s_#>	z̥_#>	1.0
pʰ	pʰ	1.0
p_#>	f_#>	1.0
l	l	1.0
kʰ	kʰ	1.0
i	ə_ɕ	1.0
h	h	1.0
f_#>	v̥_#>	1.0
f	f	1.0
d_ɚ	ɐ	1.0
b	b	1.0
<#_ɹ	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
m	m	0.926
ŋ	ŋ	0.8
n	n	0.8
#>	n_#>	0.775
w	v	0.75
θ	d	0.667
oʊ̯	-	0.667
ʔ	s	0.619
ɹ	ʀ	0.615
ʧ	kʰ	0.6
d	d̥	0.6
ˈoʊ̯	ˈeː	0.571
ˈæ	ˈaː	0.545
ˈʊ	ˈo	0.5
ˈʊ	-	0.5
ˈɔ	ˈaː	0.5
ˈɔ	-	0.5
ˈoʊ̯_ɫ	ˈaː_l	0.5
ˈoʊ̯_ɫ	l	0.5
ə	ə	0.5
ə	-	0.5
s	ʃ	0.5
s	z	0.5
p	p	0.5
p	f_ə	0.5
j	ɡ	0.5
j	j	0.5
ʧ	ɕ	0.4
k	ɕ	0.385
ˈʌɪ̯	ˈæːɪ̯	0.375
ˈʌɪ̯	ˈiː	0.375
ˈu	n	0.375
ˈu	-	0.375
ˈaʊ̯	ˈæːʊ̯	0.357
θ	d̥	0.333
ˈɑ	ˈaː	0.333
ˈi	ˈɜɪ̯	0.333
v	v	0.333
oʊ̯	ʑ	0.333
ˈɪ	ˈə	0.32
ˈʌ	ˈo	0.316
ˈeɪ̯	ˈaː	0.308
ˈɪ	ˈɑ	0.28
ˈæ	-	0.273
ˈʌɪ̯	ˈuə̯	0.25
ˈu	ˈu	0.25
ˈɪ	ˈe	0.24
ʔ	ɕ_t	0.238
ˈeɪ̯	-	0.231
ɹ	ɐ	0.231
k	χ	0.231
k	k	0.231
ˈɑ	ˈɛː	0.222
ˈɑ	ˈɑ	0.222
ˈɑ	-	0.222
ˈaɪ̯	ˈɑɪ̯	0.222
v	ə_f	0.222
v	v_ə	0.222
v	n	0.222
ˈoʊ̯	ˈɜɪ̯	0.214
ˈoʊ̯	-	0.214
ˈaʊ̯	-	0.214
ˈʌ	-	0.211
ŋ	ŋ_ə	0.2
ˈɛ	-	0.192
ˈæ	ˈɑ_l	0.182
w	w	0.179
ˈaɪ̯	ˈə	0.167
ˈaɪ̯	-	0.167
d	-	0.167
ˈʌ	ˈʊ	0.158
ˈɛ	ˈəʊ̯	0.154
ˈɛ	ˈiə̯	0.154
ˈeɪ̯	ˈoː_ə	0.154
ˈeɪ̯	ˈeː	0.154
ˈeɪ̯	ˈaː_χ	0.154
k	k_ə	0.154
ˈi	ˈoː	0.152
ˈi	ˈaː	0.152
ˈaʊ̯	ˈəʊ̯	0.143
ˈaʊ̯	ˈɑʊ̯	0.143
ˈaʊ̯	ˈu	0.143
ʔ	t	0.143
ˈɛ	ˈɛ	0.115
ˈɛ	ˈə	0.115
ˈɛ	ˈiː	0.115
n	n_ə	0.114
ˈaɪ̯	ˈɜɪ̯_ə	0.111
ˈaɪ̯	ˈɜɪ̯	0.111
ˈaɪ̯	ˈɑ	0.111
ˈaɪ̯	ˈæːɪ̯	0.111
ˈʌ	ˈɔ	0.105
ˈʌ	ˈɑʊ̯	0.105
ˈʌ	ˈu	0.105
d	t	0.1
#>	ɕ_#>	0.1
ˈi	ˈi	0.091
ˈi	-	0.091
n	ˈe_ŋ	0.086
ˈɪ	ˈæːɪ̯	0.08
ˈɪ	ˈi	0.08
ˈɛ	ˈɑ	0.077
ˈɛ	ˈæ	0.077
ɹ	ˈiː_ɐ	0.077
ɹ	-	0.077
#>	ɐ_#>	0.075
m	m_ˈəʊ̯	0.074
w	-	0.071
d	n	0.067
d	d_ə	0.067
ˈi	ˈɑɪ̯	0.061
ˈi	ˈiː	0.061
ˈi	ˈeː	0.061
