Ripuarian	Ripuarian	probability
ˈʏ_n	ˈɪ	1.0
ˈʏ	-	1.0
ˈɛ_ɐ	ˈɑː	1.0
ˈɔː	ˈɔː	1.0
ˈøʏ̯	j	1.0
ˈu	ˈɐ	1.0
ˈoː_d	ˈiː_d	1.0
ˈiː_#>	ˈəʊ̯_#>	1.0
ˈeː_ɕ	ˈaɪ̯_t	1.0
ˈa_ɫ	ˈɑː	1.0
ʦ_#>	t_#>	1.0
ʋ	w	1.0
ɫ_#>	l_#>	1.0
ɪ	-	1.0
ɣ̊_#>	#>	1.0
ɣ	-	1.0
ɡ̊_#>	#>	1.0
ɡ̊	d	1.0
ə_ɕ	ɪ	1.0
ɕ_#>	#>	1.0
ɕ	k	1.0
ŋ_ə	n_d	1.0
z̥_#>	s_#>	1.0
z̥	z	1.0
z	s	1.0
v̥	f	1.0
t	t	1.0
n_#>	#>	1.0
m_ˈeː	m_ˈɪ	1.0
m	m	1.0
k_ə	k	1.0
k_s	k_s	1.0
j_ə_#>	#>	1.0
h	h	1.0
f_ə	p	1.0
f_#>	#>	1.0
e	ˈiː	1.0
b	b	1.0
<#_ˈʊ	<#_ˈɐ	1.0
<#	<#_w	1.0
n	n	0.923
ə	-	0.917
ɫ	ɫ	0.9
l	l	0.897
s	t	0.889
f	f	0.88
ˈøː	ˈiː	0.875
ʀ	ɹ	0.862
d̥	d	0.773
v	v	0.75
ʦ	tʰ	0.727
p	p	0.714
ɐ	ə	0.697
ˈo	ˈɐ	0.692
j	ɡ	0.692
ˈɪ	ˈaɪ̯	0.667
ˈe	ˈɪ	0.611
ʃ	s	0.583
ˈeɪ̯	ˈiː	0.571
ˈœ	ˈɪ	0.556
ˈiː	ˈaɪ̯	0.556
ˈɛː	-	0.5
ˈyː	ˈaɪ̯	0.5
ˈyː	-	0.5
#>	t_#>	0.5
#>	f_#>	0.5
ŋ	ŋ	0.478
k	kʰ	0.474
d	d	0.457
ˈœ	-	0.444
ŋ	n	0.435
ˈuː	ˈaʊ̯	0.429
ˈeɪ̯	-	0.429
ʃ	ʃ	0.417
ˈɛ	ˈe	0.412
ˈa	ˈæ	0.375
x	t	0.375
x	-	0.375
d	θ	0.371
ˈaː	ˈeɪ̯	0.357
ˈɪ	ˈɪ	0.333
ˈɔʊ̯	ˈiː	0.333
ˈɔʊ̯	ˈaʊ̯	0.333
ˈɔʊ̯	-	0.333
ˈeː	ˈiː	0.333
ˈo	-	0.308
j	j	0.308
ˈɛː	ˈeɪ̯	0.3
ˈɔ	ˈʊ	0.3
ˈɔ	-	0.3
ˈuː	ˈe	0.286
ˈuː	-	0.286
ˈaː	ˈɑː	0.286
p	pʰ	0.286
ʦ	t	0.273
x	k	0.25
v	-	0.25
ˈoː	ˈiː	0.227
ˈoː	-	0.227
d̥	θ	0.227
ˈiː	ˈɪ	0.222
ˈiː	ˈiː	0.222
ˈe	ˈaɪ̯	0.222
ˈaː	-	0.214
k	ʤ	0.211
ˈɛː	ˈiː	0.2
ˈɔ	ˈɒ	0.2
ˈɔ	ˈɐ	0.2
ˈeː	ˈɪ	0.2
ˈeː	ˈəʊ̯	0.2
ˈoː	ˈɐ	0.182
ˈɛ	ˈɪ	0.176
ˈɛ	-	0.176
d	ð	0.171
ˈe	-	0.167
k	ʧ	0.158
k	k	0.158
ˈaː	ˈaɪ̯	0.143
ʀ	-	0.138
ˈoː	ˈʊ	0.136
ˈoː	ˈaʊ̯	0.136
ˈeː	ˈe	0.133
ˈeː	-	0.133
ˈøː	ɜː	0.125
ˈa	ˈɒ	0.125
ˈa	ˈeɪ̯	0.125
ˈa	-	0.125
f	p	0.12
ˈɛ	ˈɛ	0.118
ˈɛ	ˈæ	0.118
s	s	0.111
l	-	0.103
ɫ	l	0.1
ˈoː	ˈuː	0.091
ɐ	ˈɪ_ə	0.091
ɐ	-	0.091
ŋ	n_d	0.087
ˈa	ˈəʊ̯	0.083
ˈa	ˈɔː	0.083
ˈa	ˈɑː	0.083
ə	ə_n	0.083
n	-	0.077
ɐ	ɹ	0.061
ɐ	ɡ_ə	0.061
