American English	American English	probability
ˈɛə̯	ˈa	1.0
ˈeɪ̯_#>	ˈaː_ɡ_n_#>	1.0
ˈaʊ̯_#>	ˈuː_#>	1.0
ˈaɪ̯_#>	ˈiː_ɡ_n_#>	1.0
ʤ	k_ə	1.0
ʃ	ʃ	1.0
ɾ	s	1.0
ɹ_ˈi	ʁ_ˈaʊ̯	1.0
ɹ_n	ɐ_n	1.0
ɪ	-	1.0
ə_n	n	1.0
ə	-	1.0
ŋ	ŋ	1.0
z	z_ə	1.0
w_ˈɛ	v_ˈa	1.0
tʰ	ʦ	1.0
s_#>	z̥_#>	1.0
pʰ	p͡f	1.0
p_#>	f_#>	1.0
oʊ̯	-	1.0
m	m	1.0
l_ˈʌɪ̯	l_ˈɪ	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_n	<#_n	1.0
n	n	0.947
ɚ	ɐ	0.935
ɫ	l	0.889
t	t	0.857
w	v	0.852
ɡ	ɡ	0.8
i	ɪ_ç	0.8
ˈaʊ̯	ˈaʊ̯	0.727
ˈʌɪ̯	ˈaɪ̯	0.714
f_#>	b̥_#>	0.714
ˈu	-	0.7
ˈeɪ̯	ˈa	0.667
ʧ	kʰ	0.667
θ	d	0.65
ɹ	ʁ	0.647
ˈɝ	ɐ	0.6
p	f_n	0.6
ð	d	0.571
#>	ɡ̊_#>	0.571
ˈɪ	ˈɪ	0.552
ˈoʊ̯	ˈaɪ̯	0.529
ˈʊ	ˈɔ	0.5
ˈʊ	ˈuː	0.5
ˈɑ	ˈa	0.5
j	ɡ	0.5
j	j	0.5
s	z	0.465
ˈæ	ˈa	0.455
k	k	0.444
ð	t	0.429
#>	ɐ_#>	0.429
ˈɔ	ˈɔ	0.417
ˈɝ	ˈʊ_ɐ	0.4
v	b	0.4
p	f	0.4
ʔ	s	0.393
ˈæ	ˈaː	0.364
ɹ	ɐ	0.353
ˈʌ	ˈʊ	0.346
ˈeɪ̯	ˈaː	0.333
ˈaɪ̯	ˈɪ	0.333
ˈaɪ̯	ˈaɪ̯	0.333
ʧ	ç	0.333
k	ç	0.333
ˈɛ	ˈɛ	0.32
d	t	0.32
s	ʃ	0.302
ˈu	ˈuː	0.3
v	f	0.3
v	b_n	0.3
ˈʌɪ̯	ˈa_x	0.286
ˈɑ	-	0.286
f_#>	#>	0.286
ˈaʊ̯	-	0.273
d	tʰ	0.26
ˈɔ	-	0.25
ˈoʊ̯	ˈeː	0.235
s	s	0.233
ˈi	ˈiː	0.231
k	x	0.222
d	d̥	0.22
ˈɑ	ˈɔ	0.214
θ	d̥	0.2
ˈɛ	-	0.2
ˈaɪ̯	ˈɔʏ̯	0.2
ɡ	-	0.2
i	eː	0.2
ˈæ	ˈa_l	0.182
ʔ	ʦ	0.179
ʔ	s_n	0.179
ˈɪ	ˈʏ	0.172
ˈɔ	ˈɛ	0.167
ˈɔ	ˈa	0.167
ˈɛ	ˈoː	0.16
ˈʌ	ˈoː	0.154
ˈʌ	ˈaʊ̯	0.154
ʔ	ç_t	0.143
t	ʦ	0.143
ˈaɪ̯	n	0.133
ˈi	ˈaː	0.128
ˈɛ	ˈeː	0.12
ˈɛ	ˈaɪ̯	0.12
ˈoʊ̯	ˈa	0.118
ˈoʊ̯	-	0.118
ˈʌ	ˈɔ	0.115
ɫ	l_ə	0.111
ʔ	t	0.107
ˈi	ˈyː	0.103
ˈi	-	0.103
θ	-	0.1
d	d	0.1
ˈɛ	ˈɛː	0.08
ˈʌ	ˈuː	0.077
ˈʌ	n	0.077
ˈʌ	-	0.077
ˈi	ˈeː	0.077
ˈi	ˈaʊ̯	0.077
ˈi	ˈaɪ̯	0.077
w	v_ˈɔ	0.074
w	-	0.074
ˈɪ	ˈiː	0.069
ˈɪ	ˈeː	0.069
ˈɪ	ˈaɪ̯	0.069
ˈɪ	-	0.069
ɚ	ʁ_ə	0.065
d	t_n	0.06
n	kʰ_n	0.053
ˈi	ˈɛː	0.051
ˈi	ˈɔʏ̯	0.051
ˈi	ˈøː	0.051
ˈi	ˈuː	0.051
