Limburgish	Limburgish	probability
β	ʋ	1.0
ˈʏː	-	1.0
ˈʊ	ˈu	1.0
ˈɪː	ˈɪ	1.0
ˈɛːi̯	-	1.0
ˈɒː	ˈɒː	1.0
ˈɑː	ˈɑ	1.0
ˈɑ	ˈɑ	1.0
ˈœː	ˈɔ	1.0
ˈœi̯	ˈyː	1.0
ˈæː	ˈæ	1.0
ˈu	ˈoː	1.0
ˈaː_j	ˈu	1.0
ʃ	ʃ_h	1.0
ʀ_ə	ɾ	1.0
ɪ	ɪ	1.0
ɣ	ɦ	1.0
ɡ	ɦ	1.0
ə_l	ə_l	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
z	z	1.0
w	ˈu	1.0
v_ə	v_n	1.0
v	v	1.0
t	t	1.0
s	s	1.0
p	p	1.0
m	m	1.0
l_ə	w	1.0
l	l	1.0
k_ə	k_n	1.0
j_ə	d	1.0
j_#>	#>	1.0
j	j	1.0
i	iə̯	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
<#_ʀ	<#_ɾ	1.0
<#_ɦ	<#	1.0
<#_n	<#_n	1.0
#>	ə_#>	1.0
k	k	0.938
ʀ	ɾ	0.932
n	n	0.881
ˈuː	ˈyː	0.75
ə	n	0.75
x	h_t	0.75
ˈɔː	ˈoː	0.667
ˈɔ	ˈɔ	0.667
ɣ̊	ɦ̥	0.667
ˈiː	ˈi	0.636
ə_ʀ	ɾ	0.615
ˈɔu̯	-	0.6
ˈœ	ˈœ	0.6
ˈøː	ˈuə̯	0.6
v̥	v̥	0.6
ˈɪ	ˈɛ	0.5
ˈɪ	-	0.5
ˈɛ	ˈɛ	0.5
ˈɛ	-	0.5
ˈæ	ˈɑ	0.5
ˈæ	-	0.5
ˈyː	ˈoː	0.5
ˈyː	ˈiə̯	0.5
ˈoː	ˈuə̯	0.5
ˈi	-	0.444
ˈaː	ˈɒː	0.429
ˈaː	ˈɑ	0.429
ˈeː	ˈiə̯	0.417
ˈɔu̯	ˈyː	0.4
ˈœ	-	0.4
v̥	v_ə	0.4
ˈɛː	ˈɛː	0.385
ə_ʀ	ə_ɾ	0.385
ˈeː	ˈeː	0.375
ˈɔː	-	0.333
ˈɔ	ˈœ	0.333
ˈi	ˈɛː	0.333
ˈɛː	ˈeː	0.308
ˈʊː	ˈuə̯	0.25
ˈʊː	ˈoː	0.25
ˈuː	ˈoː	0.25
ˈoː	ˈoː	0.25
ˈoː	-	0.25
ɣ̊	ɦ	0.25
x	h	0.25
ˈi	ˈiə̯	0.222
ˈʊː	ˈu	0.2
ˈøː	ˈoː	0.2
ˈøː	-	0.2
ˈiː	ˈiə̯	0.182
ˈiː	-	0.182
ˈɛː	ˈɪ	0.154
ˈɛː	ˈæ	0.154
ˈaː	-	0.143
ˈeː	-	0.125
ˈʊː	ˈɔ	0.1
ˈʊː	ˈɒː	0.1
ˈʊː	ˈøː	0.1
ə	ə	0.094
ə	-	0.094
ˈeː	ˈæ	0.083
ɣ̊	ç	0.083
n	-	0.071
ʀ	ˈæ_ɾ	0.068
ə	ə_n	0.062
k	ɦ_ə	0.062
