Brazilian Portuguese	Brazilian Portuguese	probability
ˈɛ	ˈɛ	1.0
ˈɐ̃_w̃_#>	ˈu_#>	1.0
ˈɐ̃	ˈa	1.0
ˈũ	ˈy	1.0
ˈo_h	l_ˈu	1.0
ˈĩ	ˈi	1.0
ˈi_ɐ	ˈi_ɔ	1.0
ˈe_l	ˈe_l	1.0
ˈa_h_#>	ˈa_#>	1.0
ˈa	ˈa	1.0
ʧ_i_#>	n_#>	1.0
ʧ	t	1.0
ʤ_i	t	1.0
ʤ	d	1.0
ʎ	ʎ	1.0
ʃ_#>	#>	1.0
ɾ_ˈɐ̃	ɾ_ˈa	1.0
ɦ_n	ʀ	1.0
ɦ	ʀ	1.0
ɡ_u	k	1.0
ɐ̃	-	1.0
w̃_#>	#>	1.0
w_ˈa	ˈa	1.0
w_#>	l_#>	1.0
v_u	w	1.0
v_i_#>	w_#>	1.0
ũ	e_m	1.0
t_u_#>	n_#>	1.0
t_u	ʧ	1.0
t	t	1.0
s_u	ʦ	1.0
n	n	1.0
m_i_#>	m_#>	1.0
m_e	nː	1.0
k_u	ŋ_k	1.0
j̃_u_#>	ɲ_#>	1.0
j_u	ˈɛ_ʧ	1.0
j_#>	j_#>	1.0
ĩ	-	1.0
i_#>	#>	1.0
i	e	1.0
h_ʧ	ʀ_t	1.0
h_#>	#>	1.0
f	f	1.0
ẽ_j̃	e	1.0
d_u_#>	t_#>	1.0
<#_ˈo	<#_ˈa	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_o	<#_u	1.0
<#_h	<#_ʀ	1.0
<#_e	<#_e	1.0
<#_d	<#_d	1.0
<#	<#_a	1.0
m	m	0.967
s	s	0.957
k	k	0.957
ɐ	ɔ	0.951
l	l	0.943
p	p	0.939
a	a	0.913
ɾ	ɾ	0.886
ʒ	ʤ	0.875
u_#>	#>	0.875
ˈi	ˈi	0.8
e	e	0.765
ʃ	s	0.758
o	u	0.75
z	z	0.714
d	ð	0.647
ˈu	ˈy	0.611
ɡ	ɣ	0.611
w	w	0.6
j̃	ɲ	0.6
j_ʃ	ʦ	0.6
h	ʀ	0.6
ʎ_u	l	0.571
ɾ_u_#>	#>	0.571
v	b	0.571
ˈe	ˈe	0.568
b	b	0.556
ˈõ	ˈu	0.545
ˈẽ	ˈɛ	0.545
ˈɔ	ˈɔ	0.524
ˈĩ_j̃	ˈi_n	0.5
ˈĩ_j̃	ˈi	0.5
#>	e_#>	0.5
ʎ_u	ˈɛ_l	0.429
ɾ_u_#>	ʀ_#>	0.429
j_ʃ	s	0.4
ˈɔ	ˈu	0.381
ˈe_h	ɾ_e	0.375
ˈe_h	e	0.375
b	β	0.37
u	e	0.368
u	-	0.368
j	-	0.333
ˈo	ˈu	0.324
z	-	0.286
v	β	0.286
ˈu	ˈu	0.278
j	j	0.278
ˈõ	ˈɔ	0.273
ˈẽ	ˈe	0.273
w	-	0.267
ˈe_h	ˈi	0.25
o	-	0.25
#>	n_ɔ_#>	0.25
#>	l_#>	0.25
ˈo	ˈɔ	0.243
ˈo	ɥ	0.243
e	-	0.235
d	-	0.235
j	ˈɛ	0.222
j̃	ˈi	0.2
j̃	n	0.2
ˈõ	ˈu_n	0.182
ˈẽ	ˈɛ_n	0.182
ɡ	k	0.167
j	w	0.167
u	l	0.158
ˈe	j	0.135
w	l	0.133
h	ɾ_e	0.133
h	d_ɾ	0.133
h	-	0.133
ʒ	-	0.125
u_#>	i_#>	0.125
ʃ	p_l	0.121
ˈi	-	0.12
d	t	0.118
ɾ	-	0.114
ˈu	-	0.111
ɡ	ˈɔ_k	0.111
ɡ	-	0.111
ˈo	ˈa	0.108
u	w	0.105
ˈɔ	-	0.095
a	ˈa_j	0.087
v	w	0.086
ˈo	ˈu_n	0.081
ˈe	e	0.081
ˈi	e	0.08
b	-	0.074
ʃ	l	0.061
ʃ	k_l	0.061
p	-	0.061
v	-	0.057
l	-	0.057
ˈe	ˈɛ	0.054
ˈe	ˈe_j	0.054
ˈe	j_ˈɛ	0.054
ˈe	j_ˈe	0.054
