Emilian	Emilian	probability
θ	s	1.0
ˈʌ_ŋ	ˈõ	1.0
ˈɛː	ˈɛ	1.0
ˈæ_ŋ	ˈẽ	1.0
ˈæ	-	1.0
ˈo_ŋ	ˈõ	1.0
ˈi	-	1.0
ˈe_ŋ	ˈĩ	1.0
ˈa_ŋ	ˈɐ̃	1.0
ˈa_j	ˈe	1.0
ˈa_d	ˈe	1.0
ʧ	ʎ	1.0
ɲ	ɲ	1.0
ŋ_#>	w̃_#>	1.0
z_#>	ʃ_#>	1.0
w	w	1.0
u_ŋ	õ	1.0
r_ˈiː	ɾ_ˈe	1.0
r_e	ɾ	1.0
r_a	ɾ_ɐ	1.0
p_j	ʃ	1.0
p	p	1.0
n_a	ɐ	1.0
m	m	1.0
k_r	k_ɾ	1.0
k_#>	k_u_#>	1.0
k	k	1.0
f_j	ʃ	1.0
f	f	1.0
a_ŋ	ɐ̃	1.0
a_r	ɨ_ɾ	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ʧ	<#_ʃ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_a	<#_ɐ	1.0
<#	<#_ʁ	1.0
a	ɐ	0.966
r	ɾ	0.915
ɡ	ɣ	0.812
ð	ʒ	0.8
t	t	0.773
v	v	0.765
ˈe	ˈi	0.75
n	n	0.733
b	b	0.733
l	l	0.652
#>	u_#>	0.629
l_#>	u_#>	0.6
u	u	0.583
s	s	0.575
ˈɛ	ˈa	0.569
ˈʌ	ˈo	0.556
ˈuː	ˈu	0.538
j	-	0.538
d	d	0.517
ˈʌu̯	ˈɔ	0.462
j	ʎ	0.462
e_r	ɾ	0.444
i	-	0.429
ŋ	ɲ	0.417
u	-	0.417
e	ˈe	0.417
ˈɔ	ˈɔ	0.4
ˈɔ	ˈo	0.4
ˈo	ˈu	0.4
l_#>	#>	0.4
ˈʌu̯	ˈo	0.385
ˈɔː	ˈɔ	0.368
ˈaː	ˈa	0.353
ˈa	ˈɐ̃	0.35
ˈo	-	0.333
ˈiː	ˈi	0.333
ˈiː	ˈe	0.333
e_r	ɾ_u	0.333
ˈɔː	ˈo	0.316
d	ð	0.31
ˈuː	ˈo	0.308
ˈaː	ˈɐ	0.294
i	ĩ	0.286
i	i	0.286
ˈo	ˈo	0.267
b	v	0.267
#>	ɨ_#>	0.258
ˈe	-	0.25
ŋ	-	0.25
z	z	0.25
z	s_ɨ	0.25
z	s	0.25
z	-	0.25
e	-	0.25
ˈaː	-	0.235
v	β	0.235
s	ʃ	0.225
ˈʌ	ˈɐ̃	0.222
ˈʌ	-	0.222
e_r	ɾ_ɨ	0.222
l	-	0.217
ˈɛ	ˈɛ	0.216
ˈɔ	ˈo_j	0.2
ð	j	0.2
s	i_ʃ	0.2
n	-	0.2
ɡ	ɡ	0.188
ˈiː	ˈɐ_j	0.167
ˈiː	-	0.167
ŋ	ˈẽ	0.167
ŋ	j	0.167
e	ɐ̃	0.167
e	u	0.167
ˈɔː	ˈo_w	0.158
ˈɔː	-	0.158
ˈʌu̯	ˈu	0.154
ˈuː	ˈɔ	0.154
ˈa	ˈɛ	0.15
ˈa	ˈɐ_j	0.15
ˈa	-	0.15
t	ð	0.136
l	ɫ	0.13
ˈaː	ˈɐ̃	0.118
d	-	0.103
ˈa	ˈɐ	0.1
ˈa	ˈe	0.1
ˈɛ	-	0.078
d	ɐ_ð	0.069
n	j̃	0.067
#>	ʃ_#>	0.062
ˈɛ	ˈɐ_j	0.059
r	ʁ	0.051
