Brazilian Portuguese	Brazilian Portuguese	probability
ˈɔ_j	ˈu	1.0
ˈũ	ˈi	1.0
ˈu_ɾ	ˈiː_r	1.0
ˈo_ɡ	j_ˈɛ	1.0
ˈo_j	ˈo	1.0
ˈĩ_j̃	ˈiː_n	1.0
ˈi_ɡ	ˈiː	1.0
ˈe_j	ˈɛ	1.0
ʧ_i	t	1.0
ʧ	ʨ	1.0
ʤ_i	t	1.0
ʤ	d	1.0
ʎ	ʎ	1.0
ʃ_t	s_t	1.0
ʃ_#>	s_#>	1.0
ɾ_i	ə_r	1.0
ɦ_n	r_n	1.0
ɦ	r	1.0
ɡ_u	k	1.0
ɐ̃	ə_n	1.0
ɐ_#>	#>	1.0
ɐ	ə	1.0
v_i	f	1.0
t_u	ʨ	1.0
s_u	ʦ	1.0
p	p	1.0
n	n	1.0
k_ɾ	k_r	1.0
k_a	ʨ_ə	1.0
j_ʃ	ʃ	1.0
j_t	ʨ	1.0
i_#>	#>	1.0
i	i	1.0
h	r	1.0
f	f	1.0
ẽ	-	1.0
e_ʃ	ʃ	1.0
d_u	t	1.0
a_d	ə_d	1.0
a_b	ə_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_h	<#_r	1.0
<#_a	<#	1.0
<#	<#_ə	1.0
u_#>	#>	0.952
m	m	0.931
d	d	0.913
t	t	0.889
v	v	0.867
ɾ	r	0.84
b	b	0.8
ˈe_h	ə_r	0.714
l	l	0.714
k	ʨ	0.611
ˈõ	ˈu	0.6
o	u	0.6
j	-	0.6
s	s	0.59
ˈi	ˈiː	0.571
ʒ	ʃ	0.571
z	-	0.571
w̃	w_n	0.556
a	-	0.545
j̃	ɲ	0.538
<#_ˈo	<#_ˈɛ	0.5
<#_ˈo	<#_ˈa	0.5
#>	ə_#>	0.5
#>	l_#>	0.5
ˈa	ˈa	0.462
j̃	n	0.462
a	ə	0.455
w̃	n	0.444
w	w	0.444
w	l	0.444
ˈa	ˈaː	0.436
ʒ	ʥ	0.429
z	ʃ	0.429
ˈõ	ˈu_n	0.4
ˈɐ̃	ˈa	0.381
ˈĩ	ˈi_n	0.375
ˈĩ	ˈi	0.375
ˈɛ	ˈɛ	0.364
ˈɔ	ˈɔː	0.357
ˈo	ˈu	0.346
ʃ	ʃ	0.333
ɡ	ɡ	0.333
u	-	0.333
k	k	0.333
e	ə	0.333
s	ʧ	0.308
ˈu	ˈu	0.3
ˈu	ˈi	0.3
ˈɔ	ˈɔ	0.286
ˈi	ˈi	0.286
ˈẽ	ˈɛ_n	0.286
ˈe_h	r	0.286
ˈɛ	ˈɛː	0.273
ˈĩ	ˈɛ_n	0.25
ʃ	s	0.25
ʃ	p_l	0.25
ˈo	ˈɔ	0.231
ˈo	ˈuː	0.231
ɡ	ʥ	0.222
ɡ	ŋ	0.222
ɡ	j	0.222
u	r	0.222
u	n	0.222
u	i	0.222
ˈɔ	ˈuː	0.214
ˈẽ	ˈe	0.214
ˈẽ	n	0.214
ˈe	ˈe	0.212
ˈe	ˈa_j	0.212
ˈu	ˈuː	0.2
ˈu	ˈiː	0.2
o	o	0.2
o	-	0.2
j	ʃ	0.2
j	j	0.2
b	v	0.2
ˈɐ̃	ˈɔ	0.19
ʃ	k_l	0.167
e	i	0.167
e	-	0.167
ˈe	ˈɛ	0.152
ˈe	ˈa	0.152
ˈɔ	u	0.143
ˈɐ̃	ˈu	0.143
ˈi	ˈeː	0.143
ˈẽ	ˈɛ	0.143
ˈẽ	j	0.143
l	ʎ	0.143
l	-	0.143
ˈɛ	ˈiə̯	0.136
ˈɛ	-	0.136
ˈe	ˈeː	0.121
ˈo	ˈɔː	0.115
w	-	0.111
t	-	0.111
e	ˈiː	0.111
e	ʃ	0.111
e	j	0.111
ˈɐ̃	ˈɔ_n	0.095
ˈɐ̃	ˈaː	0.095
ˈɐ̃	w_n	0.095
ˈɛ	j	0.091
ˈe	j	0.091
d	t	0.087
ɾ	ˈa	0.08
ɾ	ə	0.08
ˈo	ˈa	0.077
m	-	0.069
v	ʒ	0.067
v	f	0.067
ˈe	ə	0.061
k	k_o	0.056
ˈa	l_ˈaː	0.051
ˈa	-	0.051
s	r_s	0.051
s	-	0.051
