Old French	Old French	probability
θ	ʤ_i	1.0
ˈɛ_ʎ	ʎ_u	1.0
ˈɛ_f	v_u	1.0
ˈỹ	ˈũ	1.0
ˈõ	-	1.0
ˈo	ˈo_j	1.0
ˈĩ	ˈĩ	1.0
ˈã_j	ˈɐ̃	1.0
ʧ_ə	k_a	1.0
ʧ_j	k	1.0
ʎ	ʎ	1.0
ɲ	j̃	1.0
ɡ	ɡ	1.0
ɛ	e	1.0
ə_#>	#>	1.0
ɔ	-	1.0
z	z	1.0
y	-	1.0
w_#>	u_#>	1.0
v_ə	v	1.0
ũ_m	ũ	1.0
ũ	õ	1.0
t_ə	t_ɐ	1.0
s_ˈɛ	s_ˈe	1.0
r_ˈi	ɾ_ˈe	1.0
r_b	ɦ_v	1.0
p_l	ʃ	1.0
p	p	1.0
o	-	1.0
n_ə	ɐ	1.0
l_ˈe	ˈa	1.0
l_#>	w_#>	1.0
k_r	k_ɾ	1.0
k_l	ʃ	1.0
k_#>	u_#>	1.0
k	k	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈe	ˈa	1.0
j_ə	ɡ_ɐ	1.0
j_s	s_u	1.0
j_n	w̃	1.0
ĩ	ĩ	1.0
i	-	1.0
f_l	ʃ	1.0
e	e	1.0
ã	ɐ̃	1.0
a	a	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_h	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
<#_a	<#_a	1.0
<#	<#_ɡ	1.0
m	m	0.941
f	f	0.913
ˈã	ˈɐ̃	0.875
ʧ	k	0.833
ə	ɐ	0.778
u	o	0.75
v	v	0.733
ʦ	s	0.722
s	ʃ	0.718
ˈy	ˈu	0.688
ˈẽ	ˈẽ	0.688
ˈa	ˈa	0.68
#>	u_#>	0.68
ˈɔ_j	ˈe	0.667
ˈũ_n	ˈo	0.667
ʤ	ʒ	0.667
ŋ	-	0.667
w	w	0.667
l	l	0.64
ˈu	ˈo	0.615
ˈũ	ˈõ	0.6
ˈi	ˈi	0.593
ˈe	ˈa	0.526
w_ˈɛ	ˈɔ	0.5
w_ˈɛ	ˈo	0.5
r	h	0.479
n_t	t_u	0.429
d	ʤ	0.429
j	j	0.421
ˈɛ	ˈɛ	0.419
n_#>	w̃_#>	0.385
n_#>	#>	0.385
n	j̃	0.385
n	-	0.385
r	ɾ	0.342
ˈũ_n	ˈõ	0.333
ʤ	-	0.333
ŋ	k	0.333
w	ˈɔ	0.333
ˈe	-	0.316
ˈy	ˈo	0.312
ˈẽ	-	0.312
ˈɔ	ˈɔ	0.286
t	t	0.286
n_t	ʧ	0.286
n_t	t	0.286
d	d	0.286
d	-	0.286
s	s	0.282
v	b	0.267
r_ə	ˈe_h	0.267
r_ə	ɾ_i	0.267
r_ə	h	0.267
ˈɛ	ˈa	0.258
u	-	0.25
j	-	0.237
ˈu	ˈɔ	0.231
n_#>	u_#>	0.231
n	n	0.231
#>	i_#>	0.227
ˈɔ	ˈo	0.214
t	ʧ	0.214
ˈũ	ˈɐ̃	0.2
ˈũ	-	0.2
r_ə	ɾ	0.2
ˈɔ	-	0.179
t	t_u	0.179
ˈɔ_j	ˈi	0.167
ˈɔ_j	e	0.167
ʧ	-	0.167
ʦ	ʃ	0.167
l	-	0.16
ˈe	ˈɛ	0.158
ˈu	ˈɔ_j	0.154
ˈi	ˈe_j	0.148
ˈi	ˈe	0.148
ˈɔ	ˈe	0.143
t	d_u	0.143
ˈɛ	ˈe	0.129
ˈã	ˈẽ	0.125
l	w	0.12
ˈi	-	0.111
ʦ	-	0.111
ə	e	0.111
ˈɔ	ˈo_w	0.107
t	-	0.107
j	u	0.105
f	v_i	0.087
r	ɦ	0.082
ˈa	ˈe	0.08
ˈa	ˈa_j	0.08
ˈa	a	0.08
ˈa	-	0.08
l	u	0.08
j	ˈe	0.079
ˈɔ	ˈi	0.071
t	ʤ_i	0.071
ˈɛ	ˈo_ɡ	0.065
ˈɛ	ˈa_ɡ	0.065
ˈɛ	-	0.065
m	-	0.059
ə	d_ɐ	0.056
j	ˈɐ̃	0.053
j	ˈe_j	0.053
j	j̃	0.053
