French	Brazilian Portuguese	probability
ʃ_ɛ	k_ˈa	1.0
ʃ	k	1.0
ʁ_b	ɦ_v	1.0
ɲ	j̃_ɐ	1.0
ɥ_i	ˈo	1.0
ɡ	ɡ	1.0
z	z	1.0
w_a	ˈe	1.0
v_ʁ	b_ɾ	1.0
v_a	v_ˈa	1.0
s_a	s_a	1.0
p_l	ʃ	1.0
p	p	1.0
m	m	1.0
k_l	ʃ	1.0
j_ɛ	ˈɛ	1.0
i_n	ˈĩ_j̃	1.0
f_l	ʃ	1.0
d_ʁ	h	1.0
b	b	1.0
v	v	0.933
k	k	0.905
f	f	0.846
y	ˈu	0.796
ə	e	0.779
s	s	0.777
t	t	0.733
ʒ	ʒ	0.716
d	d	0.701
n	n	0.665
ɔ̃	ˈõ	0.579
ø	u	0.55
ɔ	ˈo	0.547
j	ʎ	0.547
œ	ˈo	0.523
ɥ	ˈu	0.514
ɥ	ˈo	0.486
e	ˈa_h	0.479
œ	ˈɔ	0.477
ø	ˈo_ɡ	0.45
ʁ	ɾ	0.407
l	l	0.396
ɛ̃	j̃_u	0.382
ɔ̃	-	0.36
ɛ̃	ˈɐ̃_w̃	0.347
ɑ̃	ˈɐ̃	0.34
ʁ	h	0.335
j	-	0.331
l	-	0.309
ɔ	o	0.307
d	ʤ	0.299
l	w	0.296
e	-	0.293
a	a	0.293
i	ˈi	0.288
ʒ	b_j	0.284
o	ˈɛ_l	0.268
o	ˈa_w	0.267
i	ˈe	0.252
u	ˈo	0.241
w	ˈi	0.227
u	o	0.226
ə	a	0.221
ɛ	ˈɛ	0.22
ɑ̃	ˈẽ	0.211
y	-	0.204
a	-	0.192
ɛ	ˈa	0.188
o	ˈɔ	0.188
ɛ	ˈe	0.186
ɛ̃	ˈĩ	0.185
w	ˈe	0.182
w	-	0.182
n	-	0.174
u	ˈɔ	0.173
n	ɐ	0.16
f	v	0.154
e	ˈa	0.152
ɑ̃	ˈẽ_ʧ	0.15
t	-	0.149
o	w	0.148
u	ˈu	0.147
ɔ	ˈɔ	0.146
w	ˈũ	0.136
ɛ	a	0.13
o	ˈo	0.129
j	ˈẽ	0.122
t	ʃ_t	0.119
ʁ	ɦ	0.115
a	ˈa	0.107
ɑ̃	ɐ̃	0.105
ɑ̃	-	0.105
s	-	0.103
ɛ	e	0.099
a	j_ʃ	0.099
k	k_u	0.095
w	ˈɔ	0.091
w	ˈe_d	0.091
w	e	0.091
ɑ̃	ˈẽ_t	0.09
i	ˈĩ	0.086
ɛ̃	t_u	0.085
i	j	0.084
a	ˈe	0.082
s	ʃ	0.081
a	ɐ	0.081
i	j_t	0.079
u	ˈo_d	0.077
i	-	0.077
e	ˈa_d	0.075
ɛ	-	0.073
i	ˈi_ɡ	0.072
ɛ	ˈɐ̃	0.071
u	ˈo_ʃ	0.068
u	-	0.068
v	b	0.067
i	ˈe_j	0.062
ɔ̃	ũ	0.06
a	j	0.057
ʁ	-	0.056
ʁ	ɾ_i	0.052
