Proto-Slavic	Proto-Slavic	probability
̌_t	ʨ	1.0
̌_r	r	1.0
̌_n	n	1.0
̌_b	b	1.0
̌_#>	#>	1.0
̌	-	1.0
̂_ɡ	ɡ̊	1.0
̂_s	ɕ	1.0
̂_r	r	1.0
̂_l	ɔ	1.0
̂_d	d̥	1.0
̂	-	1.0
ˀ_s	a_s	1.0
ˀ	-	1.0
ʧ	ʈ͡ʂ	1.0
ʦ	ʦ	1.0
ʤ	ʂ_ʈ͡ʂ	1.0
ʒ_ĭ	ʐ̊	1.0
ʒ	ʐ	1.0
ʃ	ʂ	1.0
ɨː	-	1.0
ɨ_ˀ	ɨ	1.0
ɨ	ɛ	1.0
ɡ	ɡ	1.0
ɛː_̂	a	1.0
z_ŭ	z̥	1.0
x	x	1.0
ŭ_̌	ɛ	1.0
ŭ_̂	ɛ	1.0
ŭ_#>	#>	1.0
uː	u	1.0
u	u	1.0
tʲ	ʦ_u	1.0
t_ĭ	ʨ	1.0
t_i	ʨ	1.0
t_a	t_a	1.0
s_ŭ_#>	s_#>	1.0
rʲ	ʐ	1.0
r_ɛː	ʐ_ɛ	1.0
r_v	ɔ_v	1.0
r_ŭ_#>	r_#>	1.0
r_ŭ	r_ɨ	1.0
r_a	r_a	1.0
p	p	1.0
oː_̂	ɔ	1.0
oː	w	1.0
o_̌	u	1.0
o_̂	ɔ	1.0
o_ˀ	r	1.0
o_l	w_ɔ	1.0
o_#>	ɔ_#>	1.0
n_ĭ_#>	ɲ_#>	1.0
m	m	1.0
l_ŭ	w	1.0
l_a	w_a	1.0
ĭ_̌	ɛ	1.0
ĭ_#>	#>	1.0
iː	-	1.0
i_#>	#>	1.0
ẽː_̂	j_ɛ	1.0
e_̌	ɛ	1.0
e_#>	#>	1.0
b_ŭ	b̥	1.0
aː	a	1.0
a_ˀ	a	1.0
a	a	1.0
<#_v	<#_v	1.0
<#_uː	<#_u	1.0
<#_s	<#	1.0
<#_r	<#_r	1.0
<#_o	<#_ɔ	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
#>	ɲ_#>	1.0
t	t	0.875
k	k	0.85
b	b	0.833
n	n	0.824
s	s	0.769
o	ɔ	0.75
<#	<#_j	0.75
d	d	0.684
ẽ	ɛ_w̃	0.667
v	v	0.647
ĭ	-	0.625
<#_t	<#_ʨ	0.625
z	z	0.615
j	-	0.6
e	ɛ	0.593
ŭ	ɨ	0.552
l	w	0.542
ɛː_̌	j_a	0.5
ɛː_̌	a	0.5
r	ʐ	0.5
r	r	0.5
i	i	0.5
l	l	0.458
j	ɨ	0.4
z	ʑ	0.385
<#_t	<#_t	0.375
v	f	0.353
ɛː	ɛ	0.333
ɛː	j_a	0.333
ɛː	j	0.333
õː	ɔ_w̃	0.333
ẽ	ɛ	0.333
d	ʥ	0.316
i	ɛ	0.3
ŭ	-	0.276
ĭ	ɛ	0.25
<#	<#_v	0.25
s	ɕ	0.231
õː	ɛ_ŋ	0.222
õː	ɔ_m	0.222
õː	ɔ	0.222
i	-	0.2
n	ɲ	0.176
ŭ	i	0.172
b	b̥	0.167
k	-	0.15
e	ɔ	0.148
t	-	0.125
o	u	0.125
o	r	0.125
ĭ	j_ɛ	0.125
e	-	0.111
e	u	0.074
e	j_u	0.074
