Proto-Slavic	Kashubian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ɡ_ŭ	k	1.0
ɡ	ɡ	1.0
ɛ̂ː	ˈa	1.0
ɛː	j_ˈɞ	1.0
ɛˀ	j_ˈa	1.0
ɛ	e	1.0
z	z	1.0
x	x	1.0
ŭ̂	-	1.0
ŭ_#>	#>	1.0
t_ŭ	t	1.0
t_ĭ	ʦ	1.0
t_i	ʦ	1.0
t	t	1.0
s	s	1.0
p	p	1.0
ôː_l	w_ˈɔ	1.0
ôː	ˈɔ	1.0
m	m	1.0
j	i	1.0
ǐ	ˈi	1.0
ĭ̌	ˈɛ	1.0
ĭ̂	ˈɞ	1.0
ĭ_#>	#>	1.0
ẽ̂ː	ˈa	1.0
ê	ˈɛ	1.0
e_#>	#>	1.0
d_ŭ	t	1.0
ǎ	a	1.0
aˀ	ˈɞ	1.0
a	a	1.0
<#_t	<#_ʦ	1.0
<#_ǒ	<#_u̯ˈɛ	1.0
<#_l	<#_l	1.0
<#	<#_j	1.0
k	k	0.9
v	v	0.8
n	n	0.786
r	r	0.783
ŭ	i	0.778
d	d	0.737
ô	u̯ˈɛ	0.714
l	w	0.625
ĭ	-	0.6
ʒ	ʒ	0.5
ʒ	ʃ	0.5
ẽ	ŋ	0.5
ẽ	a_ŋ	0.5
b	p	0.5
b	b	0.5
e	ɛ	0.444
ĭ	ə	0.4
o	ɔ	0.389
e	j	0.333
l	l	0.292
ô	ˈu	0.286
o	u̯ˈɛ	0.278
d	ʣ	0.263
ŭ	-	0.222
o	u̯ɛ	0.222
e	ˈɔ	0.222
r	ʐ	0.217
n	ɲ	0.214
v	f	0.2
o	ˈɔ	0.111
k	ʧ	0.1
l	ˈɔ	0.083
