Yiddish	Yiddish	probability
χ_t	tː	1.0
ˈʊ_k	rː	1.0
ˈɔ_ʀ	ˈʉə̯	1.0
ˈaɪ̯_ə	ˈʏː	1.0
ˈa_ɫ	ˈɔː	1.0
ʧ	s_ʨ	1.0
ʦ_n	ɔ̃	1.0
ʃ_ɫ	l̥	1.0
ʀ_#>	#>	1.0
ɫ_#>	ɽ_#>	1.0
ɪ	ʉ	1.0
ɛ_m	m	1.0
ə_ʀ	r	1.0
ə_n	ɑ	1.0
ə_m	m	1.0
z	s	1.0
s_t	s_t	1.0
p	-	1.0
n_#>	#>	1.0
k_ˈɛ	kʰ	1.0
j	-	1.0
d_z	sː	1.0
a	-	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ˈa	<#_ˈɑː	1.0
<#_ʀ	<#_r	1.0
<#_v	<#	1.0
<#_t	<#_d	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
<#_d	<#_tʰ	1.0
#>	r_#>	1.0
ʀ	r	0.961
m	m	0.929
s	t	0.867
v	w	0.85
ŋ	ŋ	0.778
d_#>	d_#>	0.75
ɫ	ɽ	0.621
b	b	0.609
ə	ɛ	0.6
ʃ	s	0.591
f	f	0.571
χ	k	0.562
k	-	0.562
d	-	0.556
ʦ	tʰ	0.545
ɡ	ɡ	0.533
ˈɛɪ̯	ˈiːe̯	0.5
ˈaɪ̯	ˈɑːi̯	0.5
v_ˈɔ	ˈʉə̯	0.5
v_ˈɔ	ˈʉ	0.5
t	ð	0.485
d	d	0.444
ˈa	ˈɑ	0.435
ˈɪ	ˈɪ	0.39
ˈɛ	-	0.375
k	kʰ	0.375
n	n	0.373
ˈʊ	ˈʉ	0.348
ˈɔɪ̯	ˈɑːu̯	0.348
ˈɔ	ˈɑː	0.316
ˈɔ	-	0.316
ˈʊ	ˈʉːə̯	0.304
ˈɔɪ̯	ˈœː	0.304
b	v	0.304
n	ɑ	0.288
ˈɛɪ̯	-	0.286
ˈaɪ̯	-	0.286
ʦ	t	0.273
ˈʊ	-	0.261
χ	-	0.25
f	p	0.25
d_#>	#>	0.25
t	t	0.242
ɡ	ɣ	0.233
ʃ	s_k	0.227
ŋ	-	0.222
ˈɛɪ̯	ˈɛ	0.214
ˈaɪ̯	ˈɪː	0.214
ˈɛ	ˈɛ	0.208
ˈɛ	j	0.208
χ	ɣ	0.188
ʦ	-	0.182
ʃ	s_ʨ	0.182
ˈɔɪ̯	ˈoː	0.174
ɫ	lː	0.172
ˈɪ	ˈɪː	0.171
ˈɔ	ˈɔː	0.158
t	d	0.152
ə	-	0.15
v	-	0.15
f	v	0.143
ɫ	l	0.138
s	tː	0.133
ˈa	ˈɔ	0.13
ˈa	ˈæ	0.13
ˈa	-	0.13
ˈɛ	ˈæ	0.125
ˈɪ	j_ˈʉːə̯	0.122
ˈɔ	ˈɔ	0.105
ˈɔ	ˈoː	0.105
n	ɔ	0.102
ɡ	-	0.1
ə	ɔ	0.1
ə	ɑ	0.1
ˈʊ	ˈʉː	0.087
ˈɔɪ̯	ˈʉː	0.087
ˈɔɪ̯	ˈʉ	0.087
ˈa	ˈɔ̃ː	0.087
ˈa	ˈo	0.087
b	-	0.087
n	nː	0.085
ˈɛ	nː	0.083
ˈɪ	j	0.073
ˈɪ	-	0.073
m	mː	0.071
ɫ	-	0.069
ɡ	ʥ	0.067
ɡ	ɣ_ɛ	0.067
k	ʥː	0.062
t	tʰ	0.061
t	s	0.061
n	ɛ_n	0.051
n	-	0.051
