West Flemish	German	probability
ˈɛː	ˈaɪ̯	1.0
ˈɛ	ˈɪ	1.0
ˈøː	ˈoː	1.0
ˈu_ʋ	ˈaʊ̯	1.0
ˈi	ˈaɪ̯	1.0
ˈeː_t	ˈɛ_s	1.0
ʋ	v	1.0
ʃ_h	ʃ	1.0
ɾ_n	ɐ_n	1.0
ɦ̥	ɡ̊	1.0
ɡ̊	-	1.0
ə_ɾ	ɐ	1.0
ə_l_#>	l_#>	1.0
ə_#>	#>	1.0
ə	ə	1.0
ŋ	ŋ	1.0
z̥	z_ə	1.0
w	l	1.0
v̥	b̥	1.0
v_ə_#>	f_#>	1.0
t_ə	ʦ	1.0
n_ə	n	1.0
m	m	1.0
l	l	1.0
k_#>	ç_#>	1.0
j	j	1.0
b	b	1.0
<#	h_<#	1.0
n	n	0.887
ɦ	ɡ	0.875
v	f	0.867
ˈɪ	ˈɪ	0.857
ˈɑ	ˈa	0.808
ˈyː	ˈaʊ̯	0.8
z	z	0.792
#>	ə_#>	0.75
ˈuə̯	ˈuː	0.733
ˈiə̯	ˈiː	0.706
p	f	0.636
ˈu	ˈʊ	0.625
h	x	0.625
ˈæ	ˈɛ	0.615
ˈɔ	ˈɔ	0.6
ˈœ	ˈʏ	0.571
ˈɒː	ˈaː	0.556
k	kʰ	0.538
d̥	d̥	0.538
s	ʃ	0.536
ɾ	ɐ	0.532
s	s	0.464
d̥	t	0.462
d	d	0.452
ɾ	ʁ	0.435
ˈœ	ˈɔ	0.429
d	tʰ	0.419
ˈɔ	ˈʊ	0.4
ˈeː	ˈeː	0.4
ˈeː	ˈaɪ̯	0.4
t	t	0.4
ˈu	ˈa_l	0.375
h	ç	0.375
p	p͡f	0.364
ˈoː	ˈɔ	0.32
t	ʦ	0.311
t	s	0.289
ˈoː	ˈoː	0.28
ˈoː	ˈaʊ̯	0.28
ˈuə̯	ˈyː	0.267
#>	n_#>	0.25
ˈæ	ˈɪ	0.231
ˈɒː	ˈa	0.222
z	ʃ	0.208
ˈyː	ˈɔʏ̯	0.2
ˈeː	ˈɛ	0.2
ˈɑ	ˈaː	0.192
k	x	0.192
ˈiə̯	ˈeː	0.176
ˈæ	-	0.154
k	k	0.154
ˈɪ	ˈʏ	0.143
v	b	0.133
d	t	0.129
ɦ	k	0.125
ˈoː	ˈøː	0.12
ˈiə̯	ˈɔʏ̯	0.118
k	ç	0.115
n	ə_n	0.113
ˈɒː	ˈɛː	0.111
ˈɒː	ˈeː	0.111
