Ripuarian	Ripuarian	probability
ˈʏ	-	1.0
ˈʊ	-	1.0
ˈɔː	ˈuː	1.0
ˈøʏ̯	ˈyː	1.0
ˈuː_d̥	ˈøː	1.0
ˈoʊ̯	ˈœʏ̯	1.0
ˈeɪ̯_ɕ	ˈæɪ̯	1.0
ˈeɪ̯	ˈɛ	1.0
ˈa_d̥	ˈɑː	1.0
ʃ_ˈe	ʂ	1.0
ʃ_#>	s_k_ə_#>	1.0
ɫ_d̥	lː	1.0
ɫ_#>	l_#>	1.0
ɪ	-	1.0
ɣ̊	ɡ	1.0
ɣ	ɡ	1.0
ɡ̊_#>	#>	1.0
ə_#>	#>	1.0
ɐ_#>	#>	1.0
ŋ_ɡ̊	nː	1.0
ŋ_k	kː	1.0
t	t	1.0
n_d̥	nː	1.0
n_#>	#>	1.0
l_ə	lː	1.0
l	l	1.0
k_#>	ɡː_#>	1.0
j	ɡ	1.0
f_#>	#>	1.0
e	ə	1.0
d̥_#>	#>	1.0
d_ɐ	ɾ	1.0
b	b	1.0
<#_ʋ	<#	1.0
<#_ʀ	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
h	h	0.9
ʋ	ʋ	0.895
ə	ə	0.892
ʃ	s	0.85
ʀ	ɾ	0.8
z	s	0.8
p	p	0.8
f	f	0.773
ˈuː	ˈʉː	0.75
z̥_#>	s_#>	0.75
ˈyː	-	0.714
v	ʋ	0.714
ˈa	ˈɑ	0.696
m	m	0.692
ˈiː	ˈiː	0.667
k	kʰ	0.667
ŋ	ŋː	0.643
ˈœ	ˈʏ	0.625
ˈɔʊ̯	ˈøː	0.6
ŋ_#>	n_#>	0.6
v̥_#>	ʋ_#>	0.6
#>	t_#>	0.6
ʦ	tʰ	0.571
x	k	0.571
s	t	0.556
ˈo	ˈʉ	0.538
ˈe	ˈɪ	0.533
ˈɪ	ˈɪ	0.5
ˈɪ	-	0.5
ɫ	lː	0.5
ɫ	l	0.5
ɐ	ɾ	0.5
d̥	ɾ	0.5
d̥	n_ə	0.5
ɕ	k	0.471
ˈo	-	0.462
ˈaː	ˈɑː	0.455
d	d	0.452
ˈøː	ˈœ	0.429
x	-	0.429
ˈoː	ˈuː	0.409
ˈɔʊ̯	ˈʉː	0.4
ˈɔ	ˈʉ	0.4
ˈɔ	-	0.4
ŋ_#>	#>	0.4
v̥_#>	#>	0.4
#>	ɾ_#>	0.4
d	tʰ	0.387
ˈœ	-	0.375
ˈoː	ˈoː	0.364
ˈaː	ˈɑ	0.364
n	n	0.36
ɐ	ə_ɾ	0.357
ɕ	-	0.353
ˈɛː	ˈæɪ̯	0.333
ˈɛ	ˈɛ	0.333
ˈeː	ˈyː	0.333
n	nː	0.32
ˈøː	ˈøː	0.286
ˈøː	-	0.286
ˈyː	ˈyː	0.286
v	-	0.286
ˈe	ˈiː	0.267
ˈuː	ˈøː	0.25
z̥_#>	#>	0.25
m	mː	0.231
ˈɛː	ˈʉː	0.222
ˈɛː	ˈæː	0.222
ˈɛː	-	0.222
s	s	0.222
ʦ	tː	0.214
ŋ	nː	0.214
ˈɔ	ˈɔ	0.2
ˈe	-	0.2
ʀ	ɾ_ˈɛ	0.2
p	pː	0.2
n	ɳ	0.2
ˈɛ	ˈɑ	0.19
ˈɛ	-	0.19
ˈeː	ˈeː	0.19
ˈaː	ˈeː	0.182
ˈa	-	0.174
ˈiː	ˈɛ	0.167
ˈiː	ˈøː	0.167
k	ç	0.167
k	-	0.167
d	-	0.161
ʃ	ʂ	0.15
ˈɛ	j	0.143
ˈeː	ˈæɪ̯	0.143
ˈeː	-	0.143
ʦ	-	0.143
ɐ	ɾ_ə	0.143
ŋ	n	0.143
ˈoː	ˈœ	0.136
f	p	0.136
ˈa	ˈɑː	0.13
n	ˈoː	0.12
ɕ	tː	0.118
s	tː_ə	0.111
s	-	0.111
ʋ	-	0.105
z	ʂ	0.1
z	s_ˈœ	0.1
h	j	0.1
ˈɛ	ˈeː	0.095
ˈeː	ˈɛ	0.095
ˈeː	ˈæː	0.095
ˈoː	ˈʉː	0.091
f	ʋ	0.091
ə	n	0.081
m	-	0.077
ʦ	ʈː	0.071
ɕ	i	0.059
