American English	Hessian	probability
ˈɝ	ɐ	1.0
ˈɛə̯	ˈɑ	1.0
ˈɛ_ɚ	ˈɑː	1.0
ˈɑ_ɹ	ˈɑː	1.0
ˈæ_θ	ˈɑː_d̥	1.0
ˈoʊ̯_ɫ	l	1.0
ˈoʊ̯_n	ˈãː	1.0
ˈi_n	ˈĩː	1.0
ʤ	k	1.0
ʃ	ʃ	1.0
ɾ	z̥	1.0
ɹ_ˈɛ	ʀ	1.0
ɫ	l	1.0
ɪ	ʃ	1.0
ə	-	1.0
ŋ	ŋ	1.0
ð	d̥	1.0
z	s	1.0
tʰ	ʦ	1.0
s_t	ʃ_d̥	1.0
p	v̥	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
i	i	1.0
h	h	1.0
d_ɚ	æ̆	1.0
s	s	0.909
f	f	0.845
ˈɪ	ˈi	0.814
θ	d̥	0.805
n	n	0.792
w	v	0.772
ˈu	-	0.709
d	d̥	0.708
ɚ	æ̆	0.682
t	-	0.63
ˈaʊ̯	ˈau̯	0.623
b	b̥	0.623
ɹ	ʀ	0.62
ˈoʊ̯	ˈaː	0.611
ʧ	kʰ	0.59
ˈɔ	-	0.571
v	v	0.559
ˈaɪ̯	ˈi	0.549
pʰ	f	0.515
ˈæ	ˈa	0.513
ɡ	ɡ̊	0.509
ˈʊ	ˈuː	0.5
ˈʊ	ˈo	0.5
ˈaɪ̯_n	ˈɑ̃i̯	0.5
ˈaɪ̯_n	ˈoĩ̯	0.5
j	ɡ̊	0.5
j	j	0.5
ˈʌɪ̯	ˈai̯	0.497
ɡ	k	0.491
ˈæ	-	0.487
pʰ	pʰ	0.485
ʔ	s	0.459
ˈʌ	ˈu	0.455
ˈɔ	ˈɔ	0.429
ʧ	-	0.41
ˈɑ	-	0.383
k	k	0.382
ˈaʊ̯	-	0.377
b	p	0.377
t	d̥	0.37
ˈɑ	ˈa	0.353
ˈeɪ̯	ˈɑ	0.332
ɚ	ɐ	0.318
ʔ	t	0.299
ˈu	ˈuː	0.291
k	x	0.277
ˈoʊ̯	-	0.266
ˈɑ	ˈæ	0.265
ˈɛ	ˈe	0.263
ˈʌɪ̯	ˈɑ_x	0.252
ˈʌɪ̯	ˈi_ʃ	0.252
ˈi	ˈaː	0.252
v	v_ə	0.248
ɹ	ɐ	0.245
ˈi	ˈiː	0.236
ˈeɪ̯	ˈɑː_ɣ̊	0.235
ˈeɪ̯	ˈa	0.223
ˈɛ	ˈɛ	0.213
ˈeɪ̯	ˈɛː	0.21
ˈaɪ̯	-	0.209
ʔ	z̥_ə	0.204
θ	t	0.195
v	f	0.193
ˈi	ˈɑː	0.189
ˈɛ	ˈæː	0.174
ˈi	-	0.174
ˈʌ	ˈo	0.17
k	ɣ̊_ə	0.169
d	t	0.157
ˈɛ	-	0.147
ˈʌ	ˈoː	0.146
ˈaɪ̯	ˈoi̯	0.142
ˈɪ	-	0.136
n	n_ə	0.136
d	-	0.135
w	v_ˈɔ	0.129
k	ɡ̊_ə	0.122
ˈʌ	ˈau̯	0.12
ˈaɪ̯	ˈiː_j	0.1
w	-	0.099
s	ʃ	0.091
ˈɛ	ˈoː	0.083
ˈɛ	ˈi	0.083
ɹ	ˈæ_ɐ	0.081
f	l_b̥	0.078
f	b̥	0.078
ˈi	ˈoi̯	0.075
ˈi	ˈeː	0.075
n	ə	0.072
ˈoʊ̯	ˈɛ̃ː	0.062
ˈoʊ̯	ˈẽː	0.062
ˈʌ	ˈõː	0.055
ˈʌ	ˈuː	0.054
ɹ	-	0.054
k	ʤ̥	0.051
ˈɪ	ˈɛ	0.05
