Proto-Germanic	Middle High German	probability
β_ɑ	b̥	1.0
ˈɛː	ˈɑː	1.0
ˈɔː_θ	ˈuə̯_t	1.0
ˈɑi̯_w	ˈeː	1.0
ˈɑi̯	ˈei̯	1.0
ˈɑ_n	ˈɑ_n	1.0
ˈĩː	ˈiː	1.0
ˈiː	ˈiː	1.0
ˈiu̯	ˈyː	1.0
ˈeː	ˈiə̯	1.0
ˈeu̯	ˈiə̯	1.0
ɣ_ɑ	ɡ̊	1.0
ɣ_j	kː	1.0
ɡʷ	ɡ	1.0
ɛː	ə	1.0
ɔːu̯	ə	1.0
ɑː	ə	1.0
ɑi̯	ˈei̯_n	1.0
ɑ_n	ə_n	1.0
ŋ	ŋ	1.0
ð_j	tː	1.0
ð	t	1.0
z	r	1.0
x_t	x_t	1.0
wː	-	1.0
t_ɑ	s̻	1.0
t_s	s̻	1.0
sː	s	1.0
s_ˈɑ	s_ˈɑ	1.0
s_t	s_t	1.0
r_ɑ	ə_r	1.0
r_u	ə_r	1.0
r_n	r_n	1.0
r_i	r	1.0
pː	-	1.0
mː	mː	1.0
m_ɔːː	m_ə	1.0
lː	lː	1.0
l	l	1.0
kː	-	1.0
kʷ	-	1.0
k_i	xː	1.0
j_ɑ	ə	1.0
j	-	1.0
iː	ə	1.0
i_ɸ	f	1.0
d_ɑ	d̥	1.0
d_u	d̥	1.0
b	b	1.0
ɔː	ə	0.959
m	m	0.941
ɸ	v	0.934
r	r	0.917
n	n	0.911
ˈuː	ˈuː	0.88
x	h	0.849
e	ə	0.843
β	b	0.835
w	w	0.82
ɣ	ɡ	0.813
ˈɑ	ˈɑ	0.802
ɔːː	ə	0.8
ˈe	ˈɛ	0.785
θ	d	0.776
ˈi	ˈi	0.768
u	ə	0.747
ˈɑː	-	0.743
i	-	0.73
p	f	0.728
s	s	0.7
ɑ	ə	0.688
l_ɑ	l	0.68
nː	nː	0.672
s_k	ʃ	0.669
ˈɔː	ˈuə̯	0.646
xʷ	w	0.6
d	d̥	0.584
ɡ	ɡ	0.519
ɡ	ɡ̊	0.481
d	t	0.416
ˈɑu̯	ˈou̯	0.413
ˈu	ˈu	0.402
xʷ	h	0.4
ˈɑu̯	ˈoː	0.384
ˈu	ˈo	0.371
ˈɔː	ˈyə̯	0.354
k	x	0.344
t	s̻	0.332
s_k	ʃː	0.331
nː	n	0.328
l_ɑ	ə_l	0.32
s	ʃ	0.278
k	k	0.276
i	ə	0.27
ˈɑː	ˈæː	0.257
u	-	0.253
t	t	0.252
t	ʦ	0.251
k	xː	0.251
ɑ	-	0.237
ˈu	ˈy	0.227
θ	d̥	0.224
ɔːː	-	0.2
ˈɑ	ˈe	0.198
ɣ	ɡ̊	0.187
w	-	0.18
β	b̥	0.165
t	s̻ː	0.165
ˈe	ˈi	0.164
e	ɛ	0.157
ˈɑu̯	ˈøː	0.153
x	x	0.151
ˈi	-	0.149
k	kː	0.129
p	p͡f	0.123
ˈuː	-	0.12
p	p	0.096
ˈi	ˈiː	0.083
ɑ	i	0.076
ɸ	f	0.066
r	ə_r	0.06
m	n	0.059
p	fː	0.053
ˈɑu̯	ou̯	0.051
ˈe	-	0.051
