Portuguese	Portuguese	probability
ˈɨ	-	1.0
ˈɛ_ʃ	ˈe	1.0
ˈɛ_ɾ	ˈe_ʁ	1.0
ˈɔ_l	ˈu	1.0
ˈɐ̃_w̃	ˈɑ̃	1.0
ˈɐ̃_t	ˈɑ̃	1.0
ˈɐ̃_#>	ˈa_n_a_#>	1.0
ˈɐ_j	ˈɛ	1.0
ˈõ	ˈɔ̃	1.0
ˈo_ɾ	ˈø_ʁ	1.0
ˈẽ_t	ˈɛ̃	1.0
ˈẽ	ˈɛ̃	1.0
ˈe_ɾ	ə	1.0
ˈe_k	ˈɛ_t	1.0
ˈa_ɾ	ˈa	1.0
ʎ	ʎ	1.0
ʃ_ɐ	s_ə	1.0
ɾ_ˈu	ʁ_w	1.0
ɾ_ɨ	ʁ_o	1.0
ɾ_ɐ	ʁ_a	1.0
ɾ_v	ʁ_b	1.0
ɾ_u_#>	#>	1.0
ɾ_u	ʁ	1.0
ɲ_u	ˈɛ̃	1.0
ɲ	ɲ	1.0
ɫ	l	1.0
ɨ_#>	#>	1.0
ɣ_u	ˈa	1.0
ɣ	-	1.0
ɔ	o	1.0
ɐ̃	ɑ̃	1.0
ɐ_ʃ	ɑː	1.0
ɐ_#>	#>	1.0
v_ɨ	f	1.0
t_ɨ_#>	#>	1.0
t_ɐ	t_a	1.0
s_u	ʦ	1.0
õ	ɔ̃	1.0
l	l	1.0
k_ˈa	ʃ_j	1.0
j̃	-	1.0
ĩ	-	1.0
i_ʃ	e	1.0
i	-	1.0
f	f	1.0
ẽ	ɛ̃	1.0
d_u_#>	#>	1.0
d	d	1.0
b	b	1.0
<#_ʒ	<#_ð	1.0
<#_ʃ	<#	1.0
<#_ʁ	<#_ʁ	1.0
<#_ɐ	<#_a	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
#>	ˈɛ_#>	1.0
u_#>	#>	0.945
p	p	0.9
v	v	0.857
m	m	0.852
s	s	0.786
ð	-	0.765
t	t	0.737
n	-	0.727
ʃ_#>	#>	0.647
ɡ	ɡ	0.636
ˈĩ	ˈĩ	0.6
ʒ	-	0.6
w̃	ˈɔ̃	0.6
ɾ	ʁ	0.545
ɐ	a	0.529
j	-	0.522
u	o	0.52
k	k	0.514
ˈɐ̃	ˈɑ̃	0.5
ˈi_ɲ	ˈĩ	0.5
ˈi_ɲ	ˈe_n	0.5
ˈi	ˈi	0.5
ˈa_ɫ	ˈɑː	0.5
ˈa_ɫ	ˈoː	0.5
z	z	0.5
z	-	0.5
ˈe	ˈɛː	0.48
ˈu	ˈu	0.417
ˈĩ	ˈɛ̃	0.4
ʒ	ʒ	0.4
w̃	-	0.4
β	v	0.385
β	-	0.385
w	-	0.385
k	ʃ	0.378
ˈa	ˈa	0.37
ɡ	-	0.364
ɨ	ə	0.357
ɨ	-	0.357
ʃ_#>	ʃ_#>	0.353
ˈɔ	ˈoː	0.333
ˈu	-	0.333
ˈi	-	0.333
ʃ	s	0.333
ʃ	k	0.333
ʃ	-	0.333
u	-	0.32
w	w	0.308
w	l	0.308
ˈɐ̃	-	0.3
ˈɛ	ˈɛ	0.294
ˈɛ	ˈe	0.294
ˈɐ	ˈa	0.294
ˈo	w	0.286
ɨ	ɛ	0.286
ˈɔ	w	0.278
n	n	0.273
t	-	0.263
j	ˈe	0.261
ˈu	w	0.25
ˈe	ˈi	0.24
ˈɛ	-	0.235
ˈɐ	j	0.235
ɐ	ə	0.235
β	ˈe_v	0.231
ˈɐ̃	ˈɛ̃	0.2
ˈo	ˈo	0.2
ˈɛ	j_ˈe	0.176
ˈɐ	ˈɛː	0.176
ˈɐ	ˈi	0.176
ˈo	ˈɔ	0.171
ˈo	ˈoː	0.171
ˈɔ	ˈo	0.167
ˈi	ˈe	0.167
ˈa	ˈe	0.148
m	-	0.148
ɾ	ð	0.145
ɐ	-	0.132
j	j	0.13
ɾ	-	0.127
ˈe	ˈɛ	0.12
ˈɐ	-	0.118
ð	j	0.118
ð	d	0.118
ˈo	-	0.114
ˈɔ	ˈø	0.111
ˈɔ	ˈu	0.111
ˈa	ˈɑː	0.111
ˈa	ˈaː	0.111
ˈa	-	0.111
k	-	0.108
p	-	0.1
s	-	0.095
j	ˈø	0.087
ˈe	ʁ	0.08
ˈe	-	0.08
u	ˈu	0.08
u	ʁ_o	0.08
ˈa	ˈɛː	0.074
ˈa	j	0.074
v	b	0.071
v	-	0.071
s	ʃ	0.071
ɐ	i	0.059
ˈo	w_ˈe	0.057
ɾ	ə	0.055
ɾ	ð_ə	0.055
u_#>	ˈe_#>	0.055
