Scots	Standard German	probability
ˈʌu̯	ˈɔ_l	1.0
ˈɪ_l	ˈɪ_l	1.0
ˈɛː	ˈeː_ɡ	1.0
ˈøː	ˈuː	1.0
ˈoː	-	1.0
ˈiː_r	ɐ	1.0
ˈeː_r	ˈa_ɐ	1.0
ˈaːɪ̯	ˈʏ_n	1.0
ˈaː	ˈɪ_ç	1.0
ˈaɪ̯	-	1.0
ʤ	k_ə	1.0
ʍ	v	1.0
ʃ	ʃ	1.0
ɪ	ɪ_ç	1.0
ɡ	ɡ	1.0
ɛ	ə_ʁ	1.0
ə_r	ɐ	1.0
ə_n	n	1.0
ŋ	ŋ	1.0
z	z_ə	1.0
w	v	1.0
v	-	1.0
tʰ	ʦ	1.0
s_t	s_t	1.0
r_ˈi	ʁ	1.0
r_n	ɐ_n	1.0
r_d	ɐ_t	1.0
pʰ	p͡f	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
e	ɪ_ç	1.0
b	b	1.0
ˈo	ˈɔ	0.76
ˈəi̯	ˈaɪ̯	0.737
p	f	0.705
ˈu	ˈaʊ̯	0.704
ˈuː	ˈaʊ̯	0.667
ˈa	ˈa	0.646
θ	d	0.627
ˈeː	ˈaː	0.615
ð	d	0.597
s	z	0.562
ç	ç	0.556
ˈʌ	ˈʊ	0.551
ˈɑː	ˈa	0.55
ə	ɐ	0.55
r	ɐ	0.539
i	ɪ_ç	0.525
ˈe	ˈaɪ̯	0.518
ˈø	ˈuː	0.516
ˈɪ	ˈɪ	0.512
x	x	0.506
ˈɛ	ˈɛ	0.505
t	s	0.505
x	ɡ̊	0.494
i	eː	0.475
ə	-	0.45
ç	x	0.444
ð	t	0.403
s	ʃ	0.4
r	ʁ	0.4
k	k	0.397
j	ɡ	0.381
d	tʰ	0.37
ˈuː	ˈɔ_l	0.333
j	-	0.322
ˈiː	ˈiː	0.307
ˈø	ˈoː	0.304
ˈʌ	-	0.303
j	j	0.297
ˈu	-	0.296
t	t	0.296
p	f_n	0.295
k	x	0.295
θ	d̥	0.273
ˈəi̯	ˈɔʏ̯	0.263
d	t	0.258
ˈe	ˈa	0.245
ˈo	-	0.24
ˈɑː	ˈa_l	0.225
ˈɑː	-	0.225
ˈa	ˈɛ	0.204
t	ʦ	0.198
k	ç	0.194
ˈɛ	ˈeː	0.189
ˈi	ˈyː	0.183
ˈø	-	0.18
ˈiː	ˈeː	0.177
ˈi	ˈiː	0.17
d	d̥	0.168
ˈeː	-	0.162
ˈiː	ˈɔʏ̯	0.16
ˈi	ˈøː	0.156
ˈa	ˈœ	0.15
ˈi	ˈaː	0.149
ˈʌ	ˈɔ	0.146
ˈi	ˈaʊ̯	0.139
ˈi	-	0.139
ˈe	ˈaː	0.139
ˈiː	ˈiː_ɐ	0.136
ˈiː	ˈɛː	0.129
k	ç_ə	0.114
ˈeː	ˈeː	0.112
ˈeː	ˈaː_ɡ	0.112
d	d	0.101
ˈe	ˈoː	0.098
ˈiː	ˈiː_ɡ	0.091
ˈɪ	ˈa	0.086
ˈɛ	ˈa	0.08
d	t_n	0.078
ˈɛ	ˈaː	0.075
ˈɛ	ˈaɪ̯	0.075
ˈɛ	-	0.075
θ	-	0.073
ˈɪ	ˈɔ	0.07
ˈɪ	ˈʊ	0.069
ˈɪ	ˈʏ	0.068
ˈɪ	ˈoː	0.064
ˈi	ˈuː	0.064
r	-	0.06
