Québécois French	Québécois French	probability
ʦ	t	1.0
ʣ	d	1.0
ʏ	ˈy	1.0
ʊ	ˈu	1.0
ʁ_w	ɾ	1.0
ʁ_#>	#>	1.0
ɲ	ɲ_ɔ	1.0
ɪ_n	ˈi_ɔ	1.0
ɥ_i	ˈy	1.0
ɛɪ̯	ˈɛ_s	1.0
ɛ_l	w	1.0
ɛ_#>	j_#>	1.0
ɒ̃ʊ̯̃_#>	#>	1.0
æɛ̯_ʁ	e_r	1.0
æɛ̯_n	ˈa_ŋ	1.0
z	z	1.0
w_ẽɪ̯̃	ˈy_n	1.0
t_#>	t_ɔ_#>	1.0
p	p	1.0
o	ˈɔ_s	1.0
n_œ	n_ˈa	1.0
n_#>	#>	1.0
l_#>	w_#>	1.0
j_ɛ	ˈɛ	1.0
j_e_#>	ˈɛ_#>	1.0
f_#>	w_#>	1.0
f	h	1.0
ẽɪ̯̃_#>	ɲ_#>	1.0
d	d	1.0
<#_ʁ	<#_a_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
m	m	0.929
k	k	0.923
e_#>	ˈa_#>	0.875
l	l	0.812
s	s	0.786
ɪ	ˈi	0.778
b	b	0.75
ʒ	ʒ	0.737
ɡ	ɡ	0.714
ɥ	w_ˈe	0.667
t	t	0.667
y	ˈy	0.636
v	b	0.633
ɑɔ̯	ˈɔ	0.625
ɛ_ʁ	ð_e	0.6
w_ɛ	ˈe	0.6
u	ˈu	0.556
n	n_ɔ	0.556
a	a	0.556
ɒ̃ʊ̯̃	ˈu_ŋ	0.545
oʊ̯	ˈɛ_t	0.538
#>	ɔ_#>	0.531
w	ˈe	0.5
aœ̯	ˈu	0.5
aœ̯	-	0.5
oʊ̯	ˈa_w	0.462
ʁ	ɾ	0.452
ɔ	u	0.444
n	n	0.444
j	ʎ	0.444
e	ˈa	0.444
a	ˈa	0.444
ʃ	k	0.429
<#	<#_a	0.429
ɛ_ʁ	e	0.4
ɛ	ˈe	0.4
w_ɛ	ˈu_ʦ	0.4
w	-	0.389
ɑɔ̯	-	0.375
i	ˈi	0.36
ẽɪ̯̃	ŋ	0.357
ɥ	ˈy	0.333
ɔ	ˈu	0.333
øʏ̯	ˈɔ_k	0.333
øʏ̯	ˈu	0.333
øʏ̯	-	0.333
æɛ̯	ˈa	0.333
u	u	0.333
e	ˈi	0.333
ã	ˈe_n	0.333
ã	n	0.333
v	β	0.3
ɡ	ɣ	0.286
ẽɪ̯̃	ˈa_ŋ	0.286
<#	<#_w	0.286
<#	<#_e	0.286
œ	w_ˈe	0.278
œ	e	0.278
j	-	0.278
ʁ	r	0.274
ɒ̃ʊ̯̃	ˈu_n	0.273
ɛ	ˈɛ	0.267
ʃ	k_a	0.238
ʁ	e	0.226
ɪ	-	0.222
ɔ	ˈɔ	0.222
œ	-	0.222
e	ˈa_t	0.222
ã	ˈa_ŋ	0.222
ẽɪ̯̃	ˈi_ŋ	0.214
ɛ	e	0.2
t	s_t	0.2
ʃ	k_ɔ	0.19
ɒ̃ʊ̯̃	ŋ	0.182
y	ˈy_β	0.182
y	-	0.182
j	ˈe_ʎ	0.167
ʒ	-	0.158
æɛ̯	j	0.152
ʃ	k_ˈa	0.143
s	-	0.143
ẽɪ̯̃	ˈi	0.143
ɛ	j	0.133
t	ʃ	0.133
e_#>	#>	0.125
b	β_ɔ	0.125
b	β	0.125
#>	s_#>	0.125
#>	e_#>	0.125
æɛ̯	ˈɛ	0.121
æɛ̯	ˈe	0.121
i	j_t	0.12
i	i	0.12
œ	ˈɔ	0.111
œ	ˈe	0.111
w	ˈy	0.111
u	ˈɔ	0.111
j	ˈe	0.111
ã	ˈe	0.111
ʒ	j	0.105
æɛ̯	ˈɛ_j	0.091
æɛ̯	ˈa_j	0.091
æɛ̯	a	0.091
i	ˈɛ_ʦ	0.08
i	ˈi_t	0.08
i	ˈi_k	0.08
i	ˈe	0.08
i	j	0.08
k	s_k	0.077
s	s_ˈa	0.071
m	-	0.071
v	-	0.067
l	ʎ	0.062
l	ɾ_ɔ	0.062
l	ɾ	0.062
#>	w_#>	0.062
#>	k_#>	0.062
