West Flemish	West Flemish	probability
ˈɔ_ɾ	ˈoə̯	1.0
ˈoː_ɾ	ˈoə̯	1.0
ʃ_h	s_k	1.0
ɾ_ˈœ	r	1.0
ɾ_#>	#>	1.0
ɪ	ɪ	1.0
ɦ̥_#>	#>	1.0
ɦ̥	χ	1.0
ɦ_ə	χ	1.0
ŋ	ŋ	1.0
ç	χ	1.0
z̥_#>	s_#>	1.0
w_v̥	ˈɪə̯_l	1.0
w	l	1.0
v̥_#>	f_#>	1.0
v_ə	v_ə	1.0
v_n	n	1.0
v	f	1.0
t_n	t_ə	1.0
s	s	1.0
p	p	1.0
n_ə	n	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
k_#>	#>	1.0
j	j	1.0
iə̯	ɪ	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
d_ɾ	r	1.0
d_n	ə	1.0
d	d	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_t	1.0
<#	<#_h	1.0
k	k	0.92
z	s	0.917
t	t	0.864
ɾ	r	0.82
ˈɔ	ˈɔ	0.778
h	χ	0.778
ˈɛ	ˈɪ	0.75
n	n	0.685
ə	ə	0.676
ʋ	ʋ	0.636
ˈɛː	ˈiə̯	0.625
ˈøː	ˈoə̯	0.6
ˈuə̯	ˈuə̯	0.6
ˈɪ	ˈɪ	0.583
ˈoː	ˈɪə̯	0.579
ˈi	ˈi	0.556
ˈeː	-	0.533
ˈɑ	ˈa	0.5
ˈæ	ˈɛ	0.5
ˈyː	ˈuː	0.5
ˈyː	-	0.5
ɦ	ɡ	0.474
#>	ə_#>	0.455
ˈi	ˈiː	0.444
ˈœ	ˈɔ	0.429
ˈøː	-	0.4
ˈɛː	-	0.375
#>	k_#>	0.364
ˈɒː	-	0.333
ˈæ	-	0.333
ə	-	0.324
ɦ	ɣ	0.316
ˈœ	ˈɪ	0.286
ˈœ	-	0.286
ˈɒː	ˈiə̯	0.278
ˈɒː	ˈaː	0.278
ʋ	v	0.273
ˈiə̯	j	0.263
ˈɪ	ˈi	0.25
ˈɛ	-	0.25
ˈu	ˈɔː	0.25
ˈu	ˈɔu̯	0.25
ˈu	ˈɔ	0.25
ˈu	ˈuː	0.25
n	ə	0.241
ˈɔ	-	0.222
h	j	0.222
ˈoː	ˈuː	0.211
ˈiə̯	ˈiə̯	0.211
ɦ	-	0.211
ˈuə̯	ˈiə̯	0.2
ˈeː	ˈaː	0.2
#>	s_#>	0.182
ˈɪ	ˈiː	0.167
ˈæ	j_ˈɛ	0.167
ˈiə̯	-	0.158
ˈɑ	ˈɔː	0.136
ˈɑ	ˈaː	0.136
ˈɑ	-	0.136
ˈuə̯	ˈoː	0.133
ˈeː	ˈiə̯	0.133
ˈeː	ˈeː	0.133
ɾ	-	0.12
ˈɒː	ˈɪə̯	0.111
ˈoː	ˈɪ	0.105
ˈoː	ˈeː	0.105
ˈiə̯	ˈɪə̯	0.105
ˈiə̯	ˈɪ	0.105
ˈiə̯	ˈɛ_j	0.105
ˈɑ	ˈɛː	0.091
ʋ	-	0.091
t	t_ə	0.091
z	ɕ	0.083
k	ʦ	0.08
n	j_ə	0.074
ˈuə̯	ˈu̯o	0.067
ɾ	ə_r	0.06
ˈiə̯	ˈøə̯	0.053
