English	English	probability
θ	θ	1.0
ˈʊ_ɫ	ˈuː	1.0
ˈʊ	-	1.0
ˈɪ_ə	ˈiː_r	1.0
ˈɪ_d	ˈɪ_d	1.0
ʧ	-	1.0
ɹ_ˈe	r_ˈi	1.0
ɹ	r	1.0
ɜː	r_ˈɪ	1.0
əʊ̯_#>	ə_#>	1.0
ŋ	ŋ	1.0
ð	ð	1.0
z	z	1.0
tʰ	tʰ	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
n_d	n	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
h	h	1.0
d_ˈɪ	d_ˈiː	1.0
d	d	1.0
b	b	1.0
<#	<#_k	1.0
t	t	0.959
f	f	0.912
ɫ	l	0.889
ɡ	ɡ	0.867
ˈɪ	ˈɪ	0.846
ʃ	ʃ	0.846
w	w	0.758
ˈaʊ̯	ˈu	0.714
ʤ	ɡ	0.667
ˈiː	ˈi	0.611
ˈɜː	ˈɪ_r	0.6
ˈɛ	ˈeː	0.6
ə	ə_r	0.6
v	-	0.545
ˈuː	ˈø	0.538
ˈɔː	ˈo_r	0.5
ˈɒ	ˈo	0.5
ˈɒ	-	0.5
ˈe	ˈɛ	0.5
ˈɐ	ˈʌ	0.458
v	v	0.455
ˈaɪ̯	ˈəi̯	0.448
ˈeɪ̯	ˈe	0.429
ˈɔː	r	0.417
ˈæ	ˈa	0.417
ˈɜː	ˈɪ	0.4
ˈɛ	ˈɛ	0.4
ˈɑː	ˈɛ	0.4
ɪ	ə	0.375
ɪ	i	0.375
ˈəʊ̯	ˈe	0.35
ˈæ	-	0.333
ˈiː	ˈiː	0.333
ʤ	ʤ	0.333
ˈɑː	ˈɑː	0.3
ˈɑː	ˈeː_r	0.3
ˈɐ	ˈɪ	0.292
ˈaʊ̯	ˈuː	0.286
ə	r	0.267
ˈæ	ˈɑː	0.25
ˈuː	-	0.231
ˈeɪ̯	ˈeː	0.214
ˈəʊ̯	ˈɑː	0.2
ˈaɪ̯	ˈɪ_ç	0.172
ˈɐ	-	0.167
ˈe	ˈe	0.167
ˈuː	ˈuː	0.154
ʃ	s	0.154
ˈəʊ̯	ˈʌu̯	0.15
ˈəʊ̯	ˈeː	0.15
ˈəʊ̯	-	0.15
ˈeɪ̯	ˈɛ	0.143
ˈeɪ̯	-	0.143
ˈaɪ̯	ˈiː	0.138
ɡ	ə	0.133
ə	ə	0.133
ˈe	ˈeː	0.125
ˈe	ˈa	0.125
ɪ	ɪ	0.125
ɪ	e	0.125
w	ʍ	0.121
w	-	0.121
ɫ	-	0.111
ˈaɪ̯	ˈɪ	0.103
ˈaɪ̯	ˈaɪ̯	0.103
f	-	0.088
ˈɔː	ˈɔɪ̯	0.083
ˈɐ	ˈu	0.083
ˈe	ˈi	0.083
ˈɪ	ˈi	0.077
ˈɪ	-	0.077
ˈuː	ˈøː	0.077
ˈeɪ̯	ˈɛː	0.071
ˈiː	-	0.056
