West Flemish	West Flemish	probability
ˈɪ	ˈɪ	1.0
ˈɛː_n	ˈe_n	1.0
ˈɒː_n	ˈeː	1.0
ˈɑ_n	ˈø	1.0
ˈœ_l	ˈuː	1.0
ˈæ_ɾ	r	1.0
ˈyː	ˈu	1.0
ˈoː_ɦ̥	ˈaɪ̯	1.0
ˈiə̯_ɦ	ˈiː	1.0
ˈeː_ɦ	ˈɛː	1.0
ʃ_h	ʃ	1.0
ʃ	ʃ	1.0
ɾ_n	r_n	1.0
ɪ	ˈi	1.0
ɦ_ə	ʤ	1.0
ə_k	ˈaː	1.0
ŋ	ŋ	1.0
ç	i	1.0
z	s	1.0
v̥_#>	f_#>	1.0
t	t	1.0
s_#>	ʃ_#>	1.0
s	s	1.0
n_ə	n	1.0
m	m	1.0
l	l	1.0
k_ˈoː	kʰ	1.0
k_n	k	1.0
j	j	1.0
iə̯	i	1.0
h_ˈuə̯	ˈøː	1.0
d_n	d	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#	<#_h	1.0
v	f	0.852
p	p	0.8
d̥	d	0.8
ɾ	r	0.78
ˈi	ˈəi̯	0.778
ə	-	0.757
ˈœ	ˈɪ	0.75
ɦ̥	-	0.667
z̥	s	0.667
w	l	0.636
h	ç	0.625
ɦ	ɡ	0.611
ˈɛː	-	0.6
ʋ	w	0.565
n	n	0.511
ˈøː	ˈɪ	0.5
ˈøː	-	0.5
k	k	0.5
d	d	0.5
n	-	0.489
ˈæ	ˈɛ	0.444
ˈu	-	0.444
ˈɛ	ˈɪ	0.429
ˈɔ	ˈo	0.417
ˈɔ	-	0.417
ˈɛː	ˈe	0.4
h	x	0.375
ˈiə̯	ˈiː	0.368
w	-	0.364
d	θ	0.364
ˈuə̯	ˈø	0.357
ˈuə̯	ˈi	0.357
ˈæ	ˈɪ	0.333
ˈu	ˈʌ	0.333
ˈeː	-	0.333
ɦ̥	x	0.333
z̥	z	0.333
ˈɑ	ˈɑː	0.318
ˈɒː	ˈe	0.312
ˈoː	ˈi	0.3
ˈɛ	ˈɛ	0.286
ˈɛ	-	0.286
ˈuə̯	-	0.286
ɦ	-	0.278
ˈiə̯	ˈi	0.263
ˈiə̯	-	0.263
ˈɒː	ˈeː	0.25
ˈœ	ˈaːɪ̯	0.25
ˈeː	ˈɛ	0.25
ˈeː	ˈe	0.25
k	kʰ	0.25
k	-	0.25
ˈɑ	ˈɛ	0.227
ˈɑ	ˈa	0.227
ˈæ	-	0.222
ˈu	ˈɑː_l	0.222
ˈi	ˈiː	0.222
ɾ	ə_r	0.22
ˈoː	ˈo	0.2
ˈoː	ˈiː	0.2
p	pʰ	0.2
d̥	θ	0.2
ˈɒː	-	0.188
ˈɔ	ˈʌ	0.167
ˈeː	ˈeː	0.167
v	v	0.148
ˈɑ	ˈɪ	0.136
d	ð	0.136
ə	ə	0.135
ʋ	ʍ	0.13
ʋ	w_ˈa	0.13
ˈɒː	ˈiː	0.125
ˈɒː	ˈi	0.125
ɦ	j	0.111
ˈiə̯	ə	0.105
ˈoː	ˈɪ	0.1
ˈoː	ˈe	0.1
ˈoː	-	0.1
ˈɑ	-	0.091
ʋ	ˈuː	0.087
ʋ	-	0.087
ə	n	0.081
