Luxembourgish	West Flemish	probability
ˈɛː	ˈæ	1.0
ˈɛ	ˈɛ	1.0
ˈɔ	ˈu	1.0
ˈɑʊ̯	ˈyː	1.0
ˈɑɪ̯	ˈiə̯	1.0
ˈæːʊ̯	ˈyː	1.0
ˈæ	ˈɑ	1.0
ˈuː	ˈɔ	1.0
ˈoː	ˈɒː	1.0
ˈiə̯	ˈeː	1.0
ˈaː_s	ˈɒː_t	1.0
ˈaː_l	ˈu_d̥	1.0
ʑ	ɦ	1.0
ɣ̊	ɦ̥	1.0
ɡ̊	k	1.0
ɡ	ɦ	1.0
ə_f	v_ə	1.0
ŋ	ŋ	1.0
z	z	1.0
w	ʋ	1.0
v̥	v̥	1.0
tʰ	t	1.0
t_ɐ	t_ɾ	1.0
pʰ	p	1.0
p	p	1.0
n_ə	n_d	1.0
m	m	1.0
l_ə	w	1.0
kʰ	k	1.0
k_ə	k	1.0
j	j	1.0
f_ə	p	1.0
d̥	d̥	1.0
d_ɐ	ɾ	1.0
d	d	1.0
b	b	1.0
ʀ	ɾ	0.95
s	t	0.913
l	l	0.91
f	v	0.906
t	t	0.88
ʦ	t	0.876
n	n	0.86
v	ʋ	0.859
ə	-	0.857
z̥	z̥	0.784
ˈi	-	0.783
ˈæːɪ̯	ˈi	0.731
ɐ	ɾ	0.718
ˈəʊ̯	ˈoː	0.679
e	iə̯	0.648
ʃ	s	0.64
ˈɜɪ̯	ˈiə̯	0.599
ˈuə̯	-	0.592
ˈu	ˈuə̯	0.58
ˈiː	-	0.56
k	ɦ_ə	0.535
ˈaː	ˈɑ	0.533
ˈeː	ˈɛː	0.509
ˈɑ	ˈɪ	0.5
ˈe	-	0.483
k	k	0.465
ˈiː	ˈæ	0.44
ɕ	k	0.436
χ	h	0.432
ˈu	-	0.42
ˈuə̯	ˈɑ	0.408
ˈeː	ˈeː	0.392
ˈo	ˈu	0.381
ˈaː	ˈoː	0.362
e	ɪ	0.352
χ	k	0.333
ˈəʊ̯	ˈuə̯	0.321
ɕ	h	0.321
ˈe	ˈɪ	0.31
ˈɑ	ˈɑ	0.305
ˈə	ˈɪ	0.295
ˈɜɪ̯	-	0.279
ˈæːɪ̯	-	0.269
ˈə	-	0.261
ʃ	ʃ_h	0.247
χ	k_ə	0.234
ˈi	ˈuə̯	0.217
z̥	-	0.216
ɕ	ɦ̥	0.208
ˈe	ˈœ	0.206
ˈo	ˈɔ	0.189
ˈə	ˈœ	0.181
ˈo	ˈœ	0.147
ˈo	-	0.147
ə	ə	0.143
ɐ	ɾ_ə	0.143
ˈɑ	-	0.141
v	v	0.141
ɐ	ə_ɾ	0.14
ˈo	ˈoː	0.136
ˈə	ˈɛ	0.132
ˈə	ˈæ	0.132
ʦ	t_ə	0.124
ˈɜɪ̯	ˈuə̯	0.122
t	d̥	0.12
ʃ	z	0.113
ˈaː	ˈɒː	0.105
ˈeː	ˈæ	0.099
f	v_ˈøː	0.094
l	w	0.09
s	-	0.087
ˈɑ	ˈɔ	0.053
n	-	0.053
n	n_d	0.051
ʀ	-	0.05
