American English	East Frisian Low Saxon	probability
ˈʌ_n	n	1.0
ˈɝ	-	1.0
ˈɛə̯	ˈɑ	1.0
ˈɛ_ð	ˈeːe̯	1.0
ˈɛ_n	n	1.0
ˈu_#>	#>	1.0
ˈi_ɚ	ɐ	1.0
ʧ	k	1.0
ʤ	ɣ̊	1.0
ʃ	s_k	1.0
ɾ	-	1.0
ɪ	-	1.0
ɡ	ɡ	1.0
ə	-	1.0
ŋ	ŋ	1.0
v_#>	f_#>	1.0
t	t	1.0
s_#>	z̥_#>	1.0
pʰ	p	1.0
p	p	1.0
oʊ̯	-	1.0
m	m	1.0
l	l	1.0
j	j	1.0
i	ɐ_ɣ̊	1.0
h	h	1.0
f	f	1.0
d_ˈɛ	d_ˈoː	1.0
b	b	1.0
<#_ˈʌ	<#_ˈʊ	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#	<#_k	1.0
ɫ	l	0.923
ɚ	ɐ	0.917
n	n	0.897
w	v	0.857
ʔ	t	0.786
kʰ	k	0.778
f_#>	v̥_#>	0.714
ˈu	-	0.7
θ	d	0.667
ˈʊ	-	0.667
ˈi_#>	ˈɛːɪ̯_#>	0.667
#>	ɣ̊_#>	0.615
ð	d	0.6
v	v	0.6
ɹ	r	0.595
s	s	0.561
d	d̥	0.52
z	z̥	0.5
z	-	0.5
k	k	0.5
ˈɪ	ˈɪ	0.464
ˈeɪ̯	ˈɒː	0.462
ˈaʊ̯	ˈuː	0.462
s	z	0.439
ˈɔ	ˈoː	0.4
ð	-	0.4
v	v_n	0.4
ˈaʊ̯	-	0.385
ˈɑ	-	0.375
ˈoʊ̯	ˈæɪ̯	0.368
ɹ	ɐ	0.357
θ	d̥	0.333
ˈʌɪ̯	ˈiː	0.333
ˈʌ	-	0.333
ˈʊ	ˈʊ	0.333
ˈi_#>	ˈiː_#>	0.333
ˈoʊ̯	-	0.316
ˈɑ	ˈɔ	0.312
k	k_n	0.312
ˈeɪ̯	-	0.308
ˈæ	ˈɑː	0.3
ˈæ	ˈɑ	0.3
ˈu	ˈɑʊ̯	0.3
ˈaɪ̯	ˈiː	0.3
f_#>	#>	0.286
d	d	0.28
ˈaɪ̯	ˈɪ	0.25
ˈeɪ̯	ˈɑ	0.231
#>	ˈɛːɪ̯_#>	0.231
ˈʌɪ̯	χ	0.222
ˈʌɪ̯	ˈɪ_χ	0.222
ˈʌɪ̯	ˈɑ_χ	0.222
ˈʌ	ˈœ	0.222
ˈi	-	0.222
kʰ	k_ˈøː	0.222
ʔ	t_n	0.214
ˈoʊ̯	ˈɔ	0.211
ˈɔ	ˈɑː	0.2
ˈɔ	ˈøː	0.2
ˈɔ	-	0.2
ˈæ	ˈɛ	0.2
ˈæ	ˈɑ_l	0.2
ˈaɪ̯	-	0.2
ˈɛ	-	0.19
ˈɑ	ˈɑː	0.188
k	-	0.188
ˈi	ˈæɪ̯	0.185
ˈʌ	ˈʊ	0.167
ˈʌ	ˈɑ	0.167
ˈaʊ̯	ˈɑʊ̯	0.154
#>	d̥_#>	0.154
ˈaɪ̯	n	0.15
ˈi	ˈɒː	0.148
ˈi	ˈoː	0.148
ˈɛ	ˈoː	0.143
w	w	0.143
d	-	0.14
ˈɑ	ˈɒː	0.125
ˈʌ	ˈoː	0.111
ˈi	ˈœy̯	0.111
ˈi	ˈøː	0.111
ˈɪ	ˈʏə̯	0.107
ˈɪ	ˈʏ	0.107
ˈɪ	ˈɛ	0.107
ˈɪ	ˈeː	0.107
ˈɪ	-	0.107
ˈoʊ̯	ˈøːø̯	0.105
n	nː	0.103
ˈaɪ̯	ˈuː	0.1
ˈɛ	ˈʏ	0.095
ˈɛ	ˈɪ	0.095
ˈɛ	ˈɛ	0.095
ˈɛ	ˈɔː	0.095
ˈɛ	ˈɒː	0.095
ˈɛ	ˈɑ	0.095
ˈɛ	ˈæɪ̯	0.095
ɚ	-	0.083
ɫ	ɡ_l	0.077
ˈi	ˈɑʊ̯	0.074
d	d_n	0.06
