Occitan	Megleno-Romanian	probability
<#	j	1.0
<#_a	<#	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_r	<#	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_w	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈy	<#_ˈu	1.0
a	-	1.0
j_ɾ	t	1.0
k	k	1.0
k_#>	k_#>	1.0
l_ˈa	ʎ_ˈe	1.0
m	m	1.0
n	n	1.0
p_#>	p_#>	1.0
r	r	1.0
s_p	s_p	1.0
u	u	1.0
w_#>	w_ə_#>	1.0
ɥ_ˈɔ	ˈo	1.0
ɥ_ˈɛ	o̯ˈa	1.0
ɾ	r	1.0
ʎ	ʎ	1.0
ʧ	p_t	1.0
ˈa_#>	ˈɔ_j_n_i	1.0
ˈe_#>	ˈi_n	1.0
ˈi	ˈi	1.0
ˈy	ˈu	1.0
ˈɛ_r	ˈa_r	1.0
β	b	1.0
#>	n_#>	0.111
l	ʎ	0.231
l	l	0.231
l	-	0.231
ɔ_#>	ə_#>	0.871
ˈu	ˈu_k	0.1
ˈu	o̯ˈa_r	0.1
e	-	0.222
l_#>	u_#>	0.182
ˈu	ˈo	0.2
ˈɔ	w_ˈo	0.2
<#_p	<#	0.3
<#_s	<#	0.3
<#_t	<#	0.333
s_#>	j_#>	0.333
t	t	0.833
ˈe	ˈi	0.143
ˈɔ	o̯ˈa	0.3
<#_f	<#	0.4
<#_ʤ	<#_ʒ	0.4
e_#>	u_#>	0.4
l_#>	ʎ_u	0.364
w	w_#>	0.4
ˈa	ˈɔ	0.24
#>	ə_#>	0.25
l_#>	l_#>	0.455
n_#>	n_#>	0.5
n_#>	n_t	0.5
s	s	0.5
s	ʦ	0.5
ŋ	n	0.5
ŋ	ŋ	0.5
ˈɔ	ˈo	0.5
ˈɛ	e̯ˈa	0.125
ˈɛ	k_ʎ	0.125
ˈɛ	ˈo	0.125
ˈɛ	ˈi	0.25
ˈɛ	ˈe	0.375
<#_f	<#_f	0.6
<#_ʤ	<#_z	0.6
e_#>	#>	0.6
w	l	0.6
ˈa	ˈa	0.76
ˈu	ˈu	0.6
<#_p	<#_p	0.7
<#_s	<#_s	0.7
<#_t	<#_t	0.667
s_#>	s_#>	0.667
t	d	0.167
e	i	0.778
l	r	0.308
#>	i_#>	0.639
ɔ_#>	#>	0.129
ˈe	e̯ˈa	0.429
ˈe	ˈe	0.429
