Scots	Scots	probability
θ_#>	#>	1.0
ˈʌu̯	-	1.0
ˈɪ_ð	ˈuː	1.0
ˈɪ_ç	ˈɛ	1.0
ˈɛː	ˈæɪ̯	1.0
ˈɔɪ̯	ʋ	1.0
ˈøː	ˈuː	1.0
ˈø_d	ˈuː	1.0
ˈuː_#>	#>	1.0
ˈoː	-	1.0
ˈiː_r	ɾ	1.0
ˈi_n	ˈœ_nː	1.0
ˈeː_#>	ˈoː_#>	1.0
ˈe_d	ˈøː	1.0
ˈaːɪ̯	ˈɛ	1.0
ˈaː	ˈæ	1.0
ʧ	-	1.0
ʤ	ɡː	1.0
ʍ	ʋ	1.0
ɪ	i	1.0
ə_r	ɾ	1.0
ç	-	1.0
z	s_ə	1.0
x	-	1.0
w_ˈa	ʋ	1.0
v	-	1.0
tʰ	tʰ	1.0
s_#>	s_#>	1.0
r_ˈiː	ɾ_ˈœ	1.0
r_t	ʈː	1.0
r_n	ɳ	1.0
pʰ	pʰ	1.0
n_d	nː	1.0
l_d	lː	1.0
kʰ	kʰ	1.0
i	-	1.0
f_ˈo	f	1.0
f_#>	ʋ_#>	1.0
f	f	1.0
e	ɪ_ŋ	1.0
d_#>	#>	1.0
b	b	1.0
<#_ˈiː	<#_ˈøː	1.0
<#_w	<#	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#	<#_j	1.0
p	p	0.889
l	l	0.885
w	ʋ	0.882
h	h	0.87
s	s	0.865
θ	tʰ	0.833
d	d	0.826
<#_l	<#_l	0.818
ŋ	ŋː	0.8
r	ɾ	0.78
m	m	0.727
j	-	0.714
ə	ə	0.684
ˈəi̯	ˈiː	0.667
ˈuː	ˈʉː	0.667
ˈo	ˈuː	0.667
ˈa	ˈɑ	0.636
t	t	0.625
k	k	0.625
ˈɛ	ˈɛ	0.6
n	n	0.6
ɡ	ɡ	0.583
ˈʌ	ˈʉ	0.545
ˈɑː	ˈɑ	0.5
ˈeː	ˈɑː	0.5
ʃ	ʂ	0.5
ʃ	s_k	0.5
ð	ˈæː	0.5
ð	-	0.5
ˈu	ˈʉː	0.467
ˈiː	ˈyː	0.455
ˈø	ˈuː	0.444
ˈe	ˈæɪ̯	0.438
ˈɛ	-	0.4
ˈiː	ˈeː	0.364
ˈa	-	0.364
ˈɪ	ˈɪ	0.361
ˈi	ˈøː	0.35
ˈɑː	-	0.333
ˈø	-	0.333
ˈuː	ˈʉ_lː	0.333
ˈo	ˈʉː	0.333
j	ɡ	0.286
ˈʌ	ˈɔ	0.273
m	mː	0.273
ˈu	ˈʉ	0.267
ˈu	-	0.267
n	nː	0.267
ˈi	-	0.25
ˈeː	ˈɑ	0.25
ˈeː	-	0.25
ˈe	ˈɑː	0.25
ɡ	-	0.25
t	tː	0.25
ˈø	ˈoː	0.222
ŋ	kː	0.2
ˈe	ˈɛ	0.188
k	ə	0.188
k	-	0.188
ˈʌ	-	0.182
ˈiː	ˈøː	0.182
<#_l	<#	0.182
d	ə	0.174
θ	nː	0.167
ˈəi̯	ˈʉː	0.167
ˈəi̯	-	0.167
ˈɑː	ˈɑ_l	0.167
ɡ	j	0.167
ə	ɾ	0.158
ə	-	0.158
ˈi	ˈyː	0.15
ˈɪ	ˈœ	0.139
ˈɪ	-	0.139
h	j	0.13
ˈe	ˈeː	0.125
w	-	0.118
l	lː	0.115
ˈɪ	ˈʏ	0.111
ˈɪ	ˈiː	0.111
p	pː	0.111
ˈi	ˈɛ	0.1
ˈi	ˈoː	0.1
ˈɪ	ˈuː	0.083
s	ʂ	0.081
r	ə	0.08
r	-	0.08
t	-	0.075
n	nː_ə	0.067
n	-	0.067
r	ɾ_ə	0.06
ˈɪ	ˈɛ	0.056
s	sː	0.054
