Romansch	Romansch	probability
ˈɛ_n	ˈɛ̃	1.0
ˈɔ_n	ˈɑ̃	1.0
ˈɔ_m	ˈɑ̃	1.0
ˈuː_r	ˈy	1.0
ˈuɔ̯	-	1.0
ˈu_n	ˈɔ̃	1.0
ˈo	w	1.0
ˈiː_n	ˈe_n	1.0
ˈi_n	ˈĩ	1.0
ˈe	-	1.0
ˈa_j	ˈɛː	1.0
ʥ	-	1.0
ʃ_#>	#>	1.0
ə_s	ɑː	1.0
ə_r	ʁ_o	1.0
ə_n	ɑ̃	1.0
z	-	1.0
w_#>	#>	1.0
v_ə	ə	1.0
t_#>	#>	1.0
t	t	1.0
s_ˈa	s	1.0
s_t	t	1.0
s_#>	#>	1.0
r_ə	ʁ_a	1.0
r_#>	#>	1.0
p_#>	#>	1.0
p	p	1.0
o	-	1.0
j_ˈɛ	w	1.0
j_ˈa	ˈe	1.0
j_n	ˈɛ̃	1.0
i_ʃ	y	1.0
i	-	1.0
f	f	1.0
b	b	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ʃ	<#_ð	1.0
<#_ə	<#_a	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#	<#_ʃ	1.0
#>	a_#>	1.0
v	v	0.929
m	m	0.864
ʨ	ʃ	0.857
ɡ	ɡ	0.846
<#_l	<#_l	0.846
k	k	0.842
ʎ	ʎ	0.833
s	s	0.826
ʨ_#>	#>	0.818
l_#>	l_#>	0.818
r	ʁ	0.722
ˈi	ˈi	0.714
l	l	0.708
ʧ	s	0.667
ʦ	-	0.667
ɲ	ɲ	0.667
ŋ	-	0.667
j	-	0.667
e	-	0.667
d	d	0.652
w_n	ˈɑ̃	0.6
ˈɔ	-	0.571
ˈuː	-	0.571
ˈeː	-	0.571
f_#>	f_#>	0.571
ˈiː	ˈi	0.529
ˈɛː	ˈe_l	0.5
ˈiə̯	ˈɛ	0.5
ˈiə̯	-	0.5
ə	a	0.48
ˈaː	ˈa	0.462
ˈɔ	ˈoː	0.429
ˈuː	ˈɔ	0.429
ˈeː	ˈi	0.429
f_#>	#>	0.429
<#_ˈa	<#	0.429
ˈɔː	ˈoː	0.4
w_n	n	0.4
u	o	0.4
w	ˈe	0.375
n	n	0.364
ʃ	e	0.357
d	-	0.348
ˈa	ˈa	0.333
ʦ	ʦ	0.333
ɲ	n	0.333
ŋ	ˈɑ̃	0.333
j	ð	0.333
e	ɛ	0.333
n	-	0.318
w	-	0.312
ˈɔː	ˈu	0.3
ˈɔː	-	0.3
u	ɔ	0.3
u	-	0.3
ˈiː	-	0.294
ə	ə	0.293
ˈi	-	0.286
<#_ˈa	<#_ˈɑː	0.286
<#_ˈa	<#_ˈoː	0.286
ˈɛ	ˈe	0.278
ˈɛː	ˈɛ	0.25
ˈɛː	l	0.25
ˈu	ˈo	0.25
ˈu	w	0.25
ˈaː	j	0.231
ˈa	-	0.222
ʃ	z	0.214
ˈu	-	0.208
l	-	0.208
ʧ	-	0.2
w	ˈa	0.188
r	ð	0.185
ʨ_#>	t_#>	0.182
l_#>	#>	0.182
ˈiː	ˈe	0.176
ˈɛ	ˈɛ	0.167
ˈɛ	j	0.167
ˈɛ	-	0.167
ʎ	-	0.167
k	-	0.158
ˈaː	ˈɛː	0.154
ˈaː	-	0.154
ɡ	-	0.154
<#_l	<#	0.154
ʨ	k	0.143
ʃ	ˈe_ʃ	0.143
ʃ	ʃ	0.143
ʃ	-	0.143
n	ˈɛ̃	0.136
m	-	0.136
ʧ	z	0.133
ˈu	ˈɔ̃	0.125
w	ˈe_v	0.125
ˈɛ	ˈɛ̃	0.111
ˈɛ	w	0.111
ˈa	w	0.111
ə	-	0.107
n	ˈɑ̃	0.091
n	ˈĩ	0.091
s	ʃ	0.087
s	-	0.087
ˈu	ˈø	0.083
ˈu	ˈu	0.083
ˈa	ˈɛː	0.083
ˈa	ˈɑː	0.083
ˈa	ˈe	0.083
ˈa	ˈaː	0.083
l	j	0.083
v	b	0.071
r	ə	0.056
ə	ˈe	0.053
