Bokmål Norwegian	Yiddish	probability
b	b	1.0
f	f	1.0
mː	m	1.0
pʰ	f	1.0
pː	f	1.0
sː	z	1.0
ŋː	ŋ	1.0
ɪ	ɪ	1.0
ɳ	ʀ	1.0
ʈː	ʦ	1.0
ˈœʏ̯	ˈɔɪ̯	1.0
d	-	0.061
h	h	0.961
n	n	0.951
p	p	0.351
s	ʃ	0.371
tʰ	ʦ	0.261
ç	d	0.091
ɡː	-	0.131
ɡː	k	0.561
ˈeː	ˈɔɪ̯	0.071
ˈeː	ˈaɪ̯	0.101
ˈøː	-	0.111
ˈœ	ˈɛ	0.051
ˈʉː	ˈɔ	0.081
d	s	0.12
s	s	0.112
tʰ	d	0.502
ˈoː	ˈɛ	0.182
ˈuː	ˈɛɪ̯	0.052
ˈuː	ˈʊ	0.522
ˈyː	ˈɪ	0.422
ˈøː	ˈɔɪ̯	0.632
ˈœ	ˈɪ	0.362
ˈʉ	v_ˈɔ	0.052
ˈʊ	ˈɛ	0.472
j	h	0.293
k	χ	0.753
kʰ	k	0.883
l	l	0.933
t	s	0.603
ŋ	k	0.533
ˈeː	ˈɛ	0.273
ˈiː	ˈɪ	0.273
ˈæɪ̯	ˈɛɪ̯	0.513
ˈɑ	ˈa	0.833
ˈɪ	ˈɪ	0.913
ˈʉː	ˈʊ	0.123
kː	ŋ_k	0.654
lː	ʀ	0.144
ɡ	-	0.154
ʂ	ʃ	0.984
ʈ	t	0.344
ˈeː	ˈɪ	0.234
ˈiː	ˈaɪ̯	0.584
ˈoː	ˈɔ	0.624
ˈæ	ˈa	0.214
ˈɑː	ˈa	0.474
ˈʏ	ˈɪ	0.524
i	ɪ	0.215
i	ə	0.785
k	-	0.15
m	m	0.855
nː	-	0.085
s	z	0.475
ə	ə	0.285
ə	-	0.435
ˈeː	ˈɔ	0.065
ˈoː	ˈɛɪ̯	0.075
ˈæː	ə	0.295
ˈæː	ˈɛ	0.705
ˈɛ	ˈɛ	0.495
ˈʉː	ˈɪ	0.065
j	χ	0.136
j	ɡ	0.166
j	ˈɛ	0.176
kː	k	0.346
lː	l	0.856
nː	n	0.886
t	t	0.36
tː	χ	0.346
ɡ	ɡ	0.846
ɾ	ʀ	0.966
ʈ	ʦ	0.656
ʋ	-	0.176
ʋ	v	0.746
ˈæ	ˈɪ	0.786
ˈœ	-	0.126
ˈœ	ˈɔɪ̯	0.226
ˈɑː	ˈɔ	0.526
ˈɛ	ˈɛɪ̯	0.146
ˈʉ	ˈɔɪ̯	0.096
ˈʉ	ˈɛ	0.136
ˈʉː	ˈɔɪ̯	0.596
kʰ	-	0.117
l	ɡ_l	0.067
m	n	0.087
tː	ʦ	0.237
tː	s	0.417
ŋ	ɪ	0.467
ˈuː	ˈɔ	0.227
ˈæɪ̯	ˈɛ	0.37
ˈœ	ˈɔ	0.067
ˈɑ	ˈɔ	0.167
ˈɛ	ˈa	0.127
ˈɪ	ʀ	0.057
k	k	0.098
m	ɛ_m	0.058
tʰ	t	0.188
ɡː	ɡ	0.308
ˈeː	ˈɛɪ̯	0.148
ˈoː	ˈɪ	0.08
ˈyː	ˈaɪ̯	0.578
ˈæɪ̯	ˈɪ	0.08
ˈøː	ˈɛɪ̯	0.118
ˈɔ	ˈɔɪ̯	0.188
ˈʉː	ˈɛ	0.068
ˈʉː	ˈaɪ̯	0.068
ˈʊ	ˈɔ	0.528
ˈʏ	ˈaɪ̯	0.188
ˈʏ	ˈʊ	0.288
d	t	0.79
j	-	0.229
p	f	0.649
ç	k	0.909
ə	n	0.249
ʋ	f	0.059
ˈeː	ˈa	0.109
ˈiː	ˈɔ	0.059
ˈiː	ˈɛ	0.059
ˈuː	ˈɔɪ̯	0.069
ˈuː	-	0.129
ˈœ	ˈʊ	0.169
ˈɔ	ˈa	0.349
ˈɔ	ˈʊ	0.409
ˈɛ	ˈaɪ̯	0.079
ˈɛ	ˈɪ	0.119
ˈʉ	j	0.089
ˈʉ	ˈʊ	0.59
