American English	Wymysorys	probability
θ	t	1.0
ˈɝ	-	1.0
ˈɛə̯	ˈɑ	1.0
ˈæ	ˈɔ	1.0
ˈi_ɚ	ˈʏ_r	1.0
ˈi_#>	ˈai̯_#>	1.0
ˈaɪ̯_#>	ɟ_a_#>	1.0
ʤ	k	1.0
ʃ	ʃ	1.0
ɾ	s_ɛ	1.0
ɹ_ʔ	ʦ	1.0
ə	-	1.0
ŋ	ŋ	1.0
z	-	1.0
tʰ	ʦ	1.0
t	t	1.0
p_#>	f_#>	1.0
p	f	1.0
kʰ	k	1.0
k_s	k_s	1.0
j	j	1.0
h	h	1.0
d_ɹ	t_r	1.0
b	b	1.0
<#_θ	<#_d	1.0
<#_ɹ	<#_r	1.0
f	f	0.923
w	v	0.913
n	n	0.907
m	m	0.905
l	w	0.889
ɡ	ɡ	0.833
ɹ	r	0.778
ˈɪ	ˈɘ̟	0.714
ˈaʊ̯	ˈɑi̯	0.692
ɫ	w	0.684
ˈʌ	ˈu	0.667
v	n	0.667
ˈʊ	ˈʏ	0.6
ˈɔ	-	0.6
ɚ	r	0.6
ð	d_ɛ	0.6
d	t	0.568
k	x	0.545
ˈʌɪ̯	ˈai̯	0.5
ʧ	ç	0.5
ʧ	k	0.5
#>	a_#>	0.449
ˈɑ	-	0.417
ˈi	ˈi	0.417
s	z	0.417
ˈʊ	-	0.4
ˈɔ	ˈi	0.4
ɚ	ɛ_r	0.4
ð	t_ɛ	0.4
ˈaɪ̯	ˈɘ̟	0.375
ˈoʊ̯	ˈa	0.357
ˈɑ	ˈɑ	0.333
ˈeɪ̯	ˈɑ	0.333
ʔ	s	0.333
v	v_ɛ	0.333
ˈaɪ̯	ˈɑi̯	0.312
ˈaɪ̯	ˈai̯	0.312
ˈu	ˈi	0.3
ˈu	-	0.3
d	d̥	0.297
ˈoʊ̯	ˈei̯	0.286
s	s	0.278
k	k	0.273
ˈʌɪ̯	ˈɑ_x	0.25
ˈʌɪ̯	x	0.25
ˈɑ	ˈɔ	0.25
s	ʃ	0.25
ʔ	s_a	0.238
ˈɛ	ˈɛ	0.235
ˈɛ	ˈu	0.235
ˈɛ	-	0.235
#>	ɡ̊_#>	0.224
ɹ	-	0.222
ˈoʊ̯	ˈɑ	0.214
ɫ	l	0.211
ˈi	-	0.208
ˈu	ˈʏ	0.2
ˈu	n	0.2
ʔ	t	0.19
k	ç	0.182
ˈɛ	ˈɑ	0.176
ˈʌ	ˈʏ	0.167
ˈʌ	-	0.167
ˈi	ˈɑi̯	0.167
ˈeɪ̯	ˈɔ	0.167
ˈeɪ̯	ˈi̯ø	0.167
ˈeɪ̯	ˈa	0.167
ˈeɪ̯	-	0.167
ɡ	-	0.167
#>	n_#>	0.163
ˈaʊ̯	ˈʏ	0.154
ˈaʊ̯	-	0.154
ˈɪ	ˈɑ	0.143
ˈɪ	-	0.143
ˈoʊ̯	ˈu	0.143
ʔ	ʦ	0.143
d	d	0.135
ˈi	ˈɑ	0.125
ˈɛ	ˈɘ̟	0.118
l	w_ˈi	0.111
ɫ	-	0.105
ʔ	x_t	0.095
m	m_ˈø	0.095
n	-	0.093
w	-	0.087
ˈi	ˈø	0.083
#>	ə_#>	0.082
f	b̥	0.077
s	ʃ_v	0.056
