Swiss German	Swiss German	probability
χː_tː	χ	1.0
χː_sː	s	1.0
ˈɒː_#>	ˈɑː_n_#>	1.0
ˈɒ_l	ˈœu̯	1.0
ˈøː	ˈʊə̯	1.0
ˈøi̯	-	1.0
ˈæi̯_#>	ˈɪə̯_n_#>	1.0
ˈyə̯	ˈu	1.0
ˈuː	ˈœɪ̯	1.0
ˈuə̯	ˈu	1.0
ˈoː_tː	ˈoː	1.0
ˈei̯	-	1.0
ˈau̯	ˈʊə̯	1.0
ʦ	t	1.0
ʋ	v	1.0
ʃː	s	1.0
ɣ̊	k	1.0
ɡ̊_#>	#>	1.0
æ	i_n	1.0
z̥	s	1.0
w	ɫ	1.0
v̥_ˈyː	v̥	1.0
v̥	v̥	1.0
r_ɡ̊	r_χ	1.0
r_tː	r_d̥	1.0
r_n	r_ə	1.0
p͡f	p	1.0
pː	-	1.0
n	n	1.0
m	m	1.0
l	ɫ	1.0
j	j	1.0
i	ə	1.0
h	ɦ	1.0
fː_ə	p	1.0
b̥_ə	v_ə	1.0
b̥_#>	v̥_#>	1.0
b̥	b	1.0
<#_ˈɒ	<#_ˈa	1.0
<#_ɡ̊	<#	1.0
<#_tː	<#_d	1.0
<#_r	<#_r	1.0
r	r	0.967
ɡ̊	χ	0.806
sː	t	0.789
ˈi	ˈə	0.773
ə	-	0.764
ˈiː	ˈəɪ̯	0.727
ˈoː	ˈʊə̯	0.7
ŋ	ŋ	0.692
χː	k	0.688
ʒ̊	s	0.684
ˈɒ	ˈa	0.667
ˈiə̯	ˈi	0.667
ˈeː	ˈi	0.667
ˈyː	ˈi	0.636
kː	k	0.636
ˈu	ˈɔ	0.632
ˈe	ˈæ	0.6
fː	p	0.6
ˈɒː	ˈɑː	0.571
ˈø	ˈa	0.5
ˈø	-	0.5
ˈæː	ˈɪə̯	0.5
ˈæː	-	0.5
ˈæi̯	ˈɪə̯	0.5
ˈæi̯	ˈəɪ̯	0.5
ˈo	ˈɔ	0.471
ˈɒː	ˈa	0.429
d̥	d	0.424
ˈe	-	0.4
fː	v̥	0.4
d̥	d̥	0.394
#>	ŋ_#>	0.375
#>	j_#>	0.375
kː	χ	0.364
ˈo	ˈʊə̯	0.353
ˈy	ˈœ	0.333
ˈiə̯	ˈə	0.333
ˈeː	w	0.333
tː	t	0.323
tː	d̥	0.323
ʒ̊	s_k	0.316
χː	χ	0.312
ŋ	n_d̥	0.308
ˈæ	ˈɪə̯	0.3
ˈoː	ˈɑː	0.3
tː	-	0.29
ˈiː	-	0.273
ˈɒ	ˈɑː	0.25
#>	s_#>	0.25
ˈy	ˈɛ	0.222
ˈy	ˈi	0.222
ˈy	-	0.222
ˈu	-	0.211
ə	ə	0.208
ˈæ	ˈɛ	0.2
ˈyː	ˈœɪ̯	0.182
ˈyː	ˈyː	0.182
ˈo	-	0.176
ˈu	ˈœ	0.158
ˈæ	ˈɑː	0.15
ˈæ	ˈa	0.15
ˈi	ˈæ	0.136
ɡ̊	-	0.129
d̥	-	0.121
sː	ˈɪə̯_t	0.105
sː	s	0.105
ˈæ	ˈæː	0.1
ˈæ	ˈæ	0.1
ˈi	-	0.091
ˈɒ	-	0.083
ɡ̊	ŋ	0.065
tː	d	0.065
d̥	d_ə	0.061
