Québécois French	Québécois French	probability
ʦ	t	1.0
ʣ	d	1.0
ʏ	ˈiː	1.0
ʊ	ˈu	1.0
ʁ_w	r_ˈa	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛɪ̯	-	1.0
ɛ_v	w	1.0
ɛ_l	l	1.0
ɛ_#>	ʃ_#>	1.0
ɑ	-	1.0
z	ʃ	1.0
s_a	s_ə	1.0
p	p	1.0
o	ˈɔ_s	1.0
m	m	1.0
i_#>	ʨ_#>	1.0
f	f	1.0
e_#>	#>	1.0
d	d	1.0
ã_#>	n_t_#>	1.0
<#_ʒ	<#	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_ʃ	1.0
<#_a	<#_ə	1.0
l	l	0.92
n	n	0.895
v	v	0.889
b	b	0.875
k	k	0.792
ʁ	r	0.775
t	t	0.765
y	-	0.714
<#	<#_ˈa	0.714
#>	ə_#>	0.609
s	s	0.605
ɥ	ˈo	0.6
aœ̯	-	0.6
ʒ	ʥ	0.571
i	ˈiː	0.562
e	ˈaː_r	0.562
ɑɔ̯	ˈɔː	0.556
ʃ	ʨ	0.524
ɛ	j	0.522
a	ə	0.5
w	ˈa	0.476
œ	ə	0.438
ʒ	ʃ	0.429
ɒ̃ʊ̯̃	ˈu_n	0.417
ɥ	-	0.4
aœ̯	ˈuː	0.4
j	ʎ	0.389
ɪ	ˈiː	0.385
ɪ	ˈi	0.385
ɔ	o	0.375
æɛ̯	ˈa	0.344
øʏ̯	w	0.333
oʊ̯	ˈɛː	0.333
ẽɪ̯̃	n	0.333
ʃ	ʨ_ˈa	0.286
y	ˈi	0.286
u	u	0.286
a	ˈaː	0.286
<#	<#_l	0.286
ẽɪ̯̃	ˈi_n	0.278
ɛ	ˈe	0.261
ɔ	ˈuː	0.25
ɔ	u	0.25
ɒ̃ʊ̯̃	ˈu	0.25
œ	ˈɔ	0.25
oʊ̯	ˈɛ_l	0.25
oʊ̯	w	0.25
w	ˈu	0.238
s	ʧ	0.237
t	-	0.235
ã	ˈɛ	0.235
ɪ	-	0.231
ɑɔ̯	u	0.222
ɑɔ̯	-	0.222
øʏ̯	ˈɛ_w	0.222
øʏ̯	ʎ	0.222
øʏ̯	-	0.222
j	ˈɛ	0.222
ẽɪ̯̃	w_n	0.222
a	ˈa	0.214
k	ʨ	0.208
ʃ	ʨ_ə	0.19
œ	-	0.188
i	ˈɛ	0.188
e	r	0.188
ã	ˈɛ_n	0.176
ã	n	0.176
ã	-	0.176
ɒ̃ʊ̯̃	ˈu_ŋ	0.167
ɒ̃ʊ̯̃	-	0.167
oʊ̯	ˈɔː	0.167
j	j_ˈɛ	0.167
ẽɪ̯̃	ɲ	0.167
æɛ̯	ˈaː	0.156
æɛ̯	-	0.156
w	ˈeː	0.143
w	-	0.143
u	ˈu_ʎ	0.143
u	ˈu_s	0.143
u	ˈu	0.143
u	d_ə	0.143
u	-	0.143
ɛ	-	0.13
ʁ	ə_r	0.127
ɔ	ˈuɔ̯	0.125
œ	ˈe	0.125
i	ˈi	0.125
i	-	0.125
e	ˈaː	0.125
e	-	0.125
b	v	0.125
ã	ˈɔ	0.118
ã	ˈa_ŋ	0.118
v	-	0.111
j	j	0.111
j	-	0.111
s	-	0.105
n	-	0.105
æɛ̯	ˈɛː	0.094
æɛ̯	ˈa_w	0.094
æɛ̯	e	0.094
ɛ	w	0.087
#>	ʨ_#>	0.087
l	l_ˈa	0.08
#>	s_#>	0.076
æɛ̯	ˈeː	0.062
#>	n_t_#>	0.054
s	s_ˈa	0.053
