Occitan	Walloon	probability
#>	ˈẽ_#>	1.0
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_ʀ	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_ˈuː	1.0
<#_ʤ	<#_ʤ	1.0
<#_ˈa	<#_ˈɔː	1.0
<#_ˈa_n	<#_ˈɑ̃	1.0
<#_ˈy	<#_ˈɔ̃	1.0
a_s	ɛ_s	1.0
a_β	f	1.0
b	-	1.0
d	-	1.0
j	-	1.0
j_#>	ˈɛ_#>	1.0
j_ˈɛ	ˈiː	1.0
k_#>	#>	1.0
l_ɔ_#>	l_#>	1.0
n_#>	ˈɛ̃_#>	1.0
p	p	1.0
r_t	ˈa_ʀ	1.0
s_t	s_t	1.0
t_#>	ˈɛ_#>	1.0
t_ɾ_e	t_#>	1.0
w	-	1.0
w_ɾ	ʀ	1.0
z_ˈi	ʒ_ˈẽ	1.0
ŋ	-	1.0
ŋ_k	k	1.0
ɡ	k	1.0
ɥ	-	1.0
ɥ_ˈɔ_w	ˈuː	1.0
ɲ	ɲ	1.0
ɲ_#>	ɲ_#>	1.0
ʎ	j	1.0
ʤ_e	ʧ_#>	1.0
ʧ_#>	ˈy	1.0
ˈa_j	ˈɛ	1.0
ˈa_j_ɾ	ˈe	1.0
ˈa_l	ˈɔː	1.0
ˈa_n	ˈɑ̃	1.0
ˈa_w	ˈoː	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈa_ʦ	ˈɔː	1.0
ˈe_#>	ˈøː_ʀ	1.0
ˈe_j_s	ʃ	1.0
ˈe_k	ˈɛ_ʧ	1.0
ˈi_l	ˈɛ_j	1.0
ˈi_l_#>	ˈi	1.0
ˈu_n	ˈɔ̃	1.0
ˈu_ʦ	w_ˈɛ	1.0
ˈy_#>	ˈøː_ʀ	1.0
ˈɔ_r	w_ˈa	1.0
ˈɔ_w	ˈuː	1.0
ˈɛ_j	ˈiː	1.0
ˈɛ_n	ˈɛ̃	1.0
ˈɛ_s	j_ˈɛ	1.0
ˈɛ_ʦ	ˈi	1.0
<#_k	<#_ʧ	0.421
l_#>	#>	0.421
ˈa_#>	ˈɑ̃	0.111
ˈu	ˈɔ_#>	0.091
ˈu	ˈu	0.182
a	ɔː	0.133
m	ˈɛ̃	0.133
m	-	0.333
m	m	0.533
r	-	0.143
u	-	0.143
ð	-	0.333
ɔ_#>	#>	0.873
ˈe	w_ˈɛ	0.143
ˈi	ˈi_#>	0.133
ˈi	-	0.133
ˈi	ˈiː	0.333
ˈi_#>	ˈẽ_#>	0.333
ˈu	ˈuː	0.273
ˈɔ	-	0.143
ˈɔ	ˈøː	0.143
ˈɔ	ˈuː	0.143
ˈɛ	ˈiː	0.13
<#_e	<#_ɛ	0.4
a	-	0.4
e	i	0.214
e_#>	p_#>	0.074
i	i	0.4
l	-	0.154
n	n	0.824
t	t	0.474
ɾ	-	0.184
ˈa	ˈɔ̃	0.054
ˈa	ˈiː	0.054
ˈa	ˈɛ̃	0.054
ˈa	ˈɛ	0.054
ˈa	w	0.054
ˈa	-	0.324
ˈi	ˈɛ	0.4
ˈɔ	w	0.214
k	ʃ	0.5
k	ʧ	0.5
s	s	0.625
s_#>	ˈɛ_#>	0.125
s_#>	#>	0.875
z	z	0.5
z	-	0.5
ɔ_#>	j_#>	0.085
ɣ	-	0.5
ɣ	ɡ	0.5
ʧ	-	0.5
ʧ	t	0.5
ˈe	j	0.095
ˈe	-	0.095
ˈu_#>	ˈøː_ʀ	0.375
ˈu_#>	ˈɔ̃	0.625
ˈy	ˈy	0.25
ˈy	ˈu	0.25
ˈy	-	0.25
ˈy	ˈɛ	0.25
β	-	0.25
β	v	0.375
β	f	0.375
<#_e	<#	0.6
e_#>	#>	0.926
i	-	0.6
l	l	0.846
n	-	0.176
t	-	0.526
ɾ	ʀ	0.816
ˈa_#>	ˈe_#>	0.556
ˈe	w	0.476
ˈu	ˈøː	0.136
a	a	0.467
e	ɛ	0.357
r	ʀ	0.857
u	ɔ	0.857
ð	j	0.667
ˈa	ˈa	0.297
ˈa_#>	ˈiː_#>	0.167
ˈa_#>	ˈɛ̃	0.167
ˈi_#>	ˈi_#>	0.667
ˈɔ	ˈɔ	0.357
ˈɛ	j_ˈɛ	0.087
ˈɛ	ˈɛ	0.087
ˈɛ	-	0.217
s	-	0.188
s	ʃ	0.188
ˈa	ˈe	0.108
ˈu	ˈɔ	0.318
ˈɛ	j	0.478
<#_k	<#_k	0.579
e	-	0.429
l_#>	ˈa_#>	0.579
ˈe	ˈɛ	0.19
