Yiddish	Old West Norse	probability
χ_t	tː	1.0
ˈʊ_t	ˈoː_ð	1.0
ˈʊ_n	ˈu_n	1.0
ˈɪ_ʀ	ˈeː_r̥	1.0
ˈɛ_n	u	1.0
ˈɔɪ̯_f	pː	1.0
ˈɔ_ɡ	ʝː	1.0
ʧ	c	1.0
ʃ_t	s_t	1.0
ʀ_ˈɪ	r_ˈy	1.0
ɪ	-	1.0
ɡ_ə	ɡ	1.0
ɛ_m	m_r̥	1.0
ɛ	-	1.0
ə_ʀ	r̥ː	1.0
ə_n	ɑ	1.0
ə_m	m_r̥	1.0
ŋ_k	kː	1.0
ŋ	ŋ	1.0
z_ˈɔɪ̯	s_ˈuː	1.0
s_n	t_ɑ	1.0
n_ə	nː	1.0
f_n	p_ɑ	1.0
b_n	v_ɑ	1.0
a	ɑ	1.0
v	v	0.916
ʀ	r	0.875
h	h	0.856
z	s	0.843
ˈɛɪ̯	ˈɛi̯	0.834
m	m	0.826
ɫ	l	0.804
b	b	0.735
s	t	0.731
χ	k	0.702
f	f	0.678
ˈa	ˈɑ	0.63
ˈaɪ̯	ˈiː	0.594
t	ð	0.592
d	θ	0.502
ə	i	0.449
ʦ	tʰ	0.442
n	n	0.442
ˈʊ	ˈu	0.4
k	kʰ	0.395
ʃ	s	0.387
ˈɪ	ˈi	0.383
ɡ	ɣ	0.381
ʃ	s_k	0.374
ə	-	0.344
ʦ	t	0.331
k	-	0.313
ˈɛ	ˈe	0.309
ɡ	ɡ	0.283
ˈɔɪ̯	ˈuː	0.278
ˈɔɪ̯	ˈɑu̯	0.269
s	s	0.269
ˈʊ	ˈo	0.268
b	v	0.265
ˈʊ	ˈoː	0.256
ˈɛ	-	0.255
ˈaɪ̯	-	0.246
ʃ	s_c	0.239
ˈɔ	ˈɑː	0.237
ʦ	tː	0.227
ˈɔ	ˈɑ	0.225
ˈɔ	ˈo	0.223
d	d	0.218
ɡ	ɟ	0.215
ˈɪ	j	0.213
χ	ˈeː	0.21
n	ɑ	0.206
f	p	0.195
ɫ	lː	0.184
t	d	0.175
m	-	0.174
n	nː	0.168
ˈɛɪ̯	-	0.166
ˈaɪ̯	ˈyː	0.16
z	sː	0.157
d	ð	0.154
k	kː	0.152
ˈɔɪ̯	ˈøy̯	0.15
ˈɔɪ̯	-	0.15
t	t	0.149
h	ç	0.144
ˈɛ	ˈɛ	0.14
ˈɔ	ˈu	0.137
ˈɛ	j_ˈɔ	0.132
f	v	0.128
d	-	0.126
ʀ	r̥	0.121
ɡ	-	0.121
ə	r̥	0.116
ˈɔ	-	0.113
ˈa	ˈɑː	0.113
ˈɪ	ˈøː	0.109
ˈa	ˈa	0.108
k	cː	0.098
ˈɪ	ˈe	0.093
ə	ɑ	0.091
ˈa	ˈɔ	0.09
n	-	0.089
χ	r̥	0.088
ˈɛ	ˈu	0.084
v	x_w	0.084
ˈɛ	j_ˈɑ	0.079
ˈɪ	ˈy	0.078
ˈɔɪ̯	ˈo	0.078
ˈʊ	ˈɔː	0.077
ˈɔɪ̯	ˈɒu̯	0.076
ˈɪ	-	0.073
ˈɔ	ˈy	0.065
ˈa	ˈɛ	0.059
ˈɪ	ˈu	0.053
n	a	0.053
