Icelandic	Icelandic	probability
θ	d	1.0
ˈʏː	-	1.0
ˈɛi̯	ˈɪə̯	1.0
ˈɔu̯	-	1.0
ˈɑu̯	ˈa	1.0
ˈœː	ˈɪə̯	1.0
ˈuː_a	χ	1.0
ˈuː	ˈœɪ̯	1.0
ˈu	ˈɔ	1.0
ˈoːu̯_r̥	w	1.0
ˈou̯	-	1.0
ˈi	ˈə	1.0
ˈau̯	-	1.0
ˈai̯	-	1.0
ʰt͡n̥	t_ə	1.0
ʰp	p	1.0
ʰc	k	1.0
ʏ_r̥_#>	#>	1.0
ʏ_r̥	d̥	1.0
ɲ	-	1.0
ɪ	-	1.0
ɣ	χ	1.0
ɡ̊ː	-	1.0
ɡ̊_ʏ	ə	1.0
ɟ̊	χ	1.0
ɛ	-	1.0
ɑu̯	ə	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ	ŋ	1.0
ç	ɦ	1.0
x	-	1.0
v_ʏ	v̥	1.0
v_a	v̥	1.0
t͡l̥	ɫ	1.0
sː	-	1.0
s_k	s	1.0
s_j	s	1.0
s_c	s	1.0
s	s	1.0
r̥_#>	#>	1.0
r̥	r	1.0
pʰ	p	1.0
n̥	n	1.0
nː	n	1.0
m	m	1.0
l̥	ɫ	1.0
k	k	1.0
j_ˈuː	ˈi	1.0
j_ˈoːu̯	ˈi	1.0
h	ɦ	1.0
f	v̥	1.0
cʰ	k	1.0
c	k	1.0
b̥	b	1.0
aːu̯	i	1.0
a_r̥	ə_r	1.0
a_#>	#>	1.0
a	χ	1.0
<#_ɡ̊	<#_χ	1.0
<#_tʰ	<#_t	1.0
<#_r̥	<#_r	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#	<#_v	1.0
l	ɫ	0.917
t	t	0.897
r	r	0.889
n	n	0.88
ˈœːy̯	ˈʊə̯	0.875
p	p	0.778
v	v	0.759
ˈoːu̯	ˈu	0.727
ˈɑːu̯	ˈɑː	0.714
ˈʏ	ˈɔ	0.692
d̥	d	0.63
ɪ_r̥	ə_r	0.625
ˈɛːi̯	ˈʊə̯	0.6
ʏ	ə	0.6
<#_kʰ	<#_k	0.583
ˈɪː	ˈɪə̯	0.571
ˈaːi̯	ˈu	0.571
ɡ̊	-	0.571
ˈɔ	ˈʊə̯	0.556
ˈa	ˈa	0.55
ˈaː	ˈa	0.545
ˈiː	ˈəɪ̯	0.529
ˈɛ	-	0.5
ˈɔː	ˈɪø̯	0.5
ˈɔː	ˈɑː	0.5
ˈœ	ˈa	0.5
ˈœ	-	0.5
ˈaːu̯	ˈʊə̯	0.5
ˈaːu̯	-	0.5
ʰk	ŋ_k	0.5
ʰk	k	0.5
ð	d̥	0.5
j	-	0.474
ˈɪ	ˈə	0.467
ˈaː	ˈɑː	0.455
ˈɔ	ˈɔ	0.444
ˈɪː	ˈə	0.429
ˈaːi̯	-	0.429
ʰt	χ	0.429
ɡ̊	χ	0.429
<#_kʰ	<#	0.417
ˈɛːi̯	ˈəɪ̯	0.4
t͡n̥	ə_ŋ	0.4
t͡n̥	n	0.4
ɪ_r̥	r	0.375
d̥	d̥	0.37
#>	n_#>	0.364
j	ˈi	0.316
ˈʏ	-	0.308
ˈɛː	ˈɪə̯	0.3
ˈɛː	-	0.3
ˈiː	-	0.294
ˈɑːu̯	-	0.286
ʰt	χ_t	0.286
ʰt	t	0.286
ˈoːu̯	-	0.273
#>	s_#>	0.273
ˈɪ	ˈœ	0.267
ˈɪ	-	0.267
ˈɛ	ˈa	0.25
p	-	0.222
j	ˈɪə̯	0.211
ˈɛː	ˈæ	0.2
ˈɛː	ˈi	0.2
ˈa	-	0.2
ʏ	χ	0.2
ʏ	n	0.2
ð	-	0.2
t͡n̥	-	0.2
#>	t_#>	0.182
#>	d̥_#>	0.182
ˈiː	ˈi	0.176
ˈa	ˈɑː	0.15
v	v̥	0.138
ˈɛ	ˈɛ	0.125
ˈɛ	ˈæ	0.125
ˈœːy̯	ˈoː	0.125
n	-	0.12
r	-	0.111
v	-	0.103
t	-	0.103
ˈa	ˈæː	0.1
ð	r	0.1
l	-	0.083
ð	j	0.067
ð	d_ə	0.067
ð	d	0.067
