Swiss German	Swiss German	probability
χː_sː	s	1.0
χː_#>	k_#>	1.0
ˈɒ_l	ˈu	1.0
ˈøː	ˈoː	1.0
ˈøi̯	-	1.0
ˈø	-	1.0
ˈæː	-	1.0
ˈyə̯	ˈuə̯	1.0
ˈuə̯	ˈuə̯	1.0
ˈiə̯	ˈiə̯	1.0
ˈei̯	-	1.0
ˈe	-	1.0
ˈau̯	ˈoː	1.0
ʦ	t	1.0
ʋ	ʋ	1.0
ʃː	s	1.0
ɣ̊	k	1.0
ɡ̊_ˈɒ	ɦ_ˈɑ	1.0
ɡ̊_ə	ɦ_n	1.0
ɡ̊_r	ɦ_ɾ	1.0
ə_#>	#>	1.0
æ	iə̯	1.0
w	w	1.0
v̥	v	1.0
tː_ə	t	1.0
tː_r	d_ɾ	1.0
r	ɾ	1.0
p͡f	p	1.0
pː	-	1.0
m	m	1.0
kː_#>	ɦ_ə_#>	1.0
kː	k	1.0
j	j	1.0
i_ɡ̊	ç	1.0
h_ˈu	ˈu	1.0
b̥_ə	v	1.0
b̥_#>	v̥_#>	1.0
<#_ʦ	<#_t	1.0
<#_ɡ̊	<#	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
<#	<#_ɦ	1.0
b̥	b	0.882
sː	t	0.875
n	n	0.84
ˈuː	ˈyː	0.8
ˈoː	ˈoː	0.769
l	l	0.75
i	-	0.75
z̥	z	0.731
ˈɒː	ˈɒː	0.727
ɡ̊	-	0.684
ˈæi̯	ˈɛː	0.667
ŋ	ŋ	0.667
fː	p	0.667
ˈɒ	ˈɑ	0.636
ˈiː	ˈi	0.636
ə	n	0.625
ˈyː	ˈiə̯	0.615
ˈeː	-	0.6
ˈi	ˈɪ	0.588
ə_r	ɾ	0.583
d̥	d	0.571
χː	h	0.533
ʒ̊	s	0.444
d̥	d̥	0.429
ə_r	ə_ɾ	0.417
ˈeː	ˈiə̯	0.4
ˈæ	ˈæ	0.389
ˈyː	-	0.385
ˈu	ˈɔ	0.385
#>	ə_#>	0.385
tː	t	0.375
ˈiː	-	0.364
tː	d	0.35
χː	k	0.333
ˈæi̯	ˈeː	0.333
ˈy	ˈɪ	0.333
ˈy	ˈiə̯	0.333
ˈy	-	0.333
ˈo	ˈɔ	0.333
ˈo	ˈoː	0.333
ˈo	-	0.333
ʒ̊	ʃ_h	0.333
ŋ	n_d̥	0.333
fː	v_ə	0.333
ə	ə	0.312
tː	d̥	0.275
ˈɒː	ˈɑ	0.273
ˈɒ	ˈɒː	0.273
z̥	z̥	0.269
#>	n_#>	0.256
i	ɪ	0.25
ˈu	ˈœ	0.231
ˈu	-	0.231
ˈoː	-	0.231
ˈæ	ˈeː	0.222
ʒ̊	z	0.222
ˈuː	-	0.2
l	w	0.194
ˈi	ˈɛ	0.176
ˈæ	-	0.167
n	n_ə	0.16
ɡ̊	ɦ_ə	0.158
ɡ̊	k	0.158
ˈu	ˈu	0.154
#>	ɦ̥_#>	0.154
χː	ɦ̥	0.133
sː	s	0.125
ˈi	ˈæ	0.118
ˈi	-	0.118
b̥	v	0.118
ˈæ	ˈɛ	0.111
ˈæ	ˈɑ	0.111
ˈɒ	-	0.091
ə	ə_n	0.062
l	ˈu	0.056
#>	ˈɛː_#>	0.051
#>	n_ə_#>	0.051
#>	k_#>	0.051
#>	d̥_#>	0.051
