Proto-Germanic	Middle English	probability
θ_i	d	1.0
ˈɛː_n	ˈoː_n	1.0
ˈɛː	ˈɛː	1.0
ˈɑː	-	1.0
ˈɑi̯_w	ˈɔu̯	1.0
ˈɑi̯	ˈɔː	1.0
ˈɑ_ɣ	ˈæi̯	1.0
ˈɑ_x	ˈi_ç	1.0
ˈɑ_w	ˈɛu̯	1.0
ˈɑ_n	ˈoː	1.0
ˈĩː	ˈiː	1.0
ˈiː_z	ˈeː	1.0
ˈiː	ˈiː	1.0
ˈi_n	ˈiː_n	1.0
ˈi_j	ˈeː	1.0
ˈeː	ˈɛː	1.0
ˈeu̯_ɣ	ˈiː	1.0
ˈe_ɣ	ˈæi̯	1.0
ˈe_xʷ	ˈeː	1.0
ɣ_ɑ	x	1.0
ɣ_j	ʤ	1.0
ɡʷ	ɡ	1.0
ɡ	ɡ	1.0
ɛː	ə	1.0
ɔːː	ə	1.0
ɔːu̯	ə	1.0
ɑː	ə	1.0
ɑi̯	ˈeː_n	1.0
ɑ_ɣ	iː	1.0
ɑ_n	n	1.0
ɑ_l	l	1.0
ð	d	1.0
z	-	1.0
x_s	k_s	1.0
w_ɑ	ɔu̯	1.0
tː	t	1.0
t	t	1.0
sː	r_s	1.0
s_ɔːː	r_ə	1.0
s_k	ʃ	1.0
r_ɑ	ə_r	1.0
r_ð	r_d	1.0
r_u	ə_r	1.0
r_t	r_t	1.0
r_n	r_n	1.0
pː	-	1.0
p	p	1.0
nː	n	1.0
mː	m	1.0
lː	ɫ	1.0
l_ɑ	ɫ	1.0
l_i	ɫ	1.0
kʷ	k	1.0
jː	ˈæi̯	1.0
j_ɑ	ə	1.0
j	-	1.0
iː	-	1.0
e_x	eː	1.0
e	ə	1.0
d	d	1.0
b	b	1.0
n	n	0.955
ɑ	ə	0.954
r	r	0.943
s	s	0.923
m	m	0.92
ˈuː	ˈuː	0.872
ɸ	f	0.86
i	-	0.86
ŋ	ŋ	0.822
w	w	0.79
ˈi	ˈi	0.785
ˈeu̯	ˈeː	0.778
l	l	0.661
k	k	0.641
θ	θ	0.638
ˈɑu̯	ˈɛː	0.612
ɣ	-	0.605
β	v	0.604
x	h	0.597
ˈu_n	ˈi	0.592
u	-	0.591
ˈu	ˈu	0.565
ɔː	ə	0.546
xʷ	ʍ	0.546
ˈiu̯	ˈeː	0.5
ˈiu̯	-	0.5
ˈɔː	ˈoː	0.488
ɔː	-	0.454
xʷ	-	0.454
ˈɑ	ˈa	0.441
ˈe	ˈɛ	0.424
u	ə	0.409
ˈu_n	ˈuː	0.408
β	f	0.396
ɣ	j	0.395
k	ʧ	0.359
ˈɔː	ˈeː	0.344
l	ɫ	0.339
ˈu	ˈɔ	0.278
ˈɑu̯	ˈeː	0.257
θ	ð	0.247
ˈeu̯	-	0.222
w	-	0.21
ˈɑ	ˈaː	0.208
x	ç	0.186
ˈɑ	ˈɛ	0.182
ŋ	n	0.178
ˈɔː	-	0.167
ˈe	-	0.167
ˈɑ	ˈɔː	0.162
ˈe	ˈɛː	0.158
ˈe	ˈi	0.147
x	-	0.146
ɸ	v	0.14
i	ə	0.14
ˈɑu̯	-	0.131
ˈuː	ˈiː	0.128
ˈi	ˈiː	0.116
θ	d	0.115
ˈe	ˈeː	0.104
ˈu	ˈi	0.081
m	-	0.08
s	z	0.077
x	x	0.071
