Yiddish	Yiddish	probability
ˈɔ_ɡ	ˈaɪ̯	1.0
ˈaɪ̯_ə	ˈyː	1.0
ˈaɪ̯_#>	ˈiː_#>	1.0
ʧ	s	1.0
ʀ_#>	#>	1.0
ɫ_t	l	1.0
ɫ_d	lʲ	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ɡ_n	ç	1.0
ɛ	ə	1.0
ə_ʀ	ɐ	1.0
ə_#>	#>	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
z_#>	s_#>	1.0
s_ə	d	1.0
s_t	s_t	1.0
p	-	1.0
n_t	n	1.0
n_d	nʲ	1.0
m	m	1.0
k_#>	ç_#>	1.0
j	j	1.0
h	h	1.0
f_ˈɪ	f	1.0
f_n	p	1.0
d_ə	ɾ	1.0
b_#>	f_#>	1.0
a	-	1.0
<#_ʀ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_d	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
#>	k_#>	1.0
s	t	0.867
n	n	0.861
n_#>	#>	0.839
z	s	0.8
v	v	0.8
b	b	0.789
f	f	0.758
ə	-	0.688
k	k	0.667
ʃ	s	0.577
ɡ	-	0.556
ʦ	tʰ	0.5
ʦ	t	0.5
ʀ	r	0.5
t	t	0.5
χ	k	0.455
ˈaɪ̯	ˈɪ	0.438
t	ɾ	0.438
χ	x	0.409
ʀ	ɐ	0.364
ˈɛ	-	0.357
ˈɪ	ˈɪ	0.35
ˈɔɪ̯	ˈʏ	0.346
ʃ	s_k	0.346
ˈa	ˈa	0.343
k	-	0.333
ˈɛ	ˈɛ	0.321
ə	ə	0.312
ˈɛɪ̯	ˈɛ	0.3
ˈɛɪ̯	ˈeː	0.3
ˈɔ	-	0.3
ˈʊ	ˈʊ	0.286
d	tʰ	0.278
d	-	0.278
ˈɔ	ˈɔː	0.233
ˈɔɪ̯	ˈɔa̯	0.231
ˈɪ	ˈɛ	0.225
ɡ	ɪ_ç	0.222
ɡ	ç	0.222
d	t	0.222
d	d	0.222
ˈʊ	ˈɔ	0.214
ˈɛɪ̯	ˈiː	0.2
ˈɛɪ̯	-	0.2
v	-	0.2
ˈɔɪ̯	ˈoː	0.192
ˈaɪ̯	ˈʏ	0.188
ˈaɪ̯	ˈiː	0.188
ˈaɪ̯	-	0.188
f	p	0.182
ˈʊ	ˈœ	0.179
ˈa	ˈɔː	0.171
n_#>	ə_#>	0.161
ˈɔɪ̯	-	0.154
ˈʊ	ˈʏ	0.143
ˈɛ	ˈiː	0.143
χ	ç	0.136
ˈɔ	ˈuː	0.133
z	ʃ	0.133
s	s	0.133
ˈa	ˈɔa̯	0.114
ˈʊ	-	0.107
ˈɛ	ˈeː	0.107
b	ə_f	0.105
b	-	0.105
ˈɪ	ˈʊ	0.1
ˈɪ	ˈeː	0.1
ˈɪ	-	0.1
ˈɔ	ˈœ	0.1
ˈɔ	ˈiː	0.1
ʀ	ɐ_x	0.091
ˈa	ˈʊ	0.086
ˈa	ˈuː	0.086
ˈa	ˈeː	0.086
n	-	0.083
ˈɔɪ̯	ˈyː	0.077
ʃ	ʃ	0.077
ˈɪ	ˈœ	0.075
ˈʊ	ˈoː	0.071
ˈɛ	ˈɔː	0.071
ˈɔ	ˈʊ	0.067
ˈɔ	ˈɔ	0.067
z	z	0.067
t	-	0.062
f	-	0.061
ˈa	ˈʏ	0.057
ˈa	ˈaː	0.057
n	nʲ	0.056
