Yiddish	Yiddish	probability
ˈɪ_ʀ	ˈeː_ɑ	1.0
ˈɛɪ̯_n	ˈeː	1.0
ˈɛɪ̯	ˈeː	1.0
ˈɔ_ʀ	ˈaː	1.0
ʧ	ʃ	1.0
ʃ	ʃ	1.0
ʀ_d	ɑ_d̥	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ɡ_n	ə	1.0
ɡ_#>	#>	1.0
ə_ʀ	ɑ	1.0
ə_n	ə	1.0
ə_#>	#>	1.0
ə	-	1.0
ŋ	ŋ	1.0
z	s	1.0
v	ʋ	1.0
s_n	s_ə	1.0
p	p	1.0
n_d	n	1.0
m	m	1.0
j	j	1.0
h	h	1.0
f	f	1.0
b_ə	ʋ	1.0
b_n	ʋ_ə	1.0
b_#>	b̥_#>	1.0
b	b	1.0
a	ə	1.0
<#_ʀ	<#_ɾ	1.0
ˈaɪ̯	ˈaɪ̯	0.909
ʦ	ʦ	0.867
k	k	0.821
ˈa	ˈa	0.75
s	s	0.737
ʀ	ɾ	0.7
ˈɪ	ˈɪ	0.69
ˈɛ	ˈɛ	0.645
d	d	0.636
n	n	0.615
ˈʊ	ˈʊ	0.586
χ	ç	0.5
χ	x	0.5
ɛ	ə	0.5
ɛ	-	0.5
ɡ	ɡ	0.481
ˈɔɪ̯	ˈaʊ̯	0.385
t	d	0.375
d	d̥	0.364
t	d̥	0.357
ˈʊ	ˈuː	0.345
ˈɔ	ˈɔː	0.31
ˈɔ	ˈɔ	0.31
n	ə	0.308
ˈɔɪ̯	ˈɔː	0.269
ˈɔɪ̯	ˈoː	0.269
t	t	0.268
s	ʃ	0.263
ˈɪ	ˈiː	0.262
ʀ	ɑ	0.25
ˈɛ	ˈeː	0.194
ɡ	ɡ̊	0.185
ˈɔ	ˈa	0.172
ˈɛ	ˈɛː	0.161
ɡ	ɣ	0.148
ˈɔ	ˈoː	0.138
ʦ	-	0.133
ɡ	-	0.111
k	ç	0.107
ˈaɪ̯	-	0.091
ˈa	-	0.083
ˈɔɪ̯	ˈɔ	0.077
ɡ	j	0.074
k	-	0.071
ˈʊ	-	0.069
ˈɔ	ˈaː	0.069
n	-	0.062
ˈa	ˈɛː	0.056
ˈa	ˈɛ	0.056
ˈa	ˈɔː	0.056
