Romansch	Romansch	probability
ˈɛː	ˈɛ	1.0
ˈɔ_n	ˈɐ̃	1.0
ˈu_n	ˈõ	1.0
ˈo	ˈo_j	1.0
ˈiː_r	ˈu_ɾ	1.0
ˈiː_n	ˈĩ_j̃	1.0
ˈi_n	ˈĩ	1.0
ˈa_j	ˈe	1.0
ʨ_ə	k_a	1.0
ʧ	s	1.0
ʒ	v	1.0
ɲ	j̃	1.0
ə_v	a_b	1.0
ə_n	ɐ̃	1.0
ə_d	a_d	1.0
ə_#>	#>	1.0
z	-	1.0
w_#>	u_#>	1.0
w	w	1.0
s_t	ʃ_t	1.0
s_#>	ʃ_#>	1.0
r_s	s	1.0
r_n	ɦ_n	1.0
p_l	ʃ	1.0
p	p	1.0
o	o	1.0
m	m	1.0
l_ˈaː	ˈa	1.0
l_#>	#>	1.0
k_r	k_ɾ	1.0
k_o	k	1.0
k_l	ʃ	1.0
j_ˈɛ	ˈo_ɡ	1.0
e	-	1.0
<#_ˈɛ	<#_ˈo	1.0
<#_ˈa	<#_ˈo	1.0
<#_ɡ	<#_ɡ	1.0
<#_ə	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_h	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_a	1.0
v	v	0.897
ˈaː	ˈa	0.895
s	s	0.885
ʎ	ʎ	0.857
k	k	0.857
b	b	0.857
d	d	0.808
f	f	0.762
ʨ	k	0.759
#>	u_#>	0.738
ə	ɐ	0.733
ə_r	ˈe_h	0.714
w_n	w̃	0.714
ˈɛ_n	ˈẽ	0.667
ʦ	-	0.667
ˈiə̯	ˈɛ	0.6
u	o	0.6
ˈuː	ˈo	0.545
t	t	0.516
ˈɔː	ˈɔ	0.5
ˈiː	ˈi	0.5
ˈeː	ˈe	0.5
ˈe	ˈe	0.5
ɡ	ɡ	0.5
ɡ	-	0.5
ŋ	ɡ	0.5
ŋ	-	0.5
r	h	0.5
l	l	0.476
ˈɛ	ˈɛ	0.471
ʥ	-	0.444
ˈa	ˈa	0.439
ˈɔ	ˈo	0.429
i	e	0.429
ˈiə̯	-	0.4
l	w	0.381
ˈɛ_n	ˈĩ	0.333
ˈu	ˈo	0.333
ˈi	ˈi	0.333
ʦ	s_u	0.333
ʥ	ʒ	0.333
r	ɾ	0.328
ˈɔː	ˈo	0.3
ˈɛ	ˈe	0.294
ˈɔ	ˈɔ	0.286
ˈɔ	ˈɐ̃	0.286
ˈe	-	0.286
ə_r	ɾ_i	0.286
w_n	ˈɐ̃	0.286
i	u	0.286
i	i	0.286
ˈuː	ˈɔ	0.273
n	-	0.259
ˈi	ˈu	0.25
ˈi	ˈĩ	0.25
ˈeː	ˈi	0.25
ˈeː	-	0.25
ʃ	e_ʃ	0.231
ˈu	ˈõ	0.222
ʥ	ɡ	0.222
n	j̃	0.222
ˈe	ˈẽ	0.214
ˈɔː	-	0.2
u	ˈɔ	0.2
u	-	0.2
ˈa	ˈɐ̃	0.195
ʃ	j_ʃ	0.192
j	ˈe	0.188
j	-	0.188
n	n	0.185
ˈuː	ˈu	0.182
#>	i_#>	0.175
ˈi	ˈũ	0.167
t	d_u	0.161
ʃ	ʒ	0.154
ʃ	ʃ	0.154
ˈu	ˈɔ_j	0.148
n	w̃	0.148
ˈa	-	0.146
ʎ	l	0.143
l	-	0.143
k	ɡ_u	0.143
f	v_i	0.143
b	-	0.143
t	ʧ_i	0.129
t	ʤ_i	0.129
ˈiː	ˈu	0.125
ˈiː	ˈi_ɡ	0.125
ˈiː	e	0.125
ˈiː	-	0.125
j	ˈɛ	0.125
j	ˈẽ	0.125
j	ɡ	0.125
j	j	0.125
j	e	0.125
ˈa	ˈe	0.122
ˈɛ	ˈẽ	0.118
ˈɛ	ˈe_j	0.118
ʃ	z	0.115
s	ʃ	0.115
d	-	0.115
ˈu	ˈɐ̃	0.111
ˈu	ˈu	0.111
n	ˈẽ	0.111
r	ɦ	0.109
ˈaː	ˈɐ̃	0.105
ʨ	ʧ	0.103
v	b	0.103
f	v	0.095
#>	ɐ_#>	0.088
ə	e	0.08
ʃ	j	0.077
ʃ	e	0.077
d	ʤ	0.077
ˈu	-	0.074
n	u	0.074
ʨ	t_u	0.069
ʨ	j_t	0.069
ə	a	0.067
ə	-	0.067
t	d	0.065
