Yiddish	Hessian	probability
χ_n	ɣ̊_ə	1.0
ˈɪ_n	ˈĩː	1.0
ˈɔ_ʀ	ˈɑː	1.0
ˈɔ_n	ˈoː_n	1.0
ˈa_ʀ	ˈɑ	1.0
ʀ_ə	ɐ	1.0
ɫ_t	l	1.0
ɫ	l	1.0
ɪ	i	1.0
ɡ_ʀ	k_ʀ	1.0
ɛ	-	1.0
ə_ʀ	æ̆	1.0
ə_n	ə	1.0
ə	-	1.0
ŋ	ŋ	1.0
z	s	1.0
v	v	1.0
p	p	1.0
n_t	n_d̥	1.0
n_d	n	1.0
m	m	1.0
k_s	k_s	1.0
j	j	1.0
h	h	1.0
d_ʀ	t_ʀ	1.0
d	d̥	1.0
b_n	v_ə	1.0
a	ɑ	1.0
ʃ	ʃ	0.935
f	f	0.892
ʦ	ʦ	0.866
ˈɛɪ̯	ˈaː	0.798
ˈɪ	ˈi	0.714
n	n	0.623
ˈʊ	ˈu	0.579
t	d̥	0.571
s	s	0.544
χ	ʃ	0.538
ˈaɪ̯	ˈai̯	0.524
b	b̥	0.503
ˈɛɪ̯_n	ˈãː	0.5
ˈaɪ̯_n	ˈɑ̃i̯	0.5
ˈaɪ̯_n	ˈoĩ̯	0.5
ʀ	ɐ	0.496
ˈaɪ̯	ˈoi̯	0.476
s	z̥	0.456
k	kʰ	0.447
ʀ	ʀ	0.434
t	t	0.429
ˈa	ˈɑ	0.423
ɡ	-	0.405
χ	x	0.393
ɡ	ɡ̊	0.382
ˈɔɪ̯	ˈaː	0.368
ˈɔ	ˈɔ	0.368
ˈɔɪ̯	ˈau̯	0.317
ˈɛ	ˈɛ	0.302
b	p	0.302
ˈa	ˈa	0.301
n	ə	0.292
ˈɔɪ̯	ˈoː	0.279
ˈɔ	ˈɑː	0.265
ˈɛ	ˈe	0.264
ˈɛɪ̯_n	ˈɛ̃ː	0.25
ˈɛɪ̯_n	ˈẽː	0.25
ˈɪ	ˈiː	0.241
k	ɡ̊	0.238
ɡ	ɣ̊	0.213
ˈɛɪ̯	ˈai̯	0.202
b	v	0.195
ˈʊ	ˈuː	0.193
ˈʊ	ˈo	0.178
k	k	0.178
ˈɛ	ˈæː	0.173
ˈɔ	ˈo	0.147
ˈa	-	0.144
k	ʃ	0.136
ʦ	-	0.134
ˈɛ	ˈɛː	0.133
ˈɛ	ˈeː	0.129
ˈɔ	ˈɑ	0.125
f	v̥	0.108
ˈɔ	-	0.094
ˈa	ˈæ	0.093
n	-	0.076
ʀ	æ̆	0.07
χ	-	0.068
ʃ	-	0.065
