Eastern Lombard	Eastern Lombard	probability
ˈɛ_n	ˈẽ	1.0
ˈø_k	ˈo_ɡ	1.0
ˈu_r	ˈo_h	1.0
ˈa_ŋ	ˈɐ̃	1.0
ˈa_n	ˈɐ̃	1.0
ʤ	-	1.0
ʋ	b	1.0
ɲ	j̃	1.0
ɡ	ɡ	1.0
ŋ	-	1.0
y	e	1.0
w	w	1.0
s_ˈe	s_ˈe	1.0
s_t	ʃ_t	1.0
s_#>	#>	1.0
r_t	h_ʧ	1.0
r_k	h_k	1.0
r_b	ɦ_v	1.0
n_t	t	1.0
m	m	1.0
k_r	k_ɾ	1.0
k_a	k	1.0
f_j	ʃ	1.0
f_#>	v_i_#>	1.0
e_r	ɾ_i	1.0
e_#>	#>	1.0
d_ˈi	ˈe_h	1.0
a_r	a	1.0
<#_ʧ	<#_ʃ	1.0
<#_ʋ	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_h	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_v	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
p	p	0.946
f	f	0.913
k	k	0.907
b	b	0.824
ˈy	ˈu	0.8
a	ɐ	0.759
<#	<#_v	0.714
l_#>	w_#>	0.667
z	ʒ	0.643
ˈa	ˈa	0.631
s	s	0.6
j	-	0.588
d	d	0.571
r	ɾ	0.543
l	l	0.538
ʧ	ʎ	0.5
ʧ	-	0.5
#>	u_#>	0.471
ˈɔ	ˈo	0.455
ˈo	ˈo	0.444
i	i	0.444
t	t	0.425
ˈi	ˈi	0.414
ˈu	ˈɔ	0.412
o	o	0.412
n	-	0.4
ˈø	ˈo	0.381
ˈe	ˈe	0.333
l_#>	#>	0.333
i	e	0.333
ˈi	ˈĩ	0.31
ˈɛ	ˈɛ	0.303
n	n	0.3
e	e	0.296
ˈu	ˈo	0.294
o	u	0.294
o	-	0.294
j	ʎ	0.294
d	-	0.286
<#	<#_e	0.286
ˈa	ˈɐ̃	0.262
e	i	0.259
ˈɛ	ˈe	0.242
ˈø	-	0.238
l	w	0.231
ˈɔ	-	0.227
ˈo	ˈɔ	0.222
ˈe	ˈɛ	0.222
i	-	0.222
e	-	0.222
z	z	0.214
ˈɛ	ˈe_j	0.212
ˈy	ˈũ	0.2
n	j̃	0.2
ˈø	ˈɔ	0.19
ˈø	ˈũ	0.19
#>	i_#>	0.19
ˈe	ˈi	0.185
ˈe	ˈẽ	0.185
ˈɔ	ˈõ	0.182
ˈu	ˈɐ̃_w̃	0.176
b	v	0.176
ˈi	ˈe_h	0.172
ˈo	ˈõ	0.167
ˈo	ˈo_w	0.167
s	ʃ	0.154
l	-	0.154
r	h	0.152
t	ʧ	0.15
t	d_u	0.15
z	-	0.143
d	ʤ	0.143
ˈɔ	ˈɔ	0.136
r	ɦ	0.13
a	a	0.127
t	d	0.125
#>	h_#>	0.124
ˈɛ	ˈẽ	0.121
ˈu	ˈõ	0.118
j	ʒ	0.118
e	ɾ	0.111
e	a	0.111
r	u	0.109
s	j_ʃ	0.108
ˈi	ˈe	0.103
t	ʤ	0.1
n	ˈĩ	0.1
f	v	0.087
s	e_ʃ	0.077
l	u	0.077
ˈe	v_ˈi	0.074
#>	w̃_#>	0.066
r	-	0.065
a	-	0.063
ˈɛ	ˈa	0.061
ˈɛ	-	0.061
#>	ɐ_#>	0.058
p	ʃ	0.054
