Campidanese	Campidanese	probability
ˈɛ_n	ˈẽ	1.0
ˈɔ_ɾ	ˈɔ_h	1.0
ˈɔ_n	ˈo	1.0
ˈu_ɾ	ˈu_ɾ	1.0
ˈu_n	ˈõ	1.0
ˈo_n	ˈõ	1.0
ˈi_ŋ	ˈĩ	1.0
ˈi_n	ˈĩ	1.0
ˈi_k	ˈe_k	1.0
ˈa_n	ˈɐ̃	1.0
ʧ	s	1.0
ʦ	s	1.0
ʒ_i	j_ʃ	1.0
ʒ	z	1.0
ɾ_ˈɛ	ɾ_ˈe	1.0
ɾ_i	h	1.0
ɲ	j̃	1.0
ɡ	ɡ	1.0
ɛ_ɾ	ɾ	1.0
ɛ	-	1.0
ɔ̆_#>	#>	1.0
ŋ	-	1.0
w	w	1.0
ŭ_#>	#>	1.0
ŭ	ʃ	1.0
u_#>	#>	1.0
o	o	1.0
nː	-	1.0
n_ʤ	j̃	1.0
n_u	w̃	1.0
n_i_#>	#>	1.0
n_i	w̃	1.0
n_a	ɐ	1.0
l_ˈa	ˈa	1.0
l_i	w	1.0
k_ɾ	ʃ	1.0
ĭ	ʃ	1.0
i_ɾ	ˈe	1.0
i_#>	#>	1.0
f_ɾ	ʃ	1.0
f	f	1.0
e	-	1.0
b_ɾ	v	1.0
ă_#>	#>	1.0
a_ð	a_d	1.0
a_#>	#>	1.0
<#_ˈa	<#	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
<#_a_r	<#_h	1.0
<#_a	<#	1.0
#>	ɐ_#>	1.0
k	k	0.946
m	m	0.906
p	p	0.871
u	u	0.859
ɖː	l	0.818
l	l	0.815
ʤ	ʒ	0.769
β	b	0.75
a	ɐ	0.734
s	s	0.7
ð	d	0.692
ɣ	ɡ	0.688
ɭː	ʎ	0.625
j	-	0.625
t	t	0.622
ˈa	ˈa	0.61
b	v	0.588
r	h	0.571
ˈo	ˈo	0.545
ʃ	j_ʃ	0.5
ʃ	-	0.5
l_u	w	0.5
l_u	u	0.5
d	ʤ	0.5
d	d	0.5
ˈɛ	ˈɛ	0.478
ˈi	ˈi	0.474
ɾ	ɾ	0.45
ˈɛ	ˈe	0.435
ɔ	o	0.429
r	ɦ_n	0.429
ˈe	ˈɛ	0.412
b	b	0.412
ɭː	-	0.375
j	j	0.375
ˈɔ	ˈɔ	0.37
i	i	0.354
z	ʃ	0.353
z	j	0.353
ˈu	ˈu	0.333
n	-	0.321
ɣ	ʎ	0.312
ˈu	ˈo	0.303
ˈɔ	ˈo	0.296
z	-	0.294
ɔ	u	0.286
ɔ	-	0.286
ɾ	-	0.275
t	ʧ	0.27
β	v	0.25
ˈi	ˈĩ	0.237
ˈi	ˈe	0.237
ˈa	ˈɐ̃	0.237
ʤ	-	0.231
ˈo	-	0.227
n	j̃	0.214
i	h	0.195
ˈɔ	-	0.185
l	-	0.185
ɖː	-	0.182
ˈe	ˈẽ	0.176
ˈe	ˈe	0.176
s	ʃ	0.175
ð	ʤ	0.154
ð	-	0.154
ˈu	ˈũ	0.152
a	a	0.152
ˈo	ˈõ	0.136
ɾ	ɦ	0.125
s	e_ʃ	0.125
ˈe	ˈe_j	0.118
ˈe	-	0.118
i	e	0.11
i	-	0.11
t	d	0.108
n	ˈẽ	0.107
n	n	0.107
n	j	0.107
ɾ	h	0.1
m	-	0.094
ˈu	ˈɔ	0.091
ˈo	ˈo_v	0.091
ˈɛ	ˈɛ_ɦ	0.087
ˈa	a	0.085
u	-	0.082
ˈɔ	ˈɐ̃	0.074
ˈɔ	ˈo_j	0.074
n	ˈɐ̃	0.071
n	ˈõ	0.071
ˈa	-	0.068
p	ʃ	0.065
p	-	0.065
a	-	0.063
ˈu	ˈõ	0.061
ˈu	-	0.061
k	-	0.054
ˈi	v	0.053
